year  ,site,plot,tree,DBH,sex,Field notes,data notes
1997,2,a,1,620,m,.,.
1997,2,a,2,350,.,.,.
1997,2,a,3,570,m,.,.
1997,2,a,4,465,.,.,.
1997,2,b,1a,990,.,.,.
1997,2,b,1b,900,.,.,.
1997,2,b,2,480,.,.,.
1997,2,b,3,650,.,.,.
1997,2,b,4,445,.,.,.
1997,2,b,5,510,m,.,.
1997,2,b,6,880,m,.,.
1997,2,b,7,745,m,.,.
1997,2,c,1,680,.,.,.
1997,2,c,2,440,.,.,.
1997,2,c,3,780,m,.,.
1997,2,c,4,480,.,.,.
1997,2,c,5,585,.,.,.
1997,2,c,6,720,m,.,.
1997,2,c,7,440,.,.,.
1997,2,c,8,675,.,.,.
1997,2,c,9,490,.,.,.
1997,2,c,10,715,m,.,.
1997,2,d,1,.,.,.,.
1997,2,d,2,465,.,.,.
1997,2,d,3,1060,f,.,.
1997,2,d,4,720,.,.,.
1997,2,d,5,760,f,.,.
1997,2,d,6,685,m,.,.
1997,2,d,7,785,m,.,.
1997,2,d,8,605,.,.,.
1997,2,e,1,515,.,.,.
1997,2,e,2,475,.,.,.
1997,2,e,3,410,.,.,.
1997,2,e,4,630,.,.,.
1997,2,e,5,520,.,.,.
1997,2,e,6,660,.,.,.
1997,2,e,7,405,.,.,.
1997,2,e,8,820,.,.,.
1997,2,e,9,680,m,.,.
1997,2,e,10a,785,.,.,.
1997,2,e,10b,915,.,.,.
1997,2,e,11,975,m,.,.
1997,2,f,1,350,.,.,.
1997,2,f,2a,700,.,.,.
1997,2,f,2b,620,.,.,.
1997,2,f,3,780,.,.,.
1997,2,f,4,885,.,.,.
1997,2,f,5a,895,f,.,.
1997,2,f,5b,955,f,.,.
1997,2,f,6,690,.,.,.
1997,2,f,7,1505,.,.,.
1997,2,f,8,1045,.,.,.
1997,2,g,1,1020,f,.,.
1997,2,g,2,120,.,.,.
1997,2,g,3a,735,.,.,.
1997,2,g,3b,545,.,.,.
1997,2,g,4,510,.,.,.
1997,2,g,5a,755,.,.,.
1997,2,g,5b,515,.,.,.
1997,2,h,1,675,.,.,.
1997,2,h,2,680,.,.,.
1997,2,h,3,815,f,.,.
1997,2,h,4,1010,.,.,.
1997,2,i,1,605,.,.,.
1997,2,i,2,1500,f,.,.
1997,2,i,3,665,.,.,.
1997,2,j,1,700,.,.,.
1997,2,j,2,980,f,.,.
1997,2,j,3,980,.,.,.
1997,2,j,4,720,.,.,.
1997,2,j,5,1150,.,.,.
1998,1,a,0,.,.,no cottonwoods present,.
1998,1,a,0,.,.,.,.
1998,1,b,1,308,u,tree may be dead,.
1998,1,b,2,405,m,.,.
1998,1,c,1,497,m,.,.
1998,1,d,1,278,u,"tree mostly dead, except for a few leafy branches half-way up",.
1998,1,e,1,688,f,forks into two trunks just above DBH location,.
