year,site,dbh_n,dbh_site_avg
1997,2,70,231
1998,1,32,431
2000,1,32,431
2000,2,71,235
2000,3,5,790
2000,4,100,25
2000,5,64,305
2000,6,24,76
2001,1,30,440
2001,2,68,237
2001,3,5,790
2001,4,100,25
2001,5,65,296
2001,6,24,76
2001,7,14,264
2002,1,30,440
2002,2,68,237
2002,3,5,790
2002,4,100,25
2002,5,65,296
2002,6,24,76
2002,7,14,264
2002,8,14,450
2002,9,11,923
2003,1,30,440
2003,2,68,237
2003,3,5,790
2003,4,100,50
2003,6,24,76
2003,7,14,264
2003,8,14,450
2003,9,11,923
2003,10,30,100
2003,15,3,300
2003,16,NA,NA
2004,1,30,440
2004,2,68,237
2004,3,5,790
2004,4,165,50
2004,5,65,296
2004,6,24,76
2004,7,14,264
2004,8,14,450
2004,9,11,923
2004,10,30,100
2004,11,20,325
2004,13,14,64
2004,14,118,89
2004,15,3,300
2004,16,NA,NA
2004,17,13,252
2004,18,15,323
2004,19,33,353
2005,1,30,440
2005,2,68,237
2005,3,5,790
2005,4,165,50
2005,5,65,296
2005,6,24,76
2005,7,14,264
2005,8,14,450
2005,9,11,923
2005,10,30,100
2005,11,20,325
2005,13,14,64
2005,14,118,89
2005,15,3,300
2005,16,NA,NA
2005,17,13,252
2005,18,15,323
2005,19,33,353
2005,20,17,203
2006,1,30,440
2006,2,68,237
2006,3,5,790
2006,4,165,50
2006,5,65,296
2006,6,24,76
2006,7,14,264
2006,8,14,450
2006,9,11,923
2006,10,30,100
2006,11,20,325
2006,12,11,441
2006,13,14,64
2006,14,118,89
2006,15,3,300
2006,16,NA,NA
2006,17,13,252
2006,18,15,323
2006,19,33,353
2006,20,17,203
2006,21,7,721
2006,22,14,371
2007,1,30,440
2007,2,68,237
2007,3,5,790
2007,4,164,81
2007,5,65,296
2007,6,24,76
2007,7,14,264
2007,8,14,450
2007,9,11,923
2007,10,30,100
2007,11,20,325
2007,12,11,441
2007,13,14,64
2007,14,118,89
2007,15,3,300
2007,16,NA,NA
2007,17,13,252
2007,18,15,323
2007,19,33,353
2007,20,17,203
2007,21,7,721
2007,22,14,371
2007,23,21,336
2008,1,30,440
2008,2,68,237
2008,3,5,790
2008,4,164,81
2008,5,65,296
2008,6,24,76
2008,7,14,264
2008,8,14,450
2008,9,11,923
2008,10,30,100
2008,11,20,325
2008,12,11,441
2008,13,14,64
2008,14,118,89
2008,15,3,300
2008,16,NA,NA
2008,17,13,252
2008,18,15,323
2008,19,33,353
2008,20,17,203
2008,21,7,721
2008,22,14,371
2008,23,21,336
2008,24,19,366
2008,25,28,436
2009,1,27,487
2009,2,57,264
2009,3,6,983
2009,4,164,81
2009,5,65,296
2009,6,24,76
2009,7,14,264
2009,8,14,450
2009,9,11,923
2009,10,11,241
2009,11,20,325
2009,12,11,441
2009,13,14,64
2009,14,118,89
2009,15,3,300
2009,16,NA,NA
2009,17,13,252
2009,18,15,323
2009,19,33,353
2009,20,17,203
2009,21,7,721
2009,22,14,371
2009,23,20,335
2009,24,19,366
2009,25,6040,25
2010,1,27,487
2010,2,57,264
2010,3,6,983
2010,4,164,81
2010,5,65,296
