Site name,Year,Month,Mean percent defoliation,Mean percent refoliation,Mean percent brown defoliation,Mean percent yellow defoliation,Mean percent dead canopy,Mean percent flowering,ym_date,Monthly sum TLB adults,Monthly sum TLB early larvae,Monthly sum TLB late larvae,Monthly sum TLB TLB egg masses,Monthly sum Weevil adults,Monthly sum Weevil larvae,Monthly sum Weevil casings,Monthly sum Leafhoppers,Monthly sum Spiders,Monthly sum Lady Bugs,Monthly sum Ants,Site number,Latitude,Longitude
Alameda,2014,5,NA,NA,NA,NA,NA,NA,2014-05-27,0,0,0,0,0,0,0,2,0,0,0,1,35.1875,-106.6459
Alameda,2014,6,5,NA,NA,NA,NA,NA,2014-06-27,0,0,0,0,0,0,0,1,0,0,0,1,35.1875,-106.6459
Alameda,2014,7,4,NA,NA,NA,NA,NA,2014-07-21,5,3,0,1,0,0,0,13,1,0,2,1,35.1875,-106.6459
Alameda,2014,8,4,NA,NA,NA,NA,NA,2014-08-12,2,1,6,0,0,0,0,2,0,0,0,1,35.1875,-106.6459
Alameda,2015,5,1,NA,NA,NA,NA,NA,2015-05-22,0,0,0,0,0,0,0,4,0,0,1,1,35.1875,-106.6459
Alameda,2015,6,0,NA,NA,NA,NA,NA,2015-06-18,0,0,0,0,0,0,0,0,2,0,2,1,35.1875,-106.6459
Alameda,2015,7,5,NA,NA,NA,NA,NA,2015-07-21,0,0,0,0,0,1,0,2,2,0,0,1,35.1875,-106.6459
Alameda,2015,8,3,NA,NA,NA,NA,NA,2015-08-20,1,0,0,0,0,0,0,4,2,0,9,1,35.1875,-106.6459
Alameda,2016,5,5,0,NA,NA,NA,NA,2016-05-23,3,0,0,0,0,0,0,1,0,0,1,1,35.1875,-106.6459
Alameda,2016,6,5,0,NA,NA,NA,NA,2016-06-22,0,0,0,0,0,1,0,6,4,0,0,1,35.1875,-106.6459
Alameda,2016,7,17,0,NA,NA,NA,NA,2016-07-22,0,0,0,0,0,0,0,29,2,0,3,1,35.1875,-106.6459
Alameda,2016,8,12,0,NA,NA,NA,NA,2016-08-17,0,0,0,0,0,0,0,5,3,0,5,1,35.1875,-106.6459
Alameda,2017,5,0,0,0,0,10,NA,2017-05-15,0,0,0,0,0,0,0,3,1,0,0,1,35.1875,-106.6459
Alameda,2017,6,14,0,6,8,NA,NA,2017-06-20,0,0,1,0,0,0,0,1,1,0,1,1,35.1875,-106.6459
Alameda,2017,7,22,0,12,10,NA,NA,2017-07-18,0,0,0,0,0,0,0,2,0,0,2,1,35.1875,-106.6459
Alameda,2017,8,26,0,20,6,NA,NA,2017-08-16,0,0,0,0,0,0,0,9,0,0,2,1,35.1875,-106.6459
Albuquerque Overbank Project,2016,5,5,0,NA,NA,NA,NA,2016-05-18,0,0,0,0,0,0,0,18,1,0,1,29,35.04546,-106.6657
Albuquerque Overbank Project,2016,6,6,0,NA,NA,NA,NA,2016-06-24,0,0,0,0,0,8,0,33,7,0,2,29,35.04546,-106.6657
Albuquerque Overbank Project,2016,7,19,0,NA,NA,NA,NA,2016-07-22,1,0,0,0,0,0,0,67,5,0,10,29,35.04546,-106.6657
Albuquerque Overbank Project,2016,8,29,0,NA,NA,NA,NA,2016-08-16,0,0,0,0,0,0,0,51,0,0,4,29,35.04546,-106.6657
Albuquerque Overbank Project,2017,5,2,0,2,0,12,NA,2017-05-17,0,0,0,0,1,2,1,0,0,0,0,29,35.04546,-106.6657
Albuquerque Overbank Project,2017,6,18,0,10,8,NA,NA,2017-06-22,0,0,0,0,0,3,1,4,1,0,2,29,35.04546,-106.6657
