Species,Species code
ABVI,ALIN
ADS,FORB
AG,GRASS
AGGI,AGGI2
AMCA,ANCA10
AMOR,AMORP
ANCA,ANCA10
ANNU,GRASS
ARAD,BOAR
ARPU,ARPU9
ARSP,ARIST
ASCO,SYFAC
ASOS,ASOF
ASSU,ASSU2
ASTER,FORB
BAGL,BAGL2
BOBA,BOBA2
BOGR,BOGR2
BOSI,BOBA2
CAR1,CAREX
CAR2,CAREX
CASP,CAREX
CHGE,CHGE2
CHPO,CHPU4
CHPR,CHPR6
CHSE,CHSE6
CHSP,CHRYS9
CIRS,CIRSI
COAR,COAR4
COCA,COCA5
COMP,FORB
DIWI6,DIWI2
ECCA4,ELCA4
ELCA,ELCA4
ELEL,ELEL5
EQUI,EQUIS
ERAG,ERAGR
ERIGE,ERIGE2
EUOC,EUOC4
FO1,FORB
FO2,FORB
FO3,FORB
FO4,FORB
FONE,FOPUP
GAVI,GAVI2
GLLE,GLLE3
GR1,GRASS
GR2,GRASS
GR3,GRASS
GR4,GRASS
GRAS,GRASS
GRASS1,GRASS
GRSP,GRASS
GRSS,GRASS
GUSA,GUSA2
HEAN,HEAN3
HENE4,HENE5
HERB,FORB
HOSP,ELYMU
KOSC,BASC5
KOSP,BASC5
LACT,LACTU
LYCIU,LYCIUM
MAC1,MACA2
MACA,MACA2
MACR,MACA2
MAG,GRASS
MAPIP,MAPIP4
MASP,MACHA
MATA,MATA2
MEAL,MEOF
MEAL2,MEOF
MG,GRASS
MINT1,MINT
MORA,MOAL
MORE,MOAL
MORU,MOAL
MUPO,MUAS
ORHY,ACHY
PACA,PACA6
PADI6,PADI16
PAIN,PAVI5
PAIN10,PAVI5
PANI,PANIC
PAQU2,PAVI5
PEHYS,PSSC8
PG,GRASS
PHVIH,PHHI8
PHYS,PHYSA
POA,GRASS
POAN,ARAN7
POAN5,ARAN7
PODE,PODEW
PORT,PORTU
POTE,ARAN7
POTEN,ARAN7
PSSC,PSSC6
PSSC3,PSSC6
PSSC8,PSSC6
PYPA,PYPA4
SAAM,SAAM2
SACA,SATR12
SAKA,SATR12
SEFL,SEFL3
SELE,SELE6
SERI,SERI2
SEVI,SEVI4
SEVI5,SEVI4
SH1,SHRB
SH2,SHRB
SOAM,SOLAN
SOAR,SOAR2
SOCA,SOCA6
SONU9,SONU2
SOPA,SOPA5
SPANL,SPAN3
SPCO,SPCO4
SPFL,SPFL2
SPOR,SPORO
SPSC3,SPSA3
SYOC,LONIC
TACH,TACH2
TARA,TACH2
TACH3,TACH2
TACH4,TACH2
TACH5,TACH2
TACH6,TACH2
TACH7,TACH2
TACH8,TACH2
THPO4,THPO7
TRCA,FORB
UFS,FORB
UGS,GRASS
UGS,GRASS
ULPA,ULPU
UNIDF2,FORB
UNIDG1,GRASS
UNIDG2,GRASS
YAD,FORB
YAG,GRASS
