Species,Common name,sites,present_at_n_sites
GRASS,Annual grass,"Alameda, Rio Grande Nature Center, Belen, Savannah, Lemitar, Los Lunas, Santa Ana, Ohkay Owingeh, Diversion, Valencia Forest, Valencia Cleared, Montano, Hispanic Cultural Center, Calabacillas, Harrison, Sevilleta, Minnow, Badger, Bobcat, BioPark, Reynolds Cleared, Route 66, Santo Domingo, Crawford, Valle de Oro, State Land Office, Albuquerque Overbank Project, Sandia, San Jose, Bosque Farms, Bosque del Apache",31
PODEW,Rio Grande cottonwood,"Alameda, Rio Grande Nature Center, Los Lunas, Belen, Santa Ana, Savannah, Lemitar, Hispanic Cultural Center, Ohkay Owingeh, Diversion, Sevilleta, Valencia Cleared, Valencia Forest, Calabacillas, Harrison, Montano, Reynolds Cleared, Reynolds Forest, Route 66, Minnow, Badger, Bobcat, BioPark, Santo Domingo, Crawford, State Land Office, Bosque Farms, Albuquerque Overbank Project, San Jose, Bosque del Apache, River Realignment",31
FORB,Annual dicot seedling,"Alameda, Belen, Los Lunas, Santa Ana, Rio Grande Nature Center, Savannah, Ohkay Owingeh, Diversion, Harrison, Lemitar, Hispanic Cultural Center, Minnow, Sevilleta, Valencia Forest, Montano, Reynolds Cleared, Badger, Bobcat, BioPark, Santo Domingo, Calabacillas, Route 66, Reynolds Forest, Valle de Oro, Crawford, San Jose, Sandia, Albuquerque Overbank Project, Bosque del Apache, State Land Office",30
COCA5,Canadian horseweed,"Alameda, Rio Grande Nature Center, Belen, Ohkay Owingeh, Diversion, Santa Ana, Savannah, Harrison, Montano, Reynolds Cleared, Hispanic Cultural Center, Valencia Forest, Route 66, Badger, Calabacillas, Minnow, Sevilleta, Reynolds Forest, Bobcat, BioPark, Santo Domingo, Crawford, Los Lunas, Valle de Oro, State Land Office, Sandia, Albuquerque Overbank Project, San Jose, Bosque del Apache",29
ELAN,Russian olive,"Alameda, Rio Grande Nature Center, Los Lunas, Belen, Santa Ana, Savannah, Hispanic Cultural Center, Ohkay Owingeh, Diversion, Sevilleta, Valencia Cleared, Valencia Forest, Calabacillas, Harrison, Montano, Reynolds Cleared, Reynolds Forest, Route 66, Minnow, Bobcat, BioPark, Crawford, Badger, Bosque Farms, Albuquerque Overbank Project, State Land Office, Santo Domingo, Sandia, River Realignment",29
HOJU,foxtail barley,"Los Lunas, Belen, Hispanic Cultural Center, Ohkay Owingeh, Sevilleta, Valencia Cleared, Valencia Forest, Harrison, Montano, Reynolds Forest, Santa Ana, Calabacillas, Reynolds Cleared, Alameda, Route 66, Badger, Bobcat, Minnow, Savannah, Rio Grande Nature Center, Diversion, BioPark, Santo Domingo, Crawford, Bosque Farms, Valle de Oro, San Jose, Albuquerque Overbank Project, State Land Office",29
SATR12,prickly Russian thistle,"Rio Grande Nature Center, Savannah, Lemitar, Alameda, Santa Ana, Hispanic Cultural Center, Diversion, Harrison, Valencia Cleared, Montano, Reynolds Cleared, Route 66, Calabacillas, Valencia Forest, Badger, Bobcat, Minnow, BioPark, Santo Domingo, Crawford, Belen, Reynolds Forest, Valle de Oro, State Land Office, Mesilla, Albuquerque Overbank Project, Sandia, Bosque del Apache, San Jose",29
ELEL5,squirreltail,"Rio Grande Nature Center, Los Lunas, Santa Ana, Savannah, Lemitar, Belen, Diversion, Montano, Alameda, Hispanic Cultural Center, Calabacillas, Minnow, Badger, Bobcat, Ohkay Owingeh, Valencia Cleared, Valencia Forest, BioPark, Santo Domingo, Route 66, Reynolds Cleared, State Land Office, Harrison, Bosque Farms, San Jose, Valle de Oro, Albuquerque Overbank Project, Sevilleta",28
SPORO,dropseed,"Rio Grande Nature Center, Savannah, Lemitar, Ohkay Owingeh, Diversion, Calabacillas, Harrison, Sevilleta, Hispanic Cultural Center, Montano, Badger, Bobcat, BioPark, Santo Domingo, Route 66, Alameda, Reynolds Cleared, Minnow, Crawford, Santa Ana, Belen, Valle de Oro, State Land Office, Albuquerque Overbank Project, San Jose, Sandia, Los Lunas, Bosque Farms",28
BASC5,kochia,"Savannah, Santa Ana, Ohkay Owingeh, Hispanic Cultural Center, Sevilleta, Valencia Cleared, Valencia Forest, Montano, Reynolds Cleared, Route 66, Lemitar, Badger, BioPark, Crawford, Bobcat, Belen, Reynolds Forest, Diversion, Valle de Oro, State Land Office, Santo Domingo, Mesilla, San Jose, Sandia, Minnow, Harrison, Bosque del Apache",27
