Site name,Year,Latitude,Unique species
Alameda,2000,35.1880598884,14
Alameda,2001,35.1880598884,15
Alameda,2002,35.1880598884,9
Alameda,2003,35.1880598884,12
Alameda,2004,35.1880598884,20
Alameda,2005,35.1880598884,16
Alameda,2006,35.1880598884,19
Alameda,2007,35.1880598884,22
Alameda,2008,35.1880598884,17
Alameda,2009,35.1880598884,19
Alameda,2010,35.1880598884,17
Alameda,2011,35.1880598884,15
Alameda,2012,35.1880598884,14
Alameda,2013,35.1880598884,17
Alameda,2014,35.1880598884,13
Alameda,2015,35.1880598884,15
Alameda,2016,35.1880598884,17
Alameda,2017,35.1880598884,14
Alameda,2018,35.1880598884,17
Alameda,2019,35.1880598884,18
Alameda,2020,35.1880598884,13
Alameda,2021,35.1880598884,10
Alameda,2022,35.1880598884,15
Alameda,2023,35.1880598884,12
Albuquerque Overbank Project,2016,35.0452081969,52
Albuquerque Overbank Project,2017,35.0452081969,60
Albuquerque Overbank Project,2018,35.0452081969,60
Albuquerque Overbank Project,2019,35.0452081969,68
Albuquerque Overbank Project,2020,35.0452081969,63
Albuquerque Overbank Project,2021,35.0452081969,54
Albuquerque Overbank Project,2022,35.0452081969,51
Badger,2006,35.1955715759,34
Badger,2007,35.1955715759,25
Badger,2008,35.1955715759,18
Badger,2009,35.1955715759,16
Badger,2010,35.1955715759,22
Badger,2011,35.1955715759,13
Badger,2012,35.1955715759,13
Badger,2013,35.1955715759,29
Badger,2014,35.1955715759,24
Badger,2015,35.1955715759,19
Badger,2016,35.1955715759,22
Badger,2017,35.1955715759,19
Badger,2018,35.1955715759,23
Badger,2019,35.1955715759,26
Badger,2020,35.1955715759,18
Badger,2021,35.1955715759,25
Badger,2022,35.1955715759,28
Badger,2023,35.1955715759,16
Belen,2000,34.6481124155284,26
Belen,2001,34.6481124155284,28
Belen,2002,34.6481124155284,24
Belen,2003,34.6481124155284,27
Belen,2004,34.6481124155284,28
Belen,2005,34.6481124155284,23
Belen,2006,34.6481124155284,21
Belen,2007,34.6481124155284,21
Belen,2008,34.6481124155284,24
Belen,2009,34.6481124155284,31
Belen,2010,34.6481124155284,25
Belen,2011,34.6481124155284,20
Belen,2012,34.6481124155284,26
Belen,2013,34.6481124155284,27
Belen,2014,34.6481124155284,24
Belen,2015,34.6481124155284,23
Belen,2016,34.6481124155284,24
Belen,2017,34.6481124155284,25
Belen,2018,34.6481124155284,21
Belen,2019,34.6481124155284,25
Belen,2020,34.6481124155284,20
Belen,2021,34.6481124155284,19
Belen,2022,34.6481124155284,18
Belen,2023,34.6481124155284,15
BioPark,2007,35.0799846256,29
BioPark,2008,35.0799846256,32
BioPark,2009,35.0799846256,27
BioPark,2010,35.0799846256,29
BioPark,2011,35.0799846256,26
BioPark,2012,35.0799846256,26
BioPark,2013,35.0799846256,31
BioPark,2014,35.0799846256,37
BioPark,2015,35.0799846256,25
BioPark,2016,35.0799846256,27
BioPark,2017,35.0799846256,30
BioPark,2018,35.0799846256,34
BioPark,2020,35.0799846256,26
BioPark,2021,35.0799846256,32
BioPark,2022,35.0799846256,33
BioPark,2023,35.0799846256,31
Bobcat,2006,35.2010747789,38
Bobcat,2007,35.2010747789,30
Bobcat,2008,35.2010747789,32
Bobcat,2009,35.2010747789,27
Bobcat,2010,35.2010747789,29
Bobcat,2011,35.2010747789,29
Bobcat,2012,35.2010747789,30
Bobcat,2013,35.2010747789,31
Bobcat,2014,35.2010747789,35
Bobcat,2015,35.2010747789,29
Bobcat,2016,35.2010747789,32
Bobcat,2017,35.2010747789,27
Bobcat,2018,35.2010747789,29
Bobcat,2019,35.2010747789,40
Bobcat,2020,35.2010747789,33
Bobcat,2021,35.2010747789,35
Bobcat,2022,35.2010747789,43
Bobcat,2023,35.2010747789,37
Bosque Farms,2016,34.8477697505695,24
Bosque Farms,2017,34.8477697505695,23
Bosque Farms,2018,34.8477697505695,23
Bosque Farms,2019,34.8477697505695,29
Bosque Farms,2020,34.8477697505695,24
Bosque Farms,2021,34.8477697505695,27
Bosque Farms,2022,34.8477697505695,26
Bosque del Apache,2018,33.8196650872,12
Bosque del Apache,2019,33.8196650872,15
Bosque del Apache,2020,33.8196650872,13
Bosque del Apache,2021,33.8196650872,21
Bosque del Apache,2022,33.8196650872,13
Bosque del Apache,2023,33.8196650872,13
Calabacillas,2004,35.1946222612,16
Calabacillas,2005,35.1946222612,18
Calabacillas,2006,35.1946222612,32
Calabacillas,2007,35.1946222612,21
Calabacillas,2008,35.1946222612,23
Calabacillas,2009,35.1946222612,24
Calabacillas,2010,35.1946222612,21
Calabacillas,2011,35.1946222612,13
Calabacillas,2012,35.1946222612,19
Calabacillas,2013,35.1946222612,21
Calabacillas,2014,35.1946222612,30
Calabacillas,2015,35.1946222612,29
Calabacillas,2016,35.1946222612,29
Calabacillas,2017,35.1946222612,22
Crawford,2008,34.637561057629,17
Crawford,2009,34.637561057629,32
Crawford,2010,34.637561057629,29
Crawford,2011,34.637561057629,21
Crawford,2012,34.637561057629,24
Crawford,2013,34.637561057629,25
Crawford,2014,34.637561057629,26
Crawford,2015,34.637561057629,27
Crawford,2016,34.637561057629,24
Crawford,2017,34.637561057629,27
Crawford,2018,34.637561057629,27
Crawford,2019,34.637561057629,22
Crawford,2020,34.637561057629,23
Crawford,2021,34.637561057629,20
Crawford,2022,34.637561057629,25
Diversion,2003,35.191618922399996,33
Diversion,2004,35.191618922399996,32
Diversion,2005,35.191618922399996,34
Diversion,2006,35.191618922399996,38
