Year,Site number,Species,Total cover cm,Scientific name,Common name,Life form,Native to U.S.,Duration,Site name,Latitude,Longitude,Date type,Reaches,Current usgs gauge,Nearest USGS gauge
2000,1,AMFR,0.86,Amorpha fruticosa,desert false indigo,S,Native,Perennial,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
2000,1,ELAN,3.25,Elaeagnus angustifolia,Russian olive,T,Exotic,Perennial,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
2000,1,FOPUP,122.30000000000004,Forestiera pubescens var. pubescens,New Mexico olive,S,Native,Perennial,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
2000,1,FORB,0.53,.,Annual dicot seedling,F,Unknown,Annual,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
2000,1,GAVI2,0.23,Gaura villosa,woolly beeblossom,F,Native,Perennial,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
2000,1,GRASS,0.11,.,Annual grass,G,Unknown,Annual,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
2000,1,MACA2,0.22,Machaeranthera canescens,hoary tansyaster,F,Native,Annual/Biennial/Perennial,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
2000,1,MEOF,0.18,Melilotus officinalis,white sweetclover,F,Exotic,Unknown,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
2000,1,MUAS,0.01,Muhlenbergia asperifolia,scratchgrass,G,Native,Perennial,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
2000,1,PAVI5,5.449999999999998,Parthenocissus vitacea,thicket creeper,S,Native,perennial,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
