Year,Site number,Species,Total cover cm
2000,1,AMFR,0.86
2000,1,ELAN,3.25
2000,1,FOPUP,122.30000000000004
2000,1,FORB,0.53
2000,1,GAVI2,0.23
2000,1,GRASS,0.11
2000,1,MACA2,0.22
2000,1,MEOF,0.18
2000,1,MUAS,0.01
2000,1,PAVI5,5.449999999999998
2000,1,PODEW,197.09999999999997
2000,1,RIAU,0.34
2000,1,SAEX,1.28
2000,1,ULPU,38.93
2000,2,ACHY,0.51
2000,2,AMFR,3.04
2000,2,ARPU9,0.9999999999999999
2000,2,CHGE2,0.02
2000,2,ELAN,21.57
2000,2,ELEL5,22.780000000000022
2000,2,ERAGR,0.49
2000,2,GRASS,0.17
2000,2,GUSA2,15.2
2000,2,JUMO,0.01
2000,2,MACHA,0.61
2000,2,MEOF,10.599999999999984
2000,2,PAOB,0.07
2000,2,PAVI5,0.45
2000,2,PODEW,252.20000000000002
2000,2,SATR12,0.6300000000000001
2000,2,SPCO4,3.48
2000,2,SPCR,3.4299999999999997
2000,2,SPFL2,1.17
2000,2,SPORO,0.93
2000,2,TACH2,1.24
2000,3,AMFR,4.69
2000,3,AMORP,1.63
2000,3,AMPS,0.16
2000,3,ANCA10,140.93000000000004
2000,3,APCA,7.769999999999998
2000,3,BASA,0.5
2000,3,CAREX,43.11000000000001
2000,3,ELAN,8.21
2000,3,ELEL5,1.05
2000,3,ELYMU,0.11
2000,3,EUOC4,2.23
2000,3,FOPUP,1.35
2000,3,LONIC,1.6
2000,3,MOAL,22.759999999999998
2000,3,MUAS,15.290000000000001
2000,3,PAVI5,28.259999999999998
2000,3,PODEW,155.78999999999996
2000,3,RIAU,5.11
2000,3,SAEX,62.139999999999986
2000,3,SAGO,13.13
2000,3,ULPU,18.39
2000,4,AMPS,32.69999999999998
2000,4,APCA,1.82
2000,4,ARAN7,0.16
2000,4,ASCLE,1.0600000000000003
2000,4,CAREX,76.82000000000004
2000,4,CIRSI,0.26
2000,4,CIVU,0.12
2000,4,DAGL,0.02
2000,4,ELAN,84.16999999999999
2000,4,ELCA4,2.3499999999999996
2000,4,EQLA,0.01
2000,4,EQUIS,0.6700000000000002
2000,4,EUOC4,23.099999999999998
2000,4,FORB,1.71
2000,4,GRASS,1.1600000000000001
2000,4,LYAM,0.25
2000,4,MINT,0.61
2000,4,MUAS,80.1
2000,4,OEELH2,0.01
2000,4,PAOB,92.45999999999997
2000,4,PODEW,70.05999999999999
2000,4,SAEX,124.43
2000,4,SOAR2,0.26
2000,4,SPAI,1.4500000000000002
2000,4,SYFAC,9.29
2000,4,SYMPH4,17.939999999999998
2000,5,ELAN,0.81
2000,5,ELEL5,0.11
2000,5,FOPUP,0.09999999999999999
2000,5,MEOF,0.2
2000,5,MUAS,0.34
2000,5,PODEW,262.05
2000,5,SETAR,0.05
2000,5,TACH2,0.13
2000,6,ACHY,0.04
2000,6,AMORP,0.25
2000,6,BASC5,13.369999999999992
2000,6,BRINI,16.559999999999995
2000,6,COAR4,4.379999999999997
2000,6,DAGL,2.1100000000000003
2000,6,ELAN,47.39
2000,6,ELEL5,0.15
2000,6,GLLE3,5.870000000000001
2000,6,GRASS,0.03
2000,6,HEAN3,0.7900000000000001
2000,6,HECI,3.8499999999999988
2000,6,MEOF,1.3000000000000003
2000,6,MOAL,0.09000000000000001
2000,6,PASM,0.38
2000,6,PAVI5,0.08
2000,6,PHYSA,0.41000000000000003
2000,6,PODEW,57.099999999999994
2000,6,RIAU,2.2600000000000002
2000,6,SAEX,0.5
2000,6,SATR12,57.89999999999998
2000,6,SELE6,9.509999999999996
2000,6,SETAR,0.01
2000,6,SEVI4,0.6
2000,6,SOEL,5.509999999999998
2000,6,SPAI,10.299999999999999
2000,6,SPAN3,1.51
2000,6,SPCO4,11.209999999999997
2000,6,SPCR,2.939999999999999
2000,6,SPFL2,0.99
2000,6,SPHAE,0.45999999999999996
