Year,Site number,Species,cover_total
2000,1,AMFR,0.86
2000,1,ELAN,3.25
2000,1,FOPUP,122.3
2000,1,FORB,0.53
2000,1,GAVI2,0.23
2000,1,GRASS,0.11
2000,1,MACA2,0.22
2000,1,MEOF,0.18
2000,1,MUAS,0.01
2000,1,PAVI5,5.45
2000,1,PODEW,197.1
2000,1,RIAU,0.34
2000,1,SAEX,1.28
2000,1,ULPU,38.93
2000,2,ACHY,0.51
2000,2,AMFR,3.04
2000,2,ARPU9,1
2000,2,CHGE2,0.02
2000,2,ELAN,21.57
2000,2,ELEL5,22.78
2000,2,ERAGR,0.49
2000,2,GRASS,0.17
2000,2,GUSA2,15.2
2000,2,JUMO,0.01
2000,2,MACHA,0.61
2000,2,MEOF,10.6
2000,2,PAOB,0.07
2000,2,PAVI5,0.45
2000,2,PODEW,252.2
2000,2,SATR12,0.63
2000,2,SPCO4,3.48
2000,2,SPCR,3.43
2000,2,SPFL2,1.17
2000,2,SPORO,0.93
2000,2,TACH2,1.24
2000,3,AMFR,4.69
2000,3,AMORP,1.63
2000,3,AMPS,0.16
2000,3,ANCA10,140.93
2000,3,APCA,7.77
2000,3,BASA,0.5
2000,3,CAREX,43.11
2000,3,ELAN,8.21
2000,3,ELEL5,1.05
2000,3,ELYMU,0.11
2000,3,EUOC4,2.23
2000,3,FOPUP,1.35
2000,3,LONIC,1.6
2000,3,MOAL,22.76
2000,3,MUAS,15.29
2000,3,PAVI5,28.26
2000,3,PODEW,155.79
2000,3,RIAU,5.11
2000,3,SAEX,62.14
2000,3,SAGO,13.13
2000,3,ULPU,18.39
2000,4,AMPS,32.7
2000,4,APCA,1.82
2000,4,ARAN7,0.16
2000,4,ASCLE,1.06
2000,4,CAREX,76.82
2000,4,CIRSI,0.26
2000,4,CIVU,0.12
2000,4,DAGL,0.02
2000,4,ELAN,84.17
2000,4,ELCA4,2.35
2000,4,EQLA,0.01
2000,4,EQUIS,0.67
2000,4,EUOC4,23.1
2000,4,FORB,1.71
2000,4,GRASS,1.16
2000,4,LYAM,0.25
2000,4,MINT,0.61
2000,4,MUAS,80.1
2000,4,OEELH2,0.01
2000,4,PAOB,92.46
2000,4,PODEW,70.06
2000,4,SAEX,124.43
2000,4,SOAR2,0.26
2000,4,SPAI,1.45
2000,4,SYFAC,9.29
2000,4,SYMPH4,17.94
2000,5,ELAN,0.81
2000,5,ELEL5,0.11
2000,5,FOPUP,0.1
2000,5,MEOF,0.2
2000,5,MUAS,0.34
2000,5,PODEW,262.05
2000,5,SETAR,0.05
2000,5,TACH2,0.13
2000,6,ACHY,0.04
2000,6,AMORP,0.25
2000,6,BASC5,13.37
2000,6,BRINI,16.56
2000,6,COAR4,4.38
2000,6,DAGL,2.11
2000,6,ELAN,47.39
2000,6,ELEL5,0.15
2000,6,GLLE3,5.87
2000,6,GRASS,0.03
2000,6,HEAN3,0.79
2000,6,HECI,3.85
2000,6,MEOF,1.3
2000,6,MOAL,0.09
2000,6,PASM,0.38
2000,6,PAVI5,0.08
2000,6,PHYSA,0.41
2000,6,PODEW,57.1
2000,6,RIAU,2.26
2000,6,SAEX,0.5
2000,6,SATR12,57.9
2000,6,SELE6,9.51
2000,6,SETAR,0.01
2000,6,SEVI4,0.6
2000,6,SOEL,5.51
2000,6,SPAI,10.3
2000,6,SPAN3,1.51
2000,6,SPCO4,11.21
2000,6,SPCR,2.94
2000,6,SPFL2,0.99
2000,6,SPHAE,0.46
2000,6,SPORO,0.52
2000,6,TACH2,20.23
2000,7,ACHY,0.12
2000,7,BOAR,0.93
2000,7,BOBA2,0.07
2000,7,DIWI2,0.05
2000,7,ELEL5,0.14
2000,7,GRASS,2.16
2000,7,GUSA2,3.7
2000,7,IPLO,0.11
2000,7,OEPA,0.31
2000,7,OPPH,0.07
2000,7,PANIC,0.07
2000,7,PODEW,31.08
2000,7,PORTU,1.09
