Year,Site number,AMFR,ELAN,FOPUP,FORB,GAVI2,GRASS,MACA2,MEOF,MUAS,PAVI5,PODEW,RIAU,SAEX,ULPU,ACHY,ARPU9,CHGE2,ELEL5,ERAGR,GUSA2,JUMO,MACHA,PAOB,SATR12,SPCO4,SPCR,SPFL2,SPORO,TACH2,AMORP,AMPS,ANCA10,APCA,BASA,CAREX,ELYMU,EUOC4,LONIC,MOAL,SAGO,ARAN7,ASCLE,CIRSI,CIVU,DAGL,ELCA4,EQLA,EQUIS,LYAM,MINT,OEELH2,SOAR2,SPAI,SYFAC,SYMPH4,SETAR,BASC5,BRINI,COAR4,GLLE3,HEAN3,HECI,PASM,PHYSA,SELE6,SEVI4,SOEL,SPAN3,SPHAE,BOAR,BOBA2,DIWI2,IPLO,OEPA,OPPH,PANIC,PORTU,PSSC8,SEFL3,SPGI,COCA5,LASE,MEOL,RHTR,ATCA2,HOJU,ASLAH2,UNK,AIAL,ARFI2,ALIN,DALA3,MAPIP4,NAHI,POHA5,PSSC6,CHAMA15,MOSQ,ASSU2,JUBA,LATAP,SYER,SYPR5,TECAO,HELIA3,THIN6,ARAD/BOBA2,MOVE,BRCA6,CYDA,AGROS2,ALTR7,ASOF,CACA4,CADR,CHAL7,CHENO,CLCO2,CYPER,DISP,ECCR,ELPS,ELTR7,EUPHO,JUTO,LEOR,MESA,POCO,RONE,ROWO,SALIX,SOLID,TYLA,TYPHA,WC,CROTON,BRJA,RUMEX,YELAC,IPLO2,MENTZ,BASA4,FRAXINUS,ROPS,RUCR,SOCA6,ARDR4,BREUC2,GAMO5,PHHI8,RATA,PHAU7,PHCO,PRPU,SPSA3,LYTO,THPO7,CHSP11,ERDI4,LACTU,PYPA4,TECA3,DESCU,MARSI,SCPA8,SCPU10,FRVE2,AMBRO,AGGI2,CESP4,SONU2,XAST,DISP/MUAS,LELA2,AMAC2,CONYZ,CRTE4,DAWR2,MELIL,SONI,SOTR,ECMUM,STIPA,ERBE2,BOAR/BOBA2,SPCO4/SPGI,SPCR/SPWR2,CAPE42,JUNCU,OECU2,OENOT,SCAM6,SCTA2,NA,AMAR2,PIOP,DICOT,ERHY,ERPE,PACA6,POMO5,POVI9,SCHIZ4,ALMA12,POOL,AGOSE,CRYPT,TILA2,TRTE,AMARA,BOCU,BOGR2,BROMU,SCAR,SIIR,ELEOC,EPCI,LEMNA,POHI6,CYES,AMCO3,AMHY,EPHE,PEAN,MESA/MEOF,SARA3,VEBR,DALE3,GAURA,GRSQ,PASPA2,LYCIUM,MUAS/DISP,SHRUB,KAPA,PRLO,VETH,TRAGO,HESPE11,JUSC2,ERIGE2,SOAS,JUARL,SCHOE6,GAPU,OPUNT,ANDRO,SOLAN,CUAR,MARE11,CHVI4,ERICA,OPIM,SPGR2,SEED,ATMI2,CAUT,SAGIT,SCACO2,SONCH,BIFR,POPR,SCPH,XASP2,CHFR3,CHPR5,PHVI5,XANTH2,SPCR/SPFL2,ARTEM,CHIN2,HEPE,SYMPH,CHER2,POLA4,SOHA,PLJA,EPILO,MUTO2,DISA,HECU3,CHVI8,CYOD,ERPEM,GAURA/OENOT,LEFUF,PADI,HENE5,BOUTE,MUME2,ELPA3,CUFO,SUAED,GACO5,PSST7,MIGL,ASSP,CIAR4,PHAR3,DEIL,SAPA8,BICE,CAPR5,CLLI2,LYSA2,ARCA14,AMCO,ONAG,PADI16,PLANT,VEAN2,SAAM2,MAAQ2,CYIM2,BAHY,ARIST,BOERH2,DIWI5,MIRAB,PECTI,PHACE,ATCA,SISYM,MELIL/MESA,ECHIN,ECHIN4,EUDA5,AMBL,EUDE4,SAAB,TOAN,FUNGI1,PHHE4,BOTO2,BAMU,LYCOP4,OEELH,TYDO,UNID,AMPA,ARLU,CHLE4,ERACA,HEVI4,HITR,SCAR7,TAOF,ALGAE,SENEC,PHHE5,BOBA2/BOAR,GAPI,LINUM,MUHLE,RACO3,CHVE2,HYMEN4,OECO2,PASP,BOSP,EPWI2,MIGL3,GLTR,SARA3 ,EQAR,ERPEP2,FUNGI,ATARE,BAPT,CRTR5,MALE3,SEVE2,SUMO,TRDU,CARA2,CYES ,UDS,CLSE,MUPO2,SPWR2,LYPA,LINE,MILI3,FRAXI,BRTE,OESU3,ORPU2,ATRIP,TRPO2,PLLA,TRPR,CYGLO,ERCI,SPOB,SYLAH6,PHMA18,CHHI,PODO3,HENE3,BRASSI,MOSC,POHA2,ElEL5,AMFL,HOSU,SPFL3,DYPA,UMS,NYCTAG,BACCH,CYGL,MUME5,BIDEN,SCAC3,COCA6,RIAM,SPIFL,SPORP,CYSQ,CYSQ ,POLAN,ECPR,SAAM6,HYFL,COAM8,CYAT,PLMA2,POAB,PSCA11,CHAMA8,UGI,BOER4,MOCE,STPA4,ELCA5,CHSO,PEGR9
2000,1,0.86,3.25,122.3,0.53,0.23,0.11,0.22,0.18,0.01,5.45,197.1,0.34,1.28,38.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,2,3.04,21.57,0,0,0,0.17,0,10.6,0,0.45,252.2,0,0,0,0.51,1,0.02,22.78,0.49,15.2,0.01,0.61,0.07,0.63,3.48,3.43,1.17,0.93,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,3,4.69,8.21,1.35,0,0,0,0,0,15.29,28.26,155.79,5.11,62.14,18.39,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,1.63,0.16,140.93,7.77,0.5,43.11,0.11,2.23,1.6,22.76,13.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,4,0,84.17,0,1.71,0,1.16,0,0,80.1,0,70.06,0,124.43,0,0,0,0,0,0,0,0,0,92.46,0,0,0,0,0,0,0,32.7,0,1.82,0,76.82,0,23.1,0,0,0,0.16,1.06,0.26,0.12,0.02,2.35,0.01,0.67,0.25,0.61,0.01,0.26,1.45,9.29,17.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,5,0,0.81,0.1,0,0,0,0,0.2,0.34,0,262.05,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,6,0,47.39,0,0,0,0.03,0,1.3,0,0.08,57.1,2.26,0.5,0,0.04,0,0,0.15,0,0,0,0,0,57.9,11.21,2.94,0.99,0.52,20.23,0.25,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,2.11,0,0,0,0,0,0,0,10.3,0,0,0.01,13.37,16.56,4.38,5.87,0.79,3.85,0.38,0.41,9.51,0.6,5.51,1.51,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,7,0,0,0,0,0,2.16,0,0,0,0,31.08,0,0,0,0.12,0,0,0.14,0,3.7,0,0,0,0.03,16.41,0.75,1.08,1.47,21.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.93,0.07,0.05,0.11,0.31,0.07,0.07,1.09,9.81,0.29,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,1,1.42,5.07,164.04,0,0,0,0.29,0,0,8.18,192.46,0,0.92,28.78,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84,0.12,0.03,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,2,3.18,16.65,0,0,0,0.24,0,12.21,0,0,209.16,0,0,0,0,1.13,0,40.32,0,14.47,2.54,0.13,0,0.61,0.64,14.62,0,0.09,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0.33,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,3,8.29,12.53,21.04,0.08,0,0.19,0,0,30.37,32.97,162.77,6.2,96.47,19.7,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,1.56,152.04,2.99,0.5,40.42,0,4.28,1.82,29.83,12.8,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
