Year,Month,Day,Site number,Transect,Species code,Start,End,Difference
2025,5,28,31,D,SAEX,11.81,11.2,-0.610000000000001
2025,5,28,31,F,PODEW,10.9,10.72,-0.18
2025,5,28,31,J,ELAN,8.94,8.19,-0.75
2025,5,28,31,J,SAEX,27.89,27.16,-0.73
2025,7,2,7,B,GUSA2,23.56,23.1,-0.459999999999997
2025,7,8,3,H,ANCA10,8.87,8.55,-0.319999999999999
2025,7,8,3,H,ANCA10,10,.,-10
2025,7,8,3,I,CAREX,3.61,3.57,-0.04
2025,7,8,3,J,SAEX,28,21.04,-6.96
2025,7,17,29,B,PAOB,22.37,.,-22.37
2025,7,17,29,D,AMPS,10.26,10.23,-0.0299999999999994
2025,7,17,29,F,CYDA,14.65,14.64,-0.00999999999999979
2025,7,22,29,I,PAOB,15.35,13.5,-1.85
2025,7,22,29,I,SPORO,26.58,26.55,-0.0299999999999976
2025,7,22,29,J,PAOB,29.68,29.66,-0.0199999999999996
2025,7,25,20,D,SPORO,22.19,22.18,-0.0100000000000016
2025,7,25,20,D,SATR12,29.19,29.12,-0.0700000000000003
2025,5,28,13,B,ULPU,18,12.62,-5.38
2025,5,28,13,H,DISP/MUAS,23.98,23.94,-0.0399999999999992
2025,6,5,14,C,LYTO,21.4,21.23,-0.169999999999998
2025,7,2,25,A,DISP/MUAS,28.87,28.76,-0.109999999999999
2025,7,2,25,E,DISP/MUAS,7.47,7.45,-0.0199999999999996
2025,7,8,25,H,COAR4,15.39,13.41,-1.98
2025,7,8,25,H,ANCA10,17.39,.,-17.39
2025,7,8,25,J,DISP/MUAS,14.27,13.3,-0.969999999999999
2025,7,22,12,H,SARA3,7.79,7.22,-0.57
2025,7,21,30,F,DISP/MUAS,13.88,13.71,-0.17
2025,7,21,30,F,DISP/MUAS,23.47,23.45,-0.0199999999999996
2025,7,21,30,I,SPORO,6.64,6.48,-0.159999999999999
2025,7,21,30,J,AMFR,3.98,.,-3.98
2025,7,21,30,J,SPCO4,16.82,16.3,-0.52
2025,7,23,23,H,ELEL5,4.49,4.41,-0.0800000000000001
