"","species","sites"
"1","ABVI","7"
"2","ACHY","2, 6, 7, 16, 17, 5, 23, 25, 20, 8, 11, 18, 10, 1, 19"
"3","ADS","9"
"4","AG","2, 3, 9, 7, 13"
"5","AGGI2","13, 9, 4, 29"
"6","AGOSE","4, 21, 22"
"7","AGROS2","9, 29"
"8","AIAL","6, 8, 17, 21, 23, 13, 12"
"9","ALGAE","30"
"10","ALIN","7"
"11","ALMA12","16"
"12","ALTR7","9"
"13","AMAC2","17, 7, 24"
"14","AMAR2","11"
"15","AMARA","8, 23, 10, 13, 16, 24, 21, 32"
"16","AMBL","24"
"17","AMBRO","11, 17, 24, 7"
"18","AMCO","13, 11"
"19","AMCO3","11"
"20","AMFR","1, 2, 3, 10, 11, 12, 21, 22, 14, 17, 8, 6, 9, 13, 30"
"21","AMHY","11, 7, 10"
"22","AMORP","3, 6, 11"
"23","AMPA","23, 28, 30"
"24","AMPS","3, 4, 9, 10, 14, 16, 13, 11, 1, 12, 17, 6, 18, 25, 7, 8, 24, 27, 29, 30, 28"
"25","ANCA10","3, 5, 4, 14, 15, 16, 18, 19, 22, 25, 13, 26"
"26","ANDRO","13"
"27","ANNU","7"
"28","APCA","3, 4, 9, 10, 13, 14, 11, 21, 22, 20, 15, 27, 29, 30"
"29","ARAD","7"
"30","ARAN7","4, 9"
"31","ARCA14","10"
"32","ARDR4","10, 12, 24"
"33","ARFI2","6"
"34","ARIST","7"
"35","ARLU","23"
"36","ARPU","7"
"37","ARPU9","2, 7, 10, 17, 25, 4, 29"
"38","ARTEM","23"
"39","ASCLE","4, 6, 9"
"40","ASLAH2","4"
"41","ASOF","9, 15"
"42","ASSP","9"
"43","ASSU2","4, 10, 22, 12, 21, 24, 11, 28, 18, 25, 29"
"44","ASTER","4"
"45","ATCA","11"
"46","ATCA2","2, 20, 11, 6, 8, 4, 10, 17, 29, 30, 31"
"47","ATMI2","9"
"48","BAHY","25"
"49","BAMU","11"
"50","BASA","3, 4, 9, 8, 10, 13, 14, 29, 31, 32"
"51","BASA4","8, 10, 14, 3, 9, 13, 15, 22, 4, 26, 27, 29, 31"
"52","BASC5","6, 8, 9, 15, 16, 17, 18, 20, 21, 23, 25, 22, 19, 4, 5, 10, 28, 30, 24, 26, 31, 32"
"53","BICE","9"
"54","BIFR","13, 4, 25, 9"
"55","BOAR","7, 6, 21"
"56","BOBA2","7, 1, 2, 10, 13, 20, 17, 11, 24, 21, 23, 30"
"57","BOCU","8, 10, 23, 30"
"58","BOERH2","7"
"59","BOGR","8, 10, 13, 30"
"60","BOGR2","8, 30, 10"
"61","BOSP","7"
"62","BOTO2","7, 24"
"63","BOUTE","10, 7, 28, 23, 30, 2, 14"
"64","BRCA6","8, 13, 9, 21, 22, 12, 23, 6, 31, 30"
"65","BREUC2","10"
"66","BRINI","6, 8, 9, 17, 4, 22, 5, 24, 13, 23, 30"
"67","BRJA","4, 9, 13"
"68","BROMU","8, 13, 9, 22, 23, 6, 24, 1, 10, 12, 21, 31"
"69","CACA4","9"
"70","CADR","9"
"71","CAPE42","9"
"72","CAPR5","9"
"73","CAREX","3, 4, 9, 14, 13, 20, 10, 22, 5, 12, 25, 8, 23, 27, 29, 31"
"74","CAUT","9"
"75","CHAL7","9, 6, 17, 21, 10, 19"
"76","CHAMA15","2, 6, 7, 10, 1, 13, 17, 11, 12, 20, 21, 23, 24, 25, 4, 5, 30, 28, 29, 32"
"77","CHENO","9, 17, 20, 25, 24, 28, 32"
"78","CHER2","1, 10, 24"
"79","CHFR3","17, 21, 28"
"80","CHGE","2"
"81","CHIN2","24"
"82","CHLE4","28"
"83","CHPR5","17, 24, 25, 9, 32"
"84","CHSP11","16, 14, 29"
"85","CHVE2","24"
"86","CHVI4","24, 28"
"87","CHVI8","24"
"88","CIAR4","9, 5"
"89","CIRSI","4, 9"
"90","CIVU","4, 5, 9"
"91","CLCO2","9"
"92","CLLI2","9"
"93","COAR","8"
"94","COAR4","6, 9, 22, 25, 16, 18, 28, 29, 31"
"95","COCA5","1, 2, 4, 9, 10, 5, 6, 13, 17, 18, 8, 16, 20, 21, 11, 12, 14, 19, 22, 23, 24, 25, 3, 28, 30"
"96","COMP","4, 10, 21, 22, 1, 24, 23, 8, 2, 13, 28, 11, 31"
"97","CONYZ","17"
"98","CROTON","2, 6"
"99","CRTE4","17, 6, 11, 16, 2, 7"
"100","CRYPT","6, 10, 11, 12"
"101","CUAR","20"
"102","CUFO","21"
"103","CYDA","8, 13, 28, 12, 29, 4, 25"
"104","CYIM2","24"
"105","CYOD","25, 13"
"106","CYPER","9, 13, 10, 12, 25, 4, 3, 22, 20, 29, 30, 31"
"107","DAGL","4, 6, 8, 13"
"108","DALA3","7, 10"
"109","DAWR2","17"
"110","DEIL","25, 13, 28, 4"
"111","DESCU","8, 17, 1, 21"
"112","DICOT","13, 1, 6, 11, 12, 17, 21, 22, 9, 10, 8, 23"
"113","DISA","13, 25"
"114","DISP","9, 4, 14, 15, 16, 5, 13, 3, 20, 22, 18, 11, 12, 24, 25, 30, 26, 27, 29, 31, 32"
"115","DIWI2","7, 10, 17, 2"
"116","DIWI5","7"
"117","ECCR","9, 28"
"118","ECHIN","13, 20"
"119","ECHIN4","13, 17, 23, 24, 28"
"120","ECMUM","18, 8, 13, 9, 23, 25, 4, 14, 21, 10, 24, 28, 31"
"121","ELAN","1, 2, 3, 4, 5, 6, 8, 9, 10, 14, 15, 16, 11, 13, 17, 18, 19, 20, 12, 22, 23, 25, 21, 27, 29, 30"
"122","ELCA4","4, 3, 8, 9, 10, 14, 13, 12, 21, 22, 1, 15, 29"
"123","ELEL","6"
"124","ELEL5","2, 3, 5, 7, 4, 6, 10, 17, 1, 8, 11, 12, 21, 22, 9, 15, 16, 23, 24, 20, 18, 30, 13, 27, 31, 28"
"125","ELEOC","9, 13"
"126","ELPA3","13"
"127","ELPS","9"
"128","ELTR7","9, 14, 13, 15, 8, 12, 10, 29"
"129","ELYMU","3, 10, 14, 8, 9"
"130","EPCI","9, 11"
"131","EPHE","11"
"132","EPILO","9"
"133","EQLA","4, 9, 13, 14, 22, 27, 29"
"134","EQUIS","4, 9, 13"
"135","ERACA","28"
"136","ERAGR","2, 13, 8, 25, 24"
"137","ERBE2","6, 10, 24"
"138","ERDI4","1, 10, 24, 13"
"139","ERHY","13, 28"
"140","ERIGE","10"
"141","ERIGE2","7, 10"
"142","ERPE","13, 8, 4, 25, 24, 28, 10"
"143","ERPEM","25"
"144","EUDA5","21, 24, 30"
"145","EUDE4","24"
"146","EUOC4","3, 4, 14, 13, 8, 20, 10, 25, 9, 27, 29"
"147","EUPHO","9"
"148","FONE","3"
"149","FOPUP","1, 5, 3, 9, 7, 10, 11, 13, 14, 12, 24, 8, 18, 2, 21, 22, 30, 6, 25"
"150","FORB","1, 4, 5, 9, 6, 13, 3, 7, 8, 10, 12, 14, 16, 17, 18, 21, 22, 23, 24, 2, 11, 20, 25"
"151","FRAXINUS","8"
"152","FRVE2","10"
"153","FUNGI1","6"
"154","GACO5","1, 24"
"155","GAMO5","10, 4, 9, 1, 11, 12, 13, 21, 22, 23, 24, 28, 29"
"156","GAPI","7"
"157","GAPU","10"
"158","GAURA","13, 23, 24, 10, 21"
"159","GAVI2","1, 4, 9"
"160","GLLE3","6, 9, 10, 22, 25, 13, 18"
"161","GRASS","1, 2, 4, 6, 7, 9, 15, 17, 8, 10, 11, 12, 13, 14, 16, 21, 22, 23, 3, 5, 18, 20, 24, 25, 30"
"162","GRASS1","2"
"163","GRSS","4, 5, 7, 2"
"164","GUSA2","2, 7, 10, 1, 11, 8, 24, 6, 4"
"165","HEAN","4, 9"
"166","HEAN3","6, 4, 9, 1, 10, 13, 17, 8, 11, 20, 22, 16, 18, 21, 23, 12, 24, 25, 28, 30, 29, 32"
"167","HECI","6, 17, 25, 18, 27, 31"
"168","HECU3","17"
"169","HELIA3","6, 9, 24"
"170","HENE4","2"
"171","HENE5","2, 8, 1, 11"
"172","HEPE","24"
"173","HESPE11","2"
"174","HEVI4","28, 24"
"175","HITR","28"
"176","HOJU","3, 4, 8, 9, 14, 15, 16, 13, 17, 19, 5, 11, 18, 1, 20, 21, 22, 12, 6, 2, 10, 23, 24, 25, 27, 28, 31"
"177","HYMEN4","24"
"178","IPLO","7"
"179","IPLO2","7, 24"
"180","JUARL","9, 22, 13, 14, 4, 25, 26, 27, 29, 30"
"181","JUBA","4, 9, 14, 15, 13, 22"
"182","JUMO","2, 5, 24, 20"
"183","JUNCU","9, 13, 30"
"184","JUSC2","5"
"185","JUTO","9, 5, 25, 13"
"186","KAPA","17, 7, 20, 24, 30"
"187","KOSC","6, 5, 9, 8, 14, 15, 16, 17, 18, 20, 7, 21, 4"
"188","LACTU","1, 21"
"189","LASE","1, 3, 13, 17, 18, 19, 8, 16, 10, 11, 12, 22, 6, 9, 21, 23, 4, 25, 2, 28, 30, 29, 31"
"190","LATAP","4, 9, 13"
"191","LEFUF","25, 4, 13"
"192","LELA2","14"
"193","LEMNA","9"
"194","LEOR","9, 23, 13"
"195","LINUM","7"
"196","LONIC","3"
"197","LYAM","4, 9"
"198","LYCIU","14"
"199","LYCOP4","13, 9"
"200","LYSA2","9"
"201","LYTO","15, 16, 7, 25, 8, 14, 18, 19, 26"
"202","MAAQ2","23"
"203","MACA","1"
