species	Common name	WETLAND indicator	Life form	native to NM	Duration
ABVI	trailing windmills	WF	forb	native	Perennial
ACHY	Indian rice grass	DO	grass	native	Perennial
ADS			forb
AG			grass
AGGI2	redtop	WF	grass	introduced	Perennial
AGOSE	agoseris	F 	forb	native	(2 perennial, 1 annual)
AGROS2	bentgrass	WF	grass	both
AIAL	tree of heaven	UF	tree	introduced	Perennial
ALGAE	Algae		algae
ALIN	trailing windmills	WF	forb	native	Perennial
ALMA12	camelthorn	F	shrub	introduced	Perennial
ALTR7	northern water plantain	OW	forb	native	Perennial
AMAC2	flatspine burr ragweed	N	forb	native	Annual
AMAR2	annual ragweed	UF	forb	native	Annual
AMARA	pigweed	N	forb	both	.
AMBL	mat amaranth		forb	introduced	annual
AMBRO	ragweed	N	forb	native	.
AMCO	weakleaf burr ragweed	N	forb	native	Perennial
AMCO3	weakleaf burr ragweed	N	forb	native	Perennial
AMFR	desert false indigo	N	shrub	native	Perennial
AMHY	slim amaranth	N	forb	native	Annual
AMORP	false indigo	WF	shrub	native	Perennial
AMPA	carelessweed		forb	native	annual
AMPS	Cuman ragweed	UF	forb	native	Perennial
ANCA10	yerba mansa	OW	forb	native	Perennial
ANDRO	bluestem	N	grass	introduced	.
ANNU			grass
APCA	Indianhemp	UF	forb	native	Perennial
ARAD	sixweeks threeawn	N	grass	native	Annual
ARAD/BOBA2	sixweeks grass	N	grass	native	Annual
ARAN7	silverweed cinquefoil	N	forb	native	Perennial
ARCA14	Carruth's sagewort	N	forb	native	Perennial
ARDR4	tarragon	N	shrub	native	Perennial
ARFI2	sand sagebrush	N	shrub	native	Perennial
ARIST	threeawn	N	grass	native	.
ARLU	white sagebrush		forb	introduced	perennial
ARPU	purple threeawn	N	grass	native	Perennial
ARPU9	purple threeawn	N	grass	native	Perennial
ARTEM		N	shrub	both	.
ASCLE	milkweed	F	forb	both	.
ASLAH2	white panicle aster		forb	native	perennial
ASOF	garden asparagus	UF	forb	introduced	Perennial
ASSP	showy milkweed	F	forb	native	Perennial
ASSU2	horsetail milkweed	UF	forb	native	Perennial
ASTER			forb
ATCA	fourwing saltbush	N	shrub	native	Perennial
ATCA2	fourwing saltbush	N	shrub	native	Perennial
ATMI2	twoscale saltbush	N	forb	introduced	Annual
BAHY	fivehorn smotherweed 	F	forb	introduced	Annual
BAMU	desert marigold		forb	native	annual and perennial
BASA	willow baccharis		shrub	native	Perennial
BASA4	mule-fat	F	shrub	native	Perennial
BASC5	kochia	F	forb	introduced	Annual
BICE	nodding beggartick	OW	forb	native	Annual
BIFR	devil's beggartick	WF	forb	native	Annual
BOAR	needle grama	WF	grass	native	Annual
BOAR/BOB			grass	native	Annual
BOBA2	sixweeks grama	N	grass	native	Annual
BOBA2/BO			grass
BOCU	sideoats grama	N	grass	native	Perennial
BOERH2	spiderling	N	forb	native	.
BOGR	blue grama	N	grass	native	Perennial
BOGR2	blue grama	N	grass	native	Perennial
BOSP	creeping spiderling		forb	native	annual
BOTO2	creeping spiderling		forb	native	annual
BOUTE	grama	N	grass	both	.
BRCA6	rescuegrass	N	grass	introduced	Annual/Perennial
BREUC2	false boneset	N	forb	native	Perennial
BRINI	smooth brome	N	grass	introduced	Perennial
BRJA	Japanese brome	N	grass	introduced	Annual
BROMU	brome	UF	grass	both	.
CACA4	bluejoint	WF	grass	native	Perennial
CADR	whitetop	N	forb	introduced	Perennial
CAPE42	woolly sedge	OW	grass	native	Perennial
CAPR5	clustered field sedge	WF	grass	native	Perennial
CAREX	sedge	Y	grass	native	.
CAUT	Northwest Territory sedge	OW	shrub	native	Perennial
CESP4 	coastal sandbur 	N	grass	native	Annual/Perennial
CHAL7	lambsquarters	N	forb	both	Annual
CHAMA15	Gray sandmat	N	forb	native	Perennial
CHENO	goosefoot	UF	forb	both	.
CHER2	rose heath	N	forb	native	Perennial
CHFR3	Fremont's goosefoot	UF	forb	native	Annual
CHGE	Geyer's sandmat	N	forb	native	Annual
CHGE2	Geyer's sandmat	N	forb	native	Annual
CHIN2	
y goosefoot	N	forb	native	Annual
CHLE4	narrowleaf goosefoot		forb	native	annual
CHNU9	eyebane	N	forb	native	Annual/Perennial
CHPR5	desert goosefoot	N	forb	native	Annual
CHSP11	spiny chloracantha	F	forb	native	Perennial
CHVE2	tumble windmill grass		grass	native	perennial
CHVI4	feather fingergrass	UF	grass	native	Annual
CHVI8	yellow rabbitbrush	N	shrub	native	Perennial
CIAR4	Canada thistle	UF	forb	introduced	Perennial
CIRSI	thistle	UF	forb	native	.
CIVU	bull thistle	UF	forb	introduced	Biennial
CLCO2	rock clematis	N	vine	native	Perennial
CLLI2	western white clematis	F	vine	native	perennial
COAR	field bindweed	N	forb	introduced	Perennial
COAR4	field bindweed	N	forb	introduced	Perennial
COCA5	Canadian horseweed	N	forb	native	Annual/Biennial
COMP	asteraceae		forb	both	both
CONYZ	horseweed	UF	forb	both	.
CROTO	croton	N	forb
CROTON	croton	N	forb
CRTE4	Texas croton	N	forb	native	Annual
CRYPT	cryptantha	UF	forb	native	.
CUAR	Arizona cypress	N	tree	native
CUFO	Missouri gourd	N	forb	native	Perennial
