year	month	day	site_name	site_number	air_temp_c	barom_p_hPa	turbidity_ntu	do_mg_l	do_percent	dp_temp_c	conductivity_uS_cm	specific_conducntance_uS_cm	conductivity_temp_c	ph1	ph2	ph3	e_coli_coliforn_mon_100_mL	total_coliform_mpn_100mL	river_flow_alb_gauge_cfs
2019	1	23	State Land Office	5	1.9	643.2	68.9	10.99	81.8	3.1	260.6	445.7	3.2	8.34	8.33	8.32	574.8	2046	534
2019	1	23	Montano	4	2.2	641.3	39.9	11.37	83.4	2.5	217.3	379.9	2.6	8.48	8.53	8.54	75.4	686.7	534
2019	1	23	Badger	3	2.9	640.9	36.2	11.29	84	3	219.5	375.7	3.2	8.88	8.91	8.91	29.8	435.2	534
2019	1	23	Coronado	1	9.8	637.9	11.9	11.78	87.3	2.9	211.6	265.2	3	8.42	8.42	8.43	4.1	218.7	534
2019	1	23	Blank	0	.	.	.	.	.	.	.	.	.	.	.	.	1	1	534
2019	2	27	State Land Office	5	11.1	.	71.9	9.84	81.1	7.1	269.2	408.1	7.2	8.28	8.31	8.31	152.9	727	802
2019	2	27	Rio Bravo	6	12.5	639.7	77.3	10.05	81.9	6.6	242.1	370	6.7	8.45	8.45	8.51	104.6	1119.9	802
2019	2	27	Central	7	13.6	639.2	37.3	9.93	84.2	8.1	264.2	388.1	8.3	8.53	8.53	8.54	42.8	613.1	802
2019	2	27	Montano	4	15.2	638.0	57.6	10.04	84.77	8.1	232.4	343.8	8.2	8.51	8.55	8.53	31.3	435.2	802
2019	2	27	Badger	3	16.9	637.2	41.6	10.51	86.3	6.9	228.6	349.4	7	8.55	8.55	8.55	16	727	802
2019	2	27	Coronado	1	16.8	635.9	27.2	10.75	86	5.9	218	343.7	6	8.41	8.45	8.48	5.2	579.4	802
2019	2	27	Blank	0	.	.	.	.	.	.	.	.	.	.	.	.	1	1	802
2019	3	27	State Land Office	5	15	639.7	72	8.51	77.9	11.4	248.4	334.1	11.6	8.15	8.13	8.1	52	1732.9	1520
2019	3	27	Rio Bravo	6	17.6	639.6	120	8.53	79.3	12.1	233.4	309	12.2	8.38	8.36	8.34	63.8	2014	1520
2019	3	27	Central	7	21.8	638.5	100	8.47	79.5	12.5	232.7	305.5	12.5	8.47	8.47	8.48	42.8	1396	1520
2019	3	27	Montano	4	20.2	637.5	67	8.08	81.7	12.2	229.5	303	12.3	8.36	8.32	8.28	38.9	1986.3	1520
2019	3	27	Badger	3	24.4	636.4	45	9.28	84.6	11.4	226.9	306.6	11.4	8.41	8.41	8.43	25.3	1299.7	1520
2019	3	27	Coronado	1	24.8	633.3	604	9.42	86.3	11.5	225.3	302.9	11.7	8.45	8.48	8.46	16.9	1723	1520
2019	3	27	Blank	0	.	.	.	.	.	.	.	.	.	.	.	.	1	1	1520
2019	4	22	State Land Office	5	19.5	637.0	67	7.78	75	14.1	250.5	316.1	14.1	8.32	8.35	8.36	79.4	3448	2630
2019	4	22	Rio Bravo	6	32	636.2	66	7.97	77.7	14.4	241	303	14.4	8.5	8.51	8.52	69.7	2098	2630
2019	4	22	Central	7	33.6	635.9	59	8.28	79	13.4	237.5	305.7	13.4	8.5	8.52	8.52	48.9	1732.9	2630
2019	4	22	Montano	4	19.7	635.4	43	8.44	79.7	12.8	232.1	301.7	12.9	8.49	8.5	8.49	47.1	1396	2630
2019	4	22	Badger	3	21.5	634.3	88.4	8.87	83.1	12.6	329.9	300.6	12.6	8.47	8.48	8.48	22.6	1986.3	2630
2019	4	22	Coronado	1	23.7	632.6	95.5	8.78	84.4	13.7	231.3	295.3	13.7	8.48	8.48	8.49	62	1986.3	2630
2019	4	22	Blank	0	.	.	.	.	.	.	.	.	.	.	.	.	1	1	2630
2019	5	29	State Land Office	5	22.5	634.1	67	7.63	75.9	15.4	184.8	225.8	15.5	8.49	8.48	8.49	29.2	2419.6	3260
2019	5	29	Rio Bravo	6	19.9	634.0	65	7.68	76.8	15.4	174.8	213.5	15.5	8.42	8.41	8.39	32.8	1986.3	3260
