year	month	day	site	northwell	eastwell	centerwell	southwell	westwell	NorthCaseHeight	EastCaseHeight	CenterCaseHeight	SouthCaseHeight	WestCaseHeight
2019	1	18	1	356.5	413	378.5	424	351	60.9	82	65.7	116	99.7
2019	1	15	2	292	301	284	289	276	101.3	103.8	94	105.2	91.4
2019	1	14	3	173	179	175	143	185	16.4	7.8	16.4	12.6	17
2019	1	15	4	206.5	196	187	193	130	108.6	72.2	82	70.4	5
2019	1	16	5	.	.	.	.	.	.	.	.	.	.
2019	1	16	6	148.5	176.5	157.5	172	159.5	47	48.8	50.3	53.4	53.9
2019	1	17	7	301.5	298	301	284	330.5	16.8	16.3	17	10.4	21.8
2019	1	14	8	231	248.5	167	163	233	91.6	97.5	94.8	101.2	119.8
2019	1	.	9	.	.	.	.	.	35.1	76.4	45	71.2	60.2
2019	1	15	10	333	377.5	314	356	336	71.4	51.3	59.7	69	76.4
2019	1	19	11	231.5	247	255	261	274	44.9	50.3	78.1	81.1	63.1
2019	1	18	12	255	240	230	253.5	260	72.3	54.6	44.6	65.1	50.3
2019	1	15	13	158	184	161	132	173	25.7	82.4	28.1	25.5	30.4
2019	1	19	14	221	209	215	226	213	59	36	40.4	41.2	40
2019	1	16	15	117	143	108	114.5	70	15	13.2	14.2	9.6	23
2019	1	15	16	194	221	214.5	206.5	191	31.1	70.4	46.3	59.3	71.3
2019	1	18	17	263	268	242.5	257	272	97.4	97.5	41.8	83.8	66.1
2019	1	16	18	155	222	183.5	187.5	176	36.7	61.3	63	59.5	51.2
2019	1	16	19	216	137	187	184	180	51	52.5	61.7	49.8	51.5
2019	1	16	20	99	246	73	69	257	34	25.5	15.8	21.5	43.7
2019	1	16	21	245.5	308	302	324	280	31.2	12.2	30.6	28.8	27.8
2019	1	19	22	156	118	150	117	196	38.8	33.3	49.4	24.8	37
2019	1	20	23	141	226.5	137	167.5	148.5	19.8	20.7	27.9	32	25.7
2019	1	18	24	.	.	.	.	.	.	.	.	.	.
