Year,Month,Day,Site,tub,cw - new,cw - L yr,will,seep,nmol,thcr,indbu,sc,ro,elm,mul,othplan,repcw,repwil,repruol,reprelm,repsc,repoth,wood,totalwt,totalrepro,sum,diff,DatasheetNotes,checked?,QAQCNotes
2018,1,18,7,A,1.7,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.8,0.1,1.8,0,,RC,
2018,1,18,7,B,0,.,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.6,0,0.6,0,,RC,
2018,1,18,7,C,2,.,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,2.4,0.4,2.4,0,,RC,
2018,1,18,7,D,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0,0,,RC,
2018,1,18,7,E,2.6,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,2.6,0,,RC,
2018,1,18,7,F,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,RC,
2018,1,18,7,G,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Tubs stolen,RC,
2018,1,18,7,H,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Tubs stolen,RC,
2018,1,18,7,I,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Tubs stolen,RC,
2018,1,18,7,J,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Tubs stolen,RC,
2018,1,18,10,K,5.6,.,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,2,38.5,46.3,2,46.3,0,,SPO,
2018,1,18,10,B,1.6,.,1.1,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0.2,2.9,0,2.9,0,,SPO,
2018,1,18,10,C,0.8,.,0.1,0,0,0,0,1.2,0,0.1,0,0,0.01,0,0,0,0,0,0.01,2.4,0.01,2.2,0.2,,SPO,
2018,1,18,10,D,0,.,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0,,SPO,
2018,1,18,10,E,2.8,.,0.01,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0.4,4.4,0,4.4,0,,SPO,
2018,1,18,10,F,0.8,.,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.1,1.1,0,0.9,0.2,,SPO,
2018,1,18,10,G,0.3,.,0.2,0,0,0,0,0.01,0,0.7,0,0.01,0,0,0,0,0,0,1.1,2.6,0,2.3,0.3,,SPO,
2018,1,18,10,H,1.1,.,0,0,0,0,0,0.01,5.9,0,0,0,0,0,0,0,0,0,3.3,10.4,0,10.3,0.1,,SPO,
2018,1,18,10,I,0.6,.,0,0,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.8,0,1.8,0,,SPO,
2018,1,18,10,J,0,.,0.1,0,0,0,0,0.1,0.01,0,0,0,1.4,0,0,0,0,0,1,2.9,1.4,2.6,0.3,,SPO,
2018,1,17,30,A,1.6,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,1.6,0,,RC,
