site	site_name	site_lat	site_long
9	Ohkay Owingeh	36.0618	-106.0761
24	Santo Domingo	35.50989	-106.3896
5	Santa Ana	35.34284	-106.5458
32	Sandia	35.255	-106.5907
22	Bobcat	35.19705633	-106.6439494
21	Badger	35.1956	-106.6402
12	Minnow	35.19315094	-106.646915
10	Diversion	35.1908	-106.6429
11	Calabacillas	35.19056822	-106.6491626
1	Alameda	35.1875	-106.6459
17	Montano	35.14528819	-106.6803699
6	Savannah	35.14285294	-106.6819814
2	Rio Grande Nature Center	35.127	-106.6854
20	Route 66	35.1006408	-106.6914783
8	Hispanic Cultural Center	35.06881267	-106.6580575
23	BioPark	35.079	-106.668
29	Albuquerque Overbank Project	35.04546	-106.6657
13	Harrison	35.01505603	-106.6736953
31	San Jose	35.012375	-106.6728
28	Valle de Oro	34.97895	-106.6801
30	State Land Office	34.96785	-106.6856
27	Bosque Farm	34.848851	-106.714722
3	Los Lunas	34.81236936	-106.714458
19	Reynolds Forest	34.66054583	-106.7429525
18	Reynolds Cleared	34.65966431	-106.7421328
15	Valencia Cleared	34.64863444	-106.7391728
4	Belen	34.6484315	-106.7377022
16	Valencia Forest	34.64716225	-106.738482
25	Crawford	34.63835	-106.74277
14	Sevilleta	34.25834233	-106.8831845
7	Lemitar	34.16703188	-106.8899486
34	River Realignment	33.8227	-106.8419
33	Bosque del Apache	33.8197	-106.8539
26	Mesilla	32.248328	-106.821014
