Year,Site number,Site name,Latitude,Longitude,Annual mean depth to groundwater cm,Lag of mean annual depth to groundwater
1997,1,Alameda,35.1875,-106.6459,-256.425,.
1997,2,Rio Grande Nature Center,35.127,-106.6854,-166.25,.
1997,3,Los Lunas,34.8124,-106.7145,.,.
1998,1,Alameda,35.1875,-106.6459,-260.19375,-256.425
1998,2,Rio Grande Nature Center,35.127,-106.6854,-178.5575,-166.25
1998,3,Los Lunas,34.8124,-106.7145,.,.
1998,4,Belen,34.6484,-106.7377,-92.08181818181818,.
1999,1,Alameda,35.1875,-106.6459,-267.4,-260.19375
1999,2,Rio Grande Nature Center,35.127,-106.6854,-178.665,-178.5575
1999,3,Los Lunas,34.8124,-106.7145,.,.
1999,4,Belen,34.6484,-106.7377,-87.34,-92.08181818181818
2000,1,Alameda,35.1875,-106.6459,-266.7916666666667,-267.4
2000,2,Rio Grande Nature Center,35.127,-106.6854,-184.81363636363636,-178.665
2000,3,Los Lunas,34.8124,-106.7145,-98.9814814814814,.
2000,4,Belen,34.6484,-106.7377,-91.1509090909091,-87.34
2000,6,Savannah,35.1429,-106.682,-116.1,.
2000,7,Lemitar,34.167,-106.8899,-269.25,.
2001,1,Alameda,35.1875,-106.6459,-271.00208333333336,-266.7916666666667
2001,2,Rio Grande Nature Center,35.127,-106.6854,-187.98125,-184.81363636363636
2001,3,Los Lunas,34.8124,-106.7145,-105.47986111111108,-98.9814814814814
2001,4,Belen,34.6484,-106.7377,-97.68333333333334,-91.1509090909091
2001,6,Savannah,35.1429,-106.682,-122.88416666666666,-116.1
2001,7,Lemitar,34.167,-106.8899,-258.6786363636364,-269.25
2002,1,Alameda,35.1875,-106.6459,-278.32954545454544,-271.00208333333336
2002,2,Rio Grande Nature Center,35.127,-106.6854,-196.38181818181818,-187.98125
2002,3,Los Lunas,34.8124,-106.7145,-107.35208333333334,-105.47986111111108
2002,4,Belen,34.6484,-106.7377,-109.1375,-97.68333333333334
2002,6,Savannah,35.1429,-106.682,-133.85166666666666,-122.88416666666666
2002,7,Lemitar,34.167,-106.8899,-267.625,-258.6786363636364
2002,8,Hispanic Cultural Center,35.0688,-106.6581,-147.49166666666667,.
2002,10,Diversion,35.1908,-106.6429,-217.144,.
2002,11,Calabacillas,35.1906,-106.6492,-135.57500000000002,.
2002,12,Minnow,35.1932,-106.6469,-135.2,.
2003,1,Alameda,35.1875,-106.6459,-277.16388888888895,-278.32954545454544
2003,2,Rio Grande Nature Center,35.127,-106.6854,-205.1625,-196.38181818181818
2003,3,Los Lunas,34.8124,-106.7145,-141.30166666666668,-107.35208333333334
2003,4,Belen,34.6484,-106.7377,-118.4625,-109.1375
2003,6,Savannah,35.1429,-106.682,-134.4776666666667,-133.85166666666666
2003,7,Lemitar,34.167,-106.8899,-279.6515151515152,-267.625
2003,8,Hispanic Cultural Center,35.0688,-106.6581,-144.06666666666666,-147.49166666666667
2003,10,Diversion,35.1908,-106.6429,-204.4840909090909,-217.144
2003,11,Calabacillas,35.1906,-106.6492,-135.54166666666666,-135.57500000000002
2003,12,Minnow,35.1932,-106.6469,-139.06666666666666,-135.2
2003,13,Harrison,35.0151,-106.6737,-118.26666666666667,.
2003,14,Sevilleta,34.2583,-106.8832,-161,.
2003,15,Valencia Cleared,34.6486,-106.7392,-109.01428571428572,.
2003,16,Valencia Forest,34.6472,-106.7385,-167.49642857142857,.
2004,1,Alameda,35.1875,-106.6459,-277.42727272727274,-277.16388888888895
2004,2,Rio Grande Nature Center,35.127,-106.6854,-203.745,-205.1625
2004,3,Los Lunas,34.8124,-106.7145,-142.3272727272727,-141.30166666666668
2004,4,Belen,34.6484,-106.7377,-115.25,-118.4625
2004,6,Savannah,35.1429,-106.682,-128.06583333333333,-134.4776666666667
