year	month	day	site	ditch
1997	4	15	1	.
1997	5	20	1	.
1997	5	29	3	.
1997	6	17	1	.
1997	6	17	2	.
1997	6	.	3	.
1997	7	15	1	.
1997	7	15	2	.
1997	7	.	3	.
1997	8	19	1	.
1997	8	17	2	.
1997	8	.	3	.
1997	9	16	1	.
1997	9	16	2	.
1997	9	18	3	.
1997	10	21	1	.
1997	10	21	2	.
1997	10	21	3	.
1997	11	18	1	.
1997	11	.	2	.
1997	11	19	3	.
1997	12	16	1	.
1997	12	16	2	.
1997	12	16	3	.
1998	1	20	1	.
1998	1	20	2	.
1998	1	21	3	.
1998	2	17	1	.
1998	2	.	2	.
1998	2	20	3	.
1998	2	17	4	.
1998	3	17	1	.
1998	3	17	2	.
1998	3	20	3	.
1998	3	17	4	.
1998	4	21	1	.
1998	4	.	2	.
1998	4	24	3	.
1998	4	21	4	.
1998	5	19	1	.
1998	5	19	2	.
1998	5	20	3	.
1998	5	20	4	.
1998	6	16	1	.
1998	6	20	2	.
1998	6	18	3	.
1998	6	18	4	.
1998	7	21	1	.
1998	7	21	2	.
1998	7	20	3	.
1998	7	21	4	.
1998	8	19	1	.
1998	8	20	2	.
1998	8	18	3	.
1998	8	18	4	.
1998	9	15	1	.
1998	9	15	2	.
1998	9	20	3	.
1998	9	15	4	.
1998	10	20	1	.
1998	10	20	2	.
1998	10	17	3	.
1998	10	20	4	.
1998	11	17	1	.
1998	11	17	2	.
1998	11	17	3	.
1998	11	17	4	.
1998	12	15	1	.
1998	12	15	2	.
1998	12	15	3	.
1998	12	17	4	.
1999	1	19	1	.
1999	1	19	2	.
1999	1	19	3	.
1999	1	20	4	.
1999	2	16	1	.
1999	2	16	2	.
1999	2	16	3	.
1999	2	17	4	.
1999	3	16	1	.
1999	3	16	2	.
1999	3	.	3	.
1999	3	16	4	.
1999	4	20	1	.
1999	4	20	2	.
1999	4	20	3	.
1999	4	21	4	.
1999	5	18	1	.
1999	5	18	2	.
1999	5	18	3	.
1999	5	.	4	.
1999	6	.	1	.
1999	6	15	2	.
1999	6	.	3	.
1999	6	.	4	.
1999	7	20	1	.
1999	7	20	2	.
1999	7	.	3	.
1999	7	20	4	.
1999	8	18	1	.
1999	8	17	2	.
1999	8	20	3	.
1999	8	17	4	.
1999	8	17	5	.
1999	9	21	1	.
1999	9	21	2	.
1999	9	22	3	.
1999	9	21	4	.
1999	9	21	5	.
1999	10	20	1	.
1999	10	19	2	.
1999	10	20	3	.
1999	10	19	4	.
1999	10	19	5	.
1999	11	16	1	.
1999	11	16	2	.
1999	11	17	3	.
1999	11	16	4	.
1999	11	15	5	.
1999	12	21	1	.
1999	12	21	2	.
