site,year,month,day,northwell,eastwell,centerwell,southwell,westwell,NorthCaseHeight,EastCaseHeight,CenterCaseHeight,SouthCaseHeight,WestCaseHeight,Date,north_depth,east_depth,center_depth,south_depth,west_depth,mean_depth_gw,site_name,site_lat,site_long
1,2019,3,20,322,394,345,388.5,309,60.9,82,65.7,116,99.7,2019-03-20,261.1,312,279.3,272.5,209.3,266.84,Alameda,35.1875,-106.6459
1,2019,4,15,288,366.5,312,356,275,60.9,82,65.7,116,99.7,2019-04-15,227.1,284.5,246.3,240,175.3,234.64,Alameda,35.1875,-106.6459
1,2019,2,20,348.5,414,371,416,342,60.9,82,65.7,116,99.7,2019-02-20,287.6,332,305.3,300,242.3,293.44,Alameda,35.1875,-106.6459
1,2019,5,20,249.5,335,273.5,319,228,60.9,82,65.7,116,99.7,2019-05-20,188.6,253,207.8,203,128.3,196.14,Alameda,35.1875,-106.6459
1,2019,1,18,356.5,413,378.5,424,351,60.9,82,65.7,116,99.7,2019-01-18,295.6,331,312.8,308,251.3,299.74,Alameda,35.1875,-106.6459
2,2019,4,16,264.5,275.5,252.5,260,246,101.3,103.8,94,105.2,91.4,2019-04-16,163.2,171.7,158.5,154.8,154.6,160.56,Rio Grande Nature Center,35.127,-106.6854
2,2019,2,20,291,300,280,288,275,101.3,103.8,94,105.2,91.4,2019-02-20,189.7,196.2,186,182.8,183.6,187.66,Rio Grande Nature Center,35.127,-106.6854
2,2019,5,21,237.5,250.5,224,230,NA,101.3,103.8,94,105.2,91.4,2019-05-21,136.2,146.7,130,124.8,NA,134.425,Rio Grande Nature Center,35.127,-106.6854
2,2019,3,19,206.5,286,263.5,272,260,101.3,103.8,94,105.2,91.4,2019-03-19,105.2,182.2,169.5,166.8,168.6,158.46,Rio Grande Nature Center,35.127,-106.6854
2,2019,1,15,292,301,284,289,276,101.3,103.8,94,105.2,91.4,2019-01-15,190.7,197.2,190,183.8,184.6,189.26,Rio Grande Nature Center,35.127,-106.6854
3,2019,2,25,170,175,172,140,181,16.4,7.8,16.4,12.6,17,2019-02-25,153.6,167.2,155.6,127.4,164,153.56,Los Lunas,34.81236936,-106.714458
3,2019,5,23,-49,NA,-47,-78,NA,16.4,7.8,16.4,12.6,17,2019-05-23,-65.4,NA,-63.4,-90.6,NA,-73.1333333333333,Los Lunas,34.81236936,-106.714458
3,2019,4,15,115,113,118.5,86,135.5,16.4,7.8,16.4,12.6,17,2019-04-15,98.6,105.2,102.1,73.4,118.5,99.56,Los Lunas,34.81236936,-106.714458
3,2019,1,14,173,179,175,143,185,16.4,7.8,16.4,12.6,17,2019-01-14,156.6,171.2,158.6,130.4,168,156.96,Los Lunas,34.81236936,-106.714458
3,2019,3,18,140.5,145.5,143.5,114,154.5,16.4,7.8,16.4,12.6,17,2019-03-18,124.1,137.7,127.1,101.4,137.5,125.56,Los Lunas,34.81236936,-106.714458
4,2019,2,21,208.5,196,188,195,132,108.6,72.2,82,70.4,5,2019-02-21,99.9,123.8,106,124.6,127,116.26,Belen,34.6484315,-106.7377022
4,2019,3,19,172,161,152,159,98,108.6,72.2,82,70.4,5,2019-03-19,63.4,88.8,70,88.6,93,80.76,Belen,34.6484315,-106.7377022
4,2019,4,16,161,149.5,140.5,147.5,86,108.6,72.2,82,70.4,5,2019-04-16,52.4,77.3,58.5,77.1,81,69.26,Belen,34.6484315,-106.7377022
