year,month,day,site,northwell,eastwell,centerwell,southwell,westwell,ditch,NorthCaseHeight,EastCaseHeight,CenterCaseHeight,SouthCaseHeight,WestCaseHeight
2020,1,24,1,354,422,375.5,420,345.5,.,60.9,82,65.7,116,99.7
2020,1,24,2,291.5,303,279,287,272.5,239,101.3,103.8,94,105.2,91.4
2020,1,21,3,170,174,172,140,183,.,16.4,7.8,16.4,12.6,17
2020,1,21,4,206,196,185,191,128,153,108.6,72.2,82,70.4,5
2020,1,21,5,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,6,133,158,140,155,143,108.5,47,48.8,50.3,53.4,53.9
2020,1,23,7,292.5,289,283,275,321.5,371,16.8,16.3,17,10.4,21.8
2020,1,22,8,238,260,176.5,172,239,251,91.6,97.5,94.8,101.2,119.8
2020,1,23,10,328,373,306,351.5,327,358,71.4,51.3,59.7,69,76.4
2020,1,24,11,208.5,227,232,237.5,249,.,44.9,50.3,78.1,81.1,63.1
2020,1,24,12,227,214,203,227,229,111.5,72.3,54.6,44.6,65.1,50.3
2020,1,23,13,177,220,182,149.5,187,261,25.7,82.4,28.1,25.5,30.4
2020,1,23,14,245,134,240.75,252,238.5,332,59,36,40.4,41.2,40
2020,1,23,15,114,142,106,113,68,82,15,13.2,14.2,9.6,23
2020,1,21,16,190,218,210,202,181,82,31.1,70.4,46.3,59.3,71.3
2020,1,23,17,253,258,197,243,204,112,97.4,97.5,41.8,83.8,66.1
2020,1,23,18,157,224,186,190,182,209.5,36.7,61.3,63,59.5,51.2
2020,1,21,19,218,138,189,185.5,182.5,209.5,51,52.5,61.7,49.8,51.5
2020,1,27,20,97.5,247,72.5,66,251,318,34,25.5,15.8,21.5,43.7
2020,1,22,21,238,306,290,310,191,358,31.2,12.2,30.6,28.8,27.8
2020,1,25,22,159,119.5,149,108.5,190,112,38.8,33.3,49.4,24.8,37
2020,1,23,23,140,223.5,139,172,154,.,19.8,20.7,27.9,32,25.7
2020,1,24,24,.,.,.,.,.,.,.,.,.,.,.
2020,1,21,25,153.5,169,156,176.5,160,83,23.3,43,34.4,47.2,27
2020,1,21,26,226,270,260,239,244.5,.,56.2,68.8,76.4,51.8,66.6
2020,1,24,27,127,113,127,163,139,64,13,18.4,8.1,24.2,9.8
