year,site_number,site_name,latitude,longitude,annual_mean_depth_to_groundwater_cm,annual_sd_depth_to_groundwater_cm,percent_change,absolute_change
1997,1,Alameda,35.1875,-106.6459,-256.4,26,.,.
1998,1,Alameda,35.1875,-106.6459,-260.2,14.3,1.47,0.01
1999,1,Alameda,35.1875,-106.6459,-267.4,17,2.77,0.03
2000,1,Alameda,35.1875,-106.6459,-266.8,17,-0.23,0
2001,1,Alameda,35.1875,-106.6459,-271,17.4,1.58,0.02
2002,1,Alameda,35.1875,-106.6459,-278.3,17.3,2.7,0.03
2003,1,Alameda,35.1875,-106.6459,-277.2,13.8,-0.42,0
2004,1,Alameda,35.1875,-106.6459,-277.4,11.1,0.1,0
2005,1,Alameda,35.1875,-106.6459,-265.3,34.7,-4.36,0.04
2006,1,Alameda,35.1875,-106.6459,-277.1,32.8,4.42,0.04
2007,1,Alameda,35.1875,-106.6459,-265.9,17.6,-4.04,0.04
2008,1,Alameda,35.1875,-106.6459,-263,25.6,-1.07,0.01
2009,1,Alameda,35.1875,-106.6459,-266.3,29.6,1.26,0.01
2010,1,Alameda,35.1875,-106.6459,-272.3,24.6,2.24,0.02
2011,1,Alameda,35.1875,-106.6459,-282.7,15.1,3.8,0.04
2012,1,Alameda,35.1875,-106.6459,-286.4,13.4,1.32,0.01
2013,1,Alameda,35.1875,-106.6459,-290.1,16.1,1.3,0.01
2014,1,Alameda,35.1875,-106.6459,-279.7,10.3,-3.59,0.04
2015,1,Alameda,35.1875,-106.6459,-262.6,19.2,-6.11,0.06
2016,1,Alameda,35.1875,-106.6459,-268.5,18.6,2.24,0.02
2017,1,Alameda,35.1875,-106.6459,-255.8,31.5,-4.71,0.05
2018,1,Alameda,35.1875,-106.6459,-292.1,18.3,14.19,0.14
2019,1,Alameda,35.1875,-106.6459,-251.9,37.7,-13.76,0.14
2020,1,Alameda,35.1875,-106.6459,-277.8,8.3,10.26,0.1
2021,1,Alameda,35.1875,-106.6459,-271.4,12.9,-2.3,0.02
2022,1,Alameda,35.1875,-106.6459,-260.1,13.1,-4.18,0.04
2014,29,Albuquerque Overbank Project,35.04546,-106.6657,-108.7,5.9,.,.
2015,29,Albuquerque Overbank Project,35.04546,-106.6657,-101.5,15.6,-6.57,0.07
2016,29,Albuquerque Overbank Project,35.04546,-106.6657,-102.8,11.7,1.24,0.01
2017,29,Albuquerque Overbank Project,35.04546,-106.6657,-80.1,37.6,-22.13,0.22
2018,29,Albuquerque Overbank Project,35.04546,-106.6657,-109.8,5.6,37.21,0.37
2019,29,Albuquerque Overbank Project,35.04546,-106.6657,-74.8,46,-31.91,0.32
2020,29,Albuquerque Overbank Project,35.04546,-106.6657,-107.4,5.8,43.67,0.44
2021,29,Albuquerque Overbank Project,35.04546,-106.6657,-110.6,13.9,2.98,0.03
2022,29,Albuquerque Overbank Project,35.04546,-106.6657,-110.7,11.4,0.07,0
2005,21,Badger,35.1956,-106.6402,-244.3,22.2,.,.
2006,21,Badger,35.1956,-106.6402,-263.7,13.6,7.94,0.08
2007,21,Badger,35.1956,-106.6402,-255.5,23.7,-3.1,0.03
2008,21,Badger,35.1956,-106.6402,-238.9,14,-6.49,0.06
2009,21,Badger,35.1956,-106.6402,-236.7,21.2,-0.92,0.01
2010,21,Badger,35.1956,-106.6402,-236.9,16.5,0.08,0
2011,21,Badger,35.1956,-106.6402,-238.6,14.7,0.71,0.01
2012,21,Badger,35.1956,-106.6402,-241.2,14.5,1.08,0.01
2013,21,Badger,35.1956,-106.6402,-244.4,11.9,1.31,0.01
2014,21,Badger,35.1956,-106.6402,-237.2,6.5,-2.91,0.03
2015,21,Badger,35.1956,-106.6402,-229.8,13.6,-3.16,0.03
2016,21,Badger,35.1956,-106.6402,-232.8,10.5,1.33,0.01
2017,21,Badger,35.1956,-106.6402,-232.2,25.8,-0.24,0
2018,21,Badger,35.1956,-106.6402,-259.7,37.1,11.81,0.12
2019,21,Badger,35.1956,-106.6402,-211.5,42.3,-18.53,0.19
2020,21,Badger,35.1956,-106.6402,-240.3,16.3,13.57,0.14
2021,21,Badger,35.1956,-106.6402,-246.1,14.9,2.44,0.02
2022,21,Badger,35.1956,-106.6402,-252.8,20.6,2.72,0.03
1998,4,Belen,34.6484315,-106.7377022,-92.1,22.9,.,.
1999,4,Belen,34.6484315,-106.7377022,-87.3,15.8,-5.15,0.05
