"Site number","Site name","Latitude","Longitude","Year","Annual cottonwood leaf litterfall g m2","Annual willow leaf litterfall g m2","Annual russian olive leaf litterfall g m2","Annual saltcedar leaf litterfall g m2","Annual elm leaf litterfall g m2","Annual tree willow leaf litterfall g m2","Annual coyote leaf litterfall g m2","Annual baccharis willoe leaf litterfall g m2","Annual new mexico olive leaf litterfall g m2","Annual indigo bush leaf litterfall g m2","Annual woodfall g m2","Annual cottonwood reproductive litterfall g m2","Annual willow reproductive litterfall g m2","Annual russian olive reproductive litterfall g m2","Annual elm reproductive litterfall g m2","Annual saltcedar reproductive litterfall g m2","Annual total reproductive litterfall g m2","Annual total willow g m2","Annual total litterfall g m2"
1,"Alameda",35.1880598884,-106.646949118,1997,181.55,0.33,2.33,0.42,22.05,0,0,0,52.52,0,170,0,0,0,0,0,3.99,0.05,60.11
1,"Alameda",35.1880598884,-106.646949118,1998,163.01,1.95,0.46,0.13,12.87,0,0,0,49.45,0,109.42,0,0,0,0,0,9.57,0.25,54.16
1,"Alameda",35.1880598884,-106.646949118,1999,282.23,2.9,4.58,0.7,12.88,0,0,0,34.4,0,172.87,0,0,0,0,0,5.64,0.41,73.5
1,"Alameda",35.1880598884,-106.646949118,2000,275.12,4.78,4.06,0.52,22.74,0,0,0,29.24,0,135.24,0,0,0,0,0,6.71,0.65,69.78
1,"Alameda",35.1880598884,-106.646949118,2001,230.65,1.69,2.55,0.24,17.26,0,0,0,22.38,0,167.54,0,0,0,0,0,8.98,0.21,67.62
1,"Alameda",35.1880598884,-106.646949118,2002,185.65,0.1,28.16,0.1,13.61,0,0,0,7.68,0,136.78,0,0,0,0,0,11.63,0,61.32
1,"Alameda",35.1880598884,-106.646949118,2003,233.75,0.99,0.37,0.24,18.41,0,0,0,49.49,0,124.1,0,0,0,0,0,10.92,0.12,67.99
1,"Alameda",35.1880598884,-106.646949118,2004,221.21,1.14,0.08,0.19,10.42,0,0,0,50.45,0,153.5,0,0,0,0,0,8.95,0.14,66.64
1,"Alameda",35.1880598884,-106.646949118,2005,222.28,2.39,0.34,0.5,11.39,0,0,0,47.3,0,43.07,0,0,0,0,0,9.81,0.31,52.62
1,"Alameda",35.1880598884,-106.646949118,2006,214.24,0.46,0.42,1.64,9.41,0,0,0,42.9,0,291.44,0,0,0,0,0,15.57,0.15,89.25
1,"Alameda",35.1880598884,-106.646949118,2007,210.14,0.89,0.03,0.02,10.25,0,0,0,53.01,0,258.45,67.01,0.01,0,0,0,9.26,0.2,81.05
1,"Alameda",35.1880598884,-106.646949118,2008,237.16,6.48,6.69,0.05,6.94,0,0,0,36.34,0,137.3,32.97,0.86,0.24,0,0,5.4,0.83,67.08
1,"Alameda",35.1880598884,-106.646949118,2009,261.58,11.03,0.12,0.1,12.19,0,0,0,13.88,0,309.93,41.07,0,0.03,0,0,6.13,1.43,89.67
1,"Alameda",35.1880598884,-106.646949118,2010,208.44,0.13,0.08,0.39,10.26,0,0,0,36.74,0,371.18,67.06,0.39,0,0,0.01,9.91,0.33,94.58
1,"Alameda",35.1880598884,-106.646949118,2011,296.95,4.27,0.03,0.87,10.3,0,0,0,45.83,0.01,117.79,65.38,1.92,0,0,0,8.78,0.55,72.77
1,"Alameda",35.1880598884,-106.646949118,2012,214.23,4.98,0.04,0.31,11.94,0,0,0,48.23,0.01,107.7,21.2,0.01,0.02,0,0.01,3.29,0.64,54.88
1,"Alameda",35.1880598884,-106.646949118,2013,235.27,5.52,0.09,0.1,5.71,0,0,0,56.13,0,163.37,29.93,0.92,0.4,0,0,4.14,0.71,66.11
1,"Alameda",35.1880598884,-106.646949118,2014,193.92,7.4,1.78,0.23,17.24,0,0,0,83.3,0,130.66,42.72,1.86,0,0,0.01,7.4,1.04,71.85
1,"Alameda",35.1880598884,-106.646949118,2015,262.5,7.78,0.03,3.17,25.13,0,0,0,87.56,0,100.75,59.6,1.79,0.03,0,0,11.05,1.03,76.64
1,"Alameda",35.1880598884,-106.646949118,2016,237.81,23.41,0.03,0.06,16.39,0,0,0,57.25,0,52.97,54.62,0.73,0.47,0.08,0.01,0.67,3.04,60.56
1,"Alameda",35.1880598884,-106.646949118,2017,136.84,9.73,4.6,0.05,15.26,0,0,0,74.9,0,40.25,49.18,0.12,0.65,1.52,0.15,0.67,1.25,45.55
1,"Alameda",35.1880598884,-106.646949118,2018,227.64,5.42,0.05,0.4,11.8,0,0,0,62.82,3.89,53.97,57.94,0.01,1.14,1.58,0,8.09,0.73,58.63
1,"Alameda",35.1880598884,-106.646949118,2019,214.51,7.49,0.33,0.61,16.09,0,0,0,79.45,0.02,2398.29,27.79,3.99,0.25,0.29,0.01,4.39,0.97,359.32
1,"Alameda",35.1880598884,-106.646949118,2020,281.23,7.77,0.12,0.33,18.57,0,0,0,70.78,0.18,28.07,35.81,5.96,0.11,1.98,0.01,5.15,1,61
1,"Alameda",35.1880598884,-106.646949118,2021,231.22,11.44,0.07,0.24,19.11,0,0,0,91.21,0.08,78.5,42.46,12.85,0.04,0.7,0,6.99,1.48,65.12
1,"Alameda",35.1880598884,-106.646949118,2022,266.29,8.91,1.24,0.7,24.06,0,0,0,73.41,0.01,72.5,26.5,14.73,1.56,3.34,0.1,7.32,1.15,67.19
1,"Alameda",35.1880598884,-106.646949118,2023,230.57,10.5,0.24,0.91,19.31,10.5,0.03,0,57.61,0,193.68,31.71,8.84,0.44,1.15,0.19,5.2,1.23,74.47
1,"Alameda",35.1880598884,-106.646949118,2024,247.76,0,0.09,0.48,25.41,7.06,0.26,0.31,86.66,0.09,91.34,33.89,3.79,0.9,2.56,0.01,6.25,0.94,69.1
2,"Rio Grande Nature Center",35.1267624154,-106.688450012,1997,169.74,0.01,9.27,0.09,0.18,0,0,0,0,0,45.05,0,0,0,0,0,1.92,0,31.81
2,"Rio Grande Nature Center",35.1267624154,-106.688450012,1998,141.29,0.03,21.24,0.03,1.99,0,0,0,0.04,0,263.22,0,0,0,0,0,3.56,0,62.5
2,"Rio Grande Nature Center",35.1267624154,-106.688450012,1999,269.26,0.37,8.74,3.21,1.25,0,0,0,0,0,175.65,0,0,0,0,0,1.83,0.04,62.2
2,"Rio Grande Nature Center",35.1267624154,-106.688450012,2000,217.25,0.63,5.32,0.37,0.08,0,0,0,0.09,0,52.57,0,0,0,0,0,2.03,0.08,39.33
2,"Rio Grande Nature Center",35.1267624154,-106.688450012,2001,273.04,0.04,6.16,1.18,0.01,0,0,0,0.25,0,80.09,0,0,0,0,0,4.11,0,52.03
2,"Rio Grande Nature Center",35.1267624154,-106.688450012,2002,186.91,1.19,1.73,0.03,0,0,0,0,1.36,0,112.72,0,0,0,0,0,2.21,0.15,47.12
2,"Rio Grande Nature Center",35.1267624154,-106.688450012,2003,149.95,3.39,26.12,0,0.02,0,0,0,0,0,33.44,0,0,0,0,0,3.11,0.44,31.68
2,"Rio Grande Nature Center",35.1267624154,-106.688450012,2004,161.85,0.09,0.02,0.11,0,0,0,0,0,0,90.57,0,0,0,0,0,5.34,0.01,38.26
2,"Rio Grande Nature Center",35.1267624154,-106.688450012,2005,179.88,0.08,0,0.01,0,0,0,0,0,0,16.8,0,0,0,0,0,5.88,0.01,32.05
2,"Rio Grande Nature Center",35.1267624154,-106.688450012,2006,185.33,0.04,0.21,1.28,0,0,0,0,0,0,40.23,0,0,0,0,0,4.17,0,34.37
2,"Rio Grande Nature Center",35.1267624154,-106.688450012,2007,152.02,0.17,0.01,0.01,0.28,0,0,0,0,0,28.54,11.52,0,0.02,0,0,3.21,0.02,29.04
2,"Rio Grande Nature Center",35.1267624154,-106.688450012,2008,177.62,0,0.08,0.01,0,0,0,0,0,0,86.06,15.87,0.09,0,0,0,2.19,0,39.53
2,"Rio Grande Nature Center",35.1267624154,-106.688450012,2009,176.08,0,0,0,0,0,0,0,0,0,17.88,27.42,0.01,0,0,0,3.57,0,29.32
2,"Rio Grande Nature Center",35.1267624154,-106.688450012,2010,209.52,0,0.01,0,0,0,0,0,0,0,30.24,29.43,0,0.62,0,0,4.28,0,37.33
2,"Rio Grande Nature Center",35.1267624154,-106.688450012,2011,237.83,0,0.05,0.05,0.02,0,0,0,0,0,180.06,20.65,0,0,0,0.01,2.97,0,58.27
2,"Rio Grande Nature Center",35.1267624154,-106.688450012,2012,219.89,0,0,0.01,0,0,0,0,0,0,23,11.58,0,0,0,0,2.03,0,34.53
2,"Rio Grande Nature Center",35.1267624154,-106.688450012,2013,236.88,0.02,0,0.04,0.03,0,0,0,0,0,69.6,11.44,0.01,0.15,0,0,1.54,0,42.56
2,"Rio Grande Nature Center",35.1267624154,-106.688450012,2014,169.81,0.02,0.01,0.02,0.01,0,0,0,0,0,35.08,6.17,0,0.01,0,0,0.9,0,29.14
2,"Rio Grande Nature Center",35.1267624154,-106.688450012,2015,154.46,0.11,0.01,0.01,0.01,0,0,0,0,0,26.25,13.44,0.02,0,0,0,2.23,0.01,26.85
