"Site number","Site name","Latitude","Longitude","Reaches","Year","Annual cw gm per m2","Annual will gm per m2","Annual ro gm per m2","Annual sc gm per m2","Annual elm gm per m2","Annual seep gm per m2","Annual nmol gm per m2","Annual indbu gm per m2","Annual woody gm per m2","Annual repcw gm per m2","Annual repwil gm per m2","Annual repruol gm per m2","Annual repelm gm per m2","Annual repsc gm per m2","Annual totalrepro2 gm per m2"
1,"Alameda",35.1875,-106.6459,"Angostura Reach",1997,181.55,0.33,2.32,0.42,22.05,0.05,52.52,0,170,0,0,0,0,0,3.99
1,"Alameda",35.1875,-106.6459,"Angostura Reach",1998,163.01,1.95,0.46,0.13,12.87,0,49.44,0,109.42,0,0,0,0,0,9.57
1,"Alameda",35.1875,-106.6459,"Angostura Reach",1999,282.23,2.9,4.58,0.7,12.88,0.34,34.4,0,172.87,0,0,0,0,0,5.64
1,"Alameda",35.1875,-106.6459,"Angostura Reach",2000,275.12,4.78,4.06,0.52,22.74,0.31,29.24,0,135.24,0,0,0,0,0,6.71
1,"Alameda",35.1875,-106.6459,"Angostura Reach",2001,230.65,1.69,2.55,0.24,17.27,0.01,22.38,0,167.54,0,0,0,0,0,8.98
1,"Alameda",35.1875,-106.6459,"Angostura Reach",2002,185.65,0.1,28.16,0.1,13.61,0,7.68,0,136.78,0,0,0,0,0,11.63
1,"Alameda",35.1875,-106.6459,"Angostura Reach",2003,233.75,0.99,0.37,0.24,18.41,0,49.49,0,124.1,0,0,0,0,0,10.92
1,"Alameda",35.1875,-106.6459,"Angostura Reach",2004,221.22,1.14,0.08,0.19,10.42,0,50.45,0,153.5,0,0,0,0,0,8.95
1,"Alameda",35.1875,-106.6459,"Angostura Reach",2005,222.27,2.39,0.34,0.5,11.39,0,47.3,0,43.07,0,0,0,0,0,9.81
1,"Alameda",35.1875,-106.6459,"Angostura Reach",2006,214.24,0.46,0.42,1.64,9.41,0.79,42.9,0,291.44,0,0,0,0,0,15.57
1,"Alameda",35.1875,-106.6459,"Angostura Reach",2007,210.14,0.89,0.03,0.02,10.25,0.7,53.01,0,258.45,67.01,0.01,0,0,0,9.25
1,"Alameda",35.1875,-106.6459,"Angostura Reach",2008,237.16,6.48,6.69,0.05,6.94,0.01,36.34,0,137.3,32.97,0.86,0.24,0,0,5.4
1,"Alameda",35.1875,-106.6459,"Angostura Reach",2009,261.58,11.03,0.12,0.1,12.2,0.01,13.88,0,309.93,41.06,0,0.03,0,0,6.13
1,"Alameda",35.1875,-106.6459,"Angostura Reach",2010,208.45,0.13,0.08,0.39,10.26,2.54,36.74,0,371.18,67.06,0.39,0,0,0.01,9.91
1,"Alameda",35.1875,-106.6459,"Angostura Reach",2011,296.95,4.27,0.03,0.87,10.3,0,45.83,0.01,117.8,65.38,1.92,0,0,0,8.78
1,"Alameda",35.1875,-106.6459,"Angostura Reach",2012,214.24,4.98,0.04,0.31,11.94,0.01,48.23,0.01,107.7,21.2,0.01,0.02,0,0.01,3.29
1,"Alameda",35.1875,-106.6459,"Angostura Reach",2013,235.27,5.52,0.09,0.1,5.71,0.01,56.13,0,163.37,29.93,0.92,0.4,0,0,4.14
1,"Alameda",35.1875,-106.6459,"Angostura Reach",2014,193.92,7.4,1.78,0.23,17.24,0.69,83.3,0,130.66,42.72,1.86,0,0,0.01,7.4
1,"Alameda",35.1875,-106.6459,"Angostura Reach",2015,262.5,7.78,0.03,3.17,25.13,0.23,87.56,0,100.75,59.61,1.79,0.03,0,0,11.05
