"Date ym","Site number","Site name","Latitude","Longitude","Reaches","Month","Year","monthly cottonwood leaf litterfall g m2","monthly willow leaf litterfall g m2","monthly russian olive leaf litterfall g m2","monthly saltcedar leaf litterfall g m2","monthly elm leaf litterfall g m2","monthly seep willow leaf litterfall g m2","monthly new mexico olive leaf litterfall g m2","monthly indigo bush leaf litterfall g m2","monthly total litterfall g m2","monthly woodfall g m2","monthly cottonwood reproductive litterfall g m2","monthly willow reproductive litterfall g m2","monthly russian olive reproductive litterfall g m2","monthly elm reproductive litterfall g m2","monthly saltcedar reproductive litterfall g m2","monthly total reproductive litterfall g m2"
Jun 1997,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",6,1997,12.31,0,0.05,0,0.37,0,0.38,0,4.13,13.48,.,.,.,.,.,0.68
Jun 1997,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",6,1997,5.48,0,0.24,0,0,0,0,0,3.22,12.2,.,.,.,.,.,0.85
Jul 1997,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",7,1997,4.91,0,0.12,0,2.25,0,0.11,0,4.97,6.45,.,.,.,.,.,3.17
Jul 1997,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",7,1997,0.84,0.02,0.34,0,0.18,0,0,0,1.1,4.15,.,.,.,.,.,0.31
Aug 1997,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",8,1997,5.78,0,0.01,0,0.32,0,7.59,0,2.14,1.81,.,.,.,.,.,0.12
Aug 1997,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",8,1997,5.67,0,0.92,0,0,0,0,0,1.08,0.27,.,.,.,.,.,0.12
Sep 1997,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",9,1997,15.31,0.01,0.58,0,0.15,0,14.02,0,4.71,6.17,.,.,.,.,.,0
Sep 1997,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",9,1997,26.35,0,2.32,0,0,0,0,0,4.35,3.55,.,.,.,.,.,0.15
Oct 1997,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",10,1997,67.68,0.01,0.35,0,0.62,0.05,24.04,0,16.06,29.88,.,.,.,.,.,0.02
Oct 1997,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",10,1997,97.84,0,2.56,0,0,0,0,0,16.25,18.38,.,.,.,.,.,0.41
Oct 1997,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",10,1997,110.2,5.7,2.11,0,1.76,0,0,0,17.47,14.04,.,.,.,.,.,0.07
Nov 1997,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",11,1997,54.15,0.18,0.03,0,15.12,0,6.37,0,22.19,94.39,.,.,.,.,.,0
Nov 1997,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",11,1997,28.3,0,1.1,0,0,0,0,0,4.04,1.01,.,.,.,.,.,0
Nov 1997,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",11,1997,41.79,10.72,0.38,0.02,1.07,0,0.55,0,9.25,1.99,.,.,.,.,.,0
Dec 1997,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",12,1997,21.41,0.13,1.18,0.42,3.22,0,0.01,0,5.91,17.82,.,.,.,.,.,0
Dec 1997,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",12,1997,5.26,0,1.79,0.09,0,0,0,0,1.77,5.49,.,.,.,.,.,0.08
Dec 1997,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",12,1997,4.16,1.92,0.8,0,0.09,0,0,0,1.1,0.65,.,.,.,.,.,0.01
Jan 1998,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",1,1998,14.27,0.01,0.2,0,0.07,0,0,0,2.84,7.33,.,.,.,.,.,0
Jan 1998,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",1,1998,10.27,0,0.58,0,0,0,0,0,8.48,36.99,.,.,.,.,.,0.09
Jan 1998,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",1,1998,4.17,0.56,0.02,0,0,0,0,0,3.28,19.47,.,.,.,.,.,0.04
Feb 1998,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",2,1998,7.86,0.02,0.01,0,0.04,0,0,0,2.16,8.71,.,.,.,.,.,0
Feb 1998,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",2,1998,2.66,0,1.18,0,0,0,0,0,0.68,1.3,.,.,.,.,.,0.02
Feb 1998,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",2,1998,2.45,0.59,0,0,0,0,0.01,0,0.59,0.65,.,.,.,.,.,0.03
Feb 1998,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",2,1998,0.08,0.23,0.69,0,0,0,0,0,0.2,0.38,.,.,.,.,.,0
Mar 1998,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",3,1998,10.13,0.01,0,0,0,0,0,0,3.59,17.25,.,.,.,.,.,0.03
Mar 1998,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",3,1998,2.86,0,1.03,0,0,0,0,0,9.43,68.6,.,.,.,.,.,0
Mar 1998,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",3,1998,5.43,0.56,0.03,0,0,0,0.04,0,2.42,11.31,.,.,.,.,.,0.07
Mar 1998,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",3,1998,3.92,0.54,1.62,0,0,0,0,0,1.02,1.62,.,.,.,.,.,0.02
Apr 1998,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",4,1998,8,0,0,0,0.34,0,0,0,2.6,10.78,.,.,.,.,.,0.11
Apr 1998,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",4,1998,1.64,0,0.65,0,0,0,0,0,0.43,0.84,.,.,.,.,.,0.01
Apr 1998,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",4,1998,0.01,0.01,0,0,0,0,0,0,5.89,36.45,.,.,.,.,.,1.11
Apr 1998,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",4,1998,0,0,0,0,0,0,0,0,0.3,2.31,.,.,.,.,.,0
May 1998,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",5,1998,10.99,0,0,0,0,0,0.28,0,4.41,0.95,.,.,.,.,.,2.82
May 1998,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",5,1998,4.1,0,2.6,0,0,0,0,0,2.43,2.41,.,.,.,.,.,1.22
May 1998,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",5,1998,1.34,0.03,0,0,0.06,0,0.01,0,4.35,3.66,.,.,.,.,.,3.5
May 1998,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",5,1998,0,0,1.62,0,0,0,0,0,0.68,2.31,.,.,.,.,.,0.17
Jun 1998,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",6,1998,0,0,0,0,0,0,0,0,0.06,0.31,.,.,.,.,.,0.02
Jun 1998,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",6,1998,5.11,0,6.05,0,1.99,0,0,0,2.69,1.19,.,.,.,.,.,0.69
Jun 1998,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",6,1998,7.86,0.08,1.16,0,0.02,0,0,0,3.47,7.38,.,.,.,.,.,1.33
Jun 1998,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",6,1998,0.1,6.83,9.81,0,0,0,0,0,3.23,3.05,.,.,.,.,.,0.66
Jul 1998,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",7,1998,13.84,0,0,0,1.67,0,5.14,0,10.51,17.35,.,.,.,.,.,5.2
Jul 1998,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",7,1998,6.01,0,0.57,0,0,0,0,0,2.79,3.91,.,.,.,.,.,1.26
Jul 1998,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",7,1998,5.25,0.14,0.02,0,0,0.02,0.01,0,3.83,2.93,.,.,.,.,.,2.63
Jul 1998,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",7,1998,0.68,3.93,3.93,0,0,0,0,0,2.2,1.45,.,.,.,.,.,0.9
Aug 1998,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",8,1998,2.65,0,0,0.11,0.55,0,0.03,0,1.3,3.96,.,.,.,.,.,0.31
Aug 1998,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",8,1998,1.64,0.03,0.11,0.02,0,0,0.04,0,1.48,6.42,.,.,.,.,.,0.04
Aug 1998,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",8,1998,18.57,0.35,0.37,0,0,0,0,0,3.1,3.44,.,.,.,.,.,0.13
Aug 1998,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",8,1998,3.8,3.25,11.45,0,0,0,0,0,2.86,0.21,.,.,.,.,.,0.43
Sep 1998,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",9,1998,5.18,0.19,0,0,0.05,0,4.65,0,2.13,5.67,.,.,.,.,.,0.08
Sep 1998,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",9,1998,6,0,1.62,0,0,0.01,0,0,1.41,0.8,.,.,.,.,.,0.2
Sep 1998,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",9,1998,21.76,0.7,0.63,0,0.02,0.02,0.04,0,3.59,3.64,.,.,.,.,.,0
Sep 1998,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",9,1998,7.08,4.69,14,0,0,0,0,0,3.64,0.85,.,.,.,.,.,0.18
Oct 1998,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",10,1998,12.7,0.58,0,0.01,3.08,0,22.66,0,8.59,26.19,.,.,.,.,.,0.01
Oct 1998,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",10,1998,15.62,0,0.08,0,0,0,0,0,2.57,2.75,.,.,.,.,.,0.01
Oct 1998,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",10,1998,42.38,7.36,0.38,0,0.16,0,1.01,0,26.05,142.85,.,.,.,.,.,0.19
Oct 1998,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",10,1998,10.31,17.48,19.39,0,0,0,0,0,6.46,2,.,.,.,.,.,0.02
Nov 1998,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",11,1998,41.88,0.84,0.01,0,2.18,0,15.48,0,9.48,4.41,.,.,.,.,.,0.91
Nov 1998,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",11,1998,68.46,0,6,0,0,0,0,0,27.68,137.69,.,.,.,.,.,0
Nov 1998,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",11,1998,56.92,8.85,0.22,0,1.06,0,0.2,0,11.53,7.9,.,.,.,.,.,0
Nov 1998,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",11,1998,11.85,21.15,16.08,0,0,0,0,0,6.56,1,.,.,.,.,.,0.02
Dec 1998,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",12,1998,35.51,0.3,0.24,0.01,4.89,0,1.2,0,6.49,6.51,.,.,.,.,.,0.08
Dec 1998,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",12,1998,16.92,0,0.77,0.01,0,0,0,0,2.43,0.32,.,.,.,.,.,0.02
Dec 1998,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",12,1998,20.27,4.12,0.43,0,0.01,0,0,0,3.87,3.58,.,.,.,.,.,0
Dec 1998,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",12,1998,1.4,4.1,14.04,0,0,0,0,0,2.63,0.17,.,.,.,.,.,0.01
Jan 1999,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",1,1999,64.49,1.95,2.69,0.53,0.4,0,0.03,0,10.17,7.44,.,.,.,.,.,0.05
Jan 1999,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",1,1999,28.85,0,0.01,1.35,0,0,0,0,4.21,1.07,.,.,.,.,.,0.14
Jan 1999,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",1,1999,19.35,0.06,0.43,0,0,0,0,0,2.89,1.51,.,.,.,.,.,0.06
Jan 1999,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",1,1999,0.31,0.19,4.15,0,0,0,0,0,0.66,0.28,.,.,.,.,.,0
