"Year","Month","Day","Site number","Tub","cw","cwprevyr","will","seep","willtree","willcoy","bacc","nmol","indbu","sc","ro","elm","othplan","repcw","repwil","repruol","repelm","repsc","repoth","wood","totalwt","willcombined","totalrepro","sumindwts","totalwt-indwts","Date mdy","Site name","Latitude","Longitude","Date type","Reaches","Current usgs gauge","Nearest USGS gauge"
"1",1997,6,"17",1,"A",2.54,.,0,0,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,2.15,0.61,0,0,0.61,0,1997-06-17,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"2",1997,6,"17",1,"B",8.46,.,0,0,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,19.85,4.95,0,1.27,4.95,0,1997-06-17,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"3",1997,6,"17",1,"C",9.77,.,0,0,.,.,.,2.46,0,0,0,0,0,.,.,.,.,.,.,7.08,2.95,0,0.44,2.95,0,1997-06-17,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"4",1997,6,"17",1,"D",11.92,.,0,0,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,48.92,7.91,0,0,7.91,0,1997-06-17,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"5",1997,6,"17",1,"E",10.92,.,0,0,.,.,.,0.08,0,0,0,0.08,0,.,.,.,.,.,.,16.38,4.45,0,0.88,4.45,0,1997-06-17,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"6",1997,6,"17",1,"F",35.92,.,0,0,.,.,.,1.08,0,0,0,0,0,.,.,.,.,.,.,13.46,7.41,0,0.85,7.41,0,1997-06-17,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"7",1997,6,"17",1,"G",12.15,.,0,0,.,.,.,0.08,0,0,0,3.54,0,.,.,.,.,.,.,16.54,5.3,0,1.1,5.3,0,1997-06-17,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"8",1997,6,"17",1,"H",11.15,.,0,0,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,0,1.74,0,0.29,1.74,0,1997-06-17,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"9",1997,6,"17",1,"I",9.62,.,0,0,.,.,.,0,0,0,0.46,0.08,0,.,.,.,.,.,.,8.15,3.39,0,1.01,3.39,0,1997-06-17,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"10",1997,6,"17",1,"J",10.62,.,0,0,.,.,.,0.08,0,0,0.08,0,0,.,.,.,.,.,.,2.23,2.6,0,0.91,2.6,0,1997-06-17,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"11",1997,6,"17",2,"A",2.92,.,0,0,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,0,0.49,0,0.11,0.49,0,1997-06-17,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"12",1997,6,"17",2,"B",2.92,.,0,0,.,.,.,0,0,0,0.08,0,0,.,.,.,.,.,.,0.62,0.47,0,0,0.47,0,1997-06-17,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"13",1997,6,"17",2,"C",6.62,.,0,0,.,.,.,0,0,0,0,0,3,.,.,.,.,.,.,1.77,7.36,0,5.88,7.36,0,1997-06-17,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"14",1997,6,"17",2,"D",4.31,.,0,0,.,.,.,0,0,0,0.08,0,0,.,.,.,.,.,.,43.62,6.24,0,0,6.24,0,1997-06-17,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"15",1997,6,"17",2,"E",4.46,.,0,0,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,0,0.68,0,0.1,0.68,0,1997-06-17,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"16",1997,6,"17",2,"F",7.38,.,0,0,.,.,.,0,0,0,0.08,0,0,.,.,.,.,.,.,4,1.49,0,0,1.49,0,1997-06-17,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"17",1997,6,"17",2,"G",6.54,.,0,0,.,.,.,0,0,0,2.15,0,0,.,.,.,.,.,.,1,3.06,0,1.8,3.06,0,1997-06-17,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"18",1997,6,"17",2,"H",8.23,.,0,0,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,57.38,8.86,0,0.33,8.86,0,1997-06-17,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"19",1997,6,"17",2,"I",4.69,.,0,0,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,3.85,1.12,0,0.01,1.12,0,1997-06-17,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"20",1997,6,"17",2,"J",6.69,.,0,0,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,9.77,2.41,0,0.27,2.41,0,1997-06-17,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"21",1997,7,"15",1,"A",0,.,0,0,.,.,.,0.08,0,0,0,0,0,.,.,.,.,.,.,0.85,0.33,0,0.21,0.33,0,1997-07-15,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"22",1997,7,"15",1,"B",2.46,.,0,0,.,.,.,1,0,0,0,0,0,.,.,.,.,.,.,0.38,1.85,0,1.35,1.85,0,1997-07-15,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"23",1997,7,"15",1,"C",5.69,.,0,0,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,1.77,2.54,0,1.57,2.54,0,1997-07-15,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"24",1997,7,"15",1,"D",7.08,.,0,0,.,.,.,0,0,0,0.38,0.08,0,.,.,.,.,.,.,3.62,6.77,0,5.32,6.77,0,1997-07-15,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"25",1997,7,"15",1,"E",8.15,.,0,0,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,3,9.41,0,7.96,9.41,0,1997-07-15,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"26",1997,7,"15",1,"F",3.92,.,0,0,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,2.38,8.27,0,7.45,8.27,0,1997-07-15,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"27",1997,7,"15",1,"G",2.92,.,0,0,.,.,.,0,0,0,0,20.38,0,.,.,.,.,.,.,46.31,11.12,0,2.07,11.12,0,1997-07-15,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"28",1997,7,"15",1,"H",6.77,.,0,0,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,0,1.1,0,0.22,1.1,0,1997-07-15,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"29",1997,7,"15",1,"I",6.23,.,0,0,.,.,.,0,0,0,0.77,2,0,.,.,.,.,.,.,0.08,3.94,0,2.76,3.94,0,1997-07-15,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"30",1997,7,"15",1,"J",5.92,.,0,0,.,.,.,0,0,0,0.08,0.08,0,.,.,.,.,.,.,6.15,4.36,0,2.77,4.36,0,1997-07-15,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"31",1997,7,"15",2,"A",6.15,.,0,0,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,0.54,0.92,0,0.05,0.92,0,1997-07-15,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"32",1997,7,"15",2,"B",0.15,.,0,0,.,.,.,0,0,0,0.08,0,0,.,.,.,.,.,.,0.23,0.3,0,0.2,0.26,0.04,1997-07-15,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"33",1997,7,"15",2,"C",0.15,.,0,0,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,0.54,0.9,0,0.38,0.47,0.43,1997-07-15,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"34",1997,7,"15",2,"D",0.77,.,0,0,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,0.69,0.19,0,0,0.19,0,1997-07-15,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"35",1997,7,"15",2,"E",0.46,.,0,0,.,.,.,0,0,0,0.08,0.08,0,.,.,.,.,.,.,3.85,0.61,0,0.03,0.61,0,1997-07-15,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"36",1997,7,"15",2,"F",0.15,.,0,0,.,.,.,0,0,0,0.15,0,0,.,.,.,.,.,.,3.08,0.47,0,0.03,0.47,0,1997-07-15,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"37",1997,7,"15",2,"G",0.23,.,0.15,0,.,.,.,0,0,0,3.08,0,0,.,.,.,.,.,.,12.92,3.48,0.02,1.21,3.34,0.14,1997-07-15,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"38",1997,7,"15",2,"H",0.15,.,0,0,.,.,.,0,0,0,0,1.62,0,.,.,.,.,.,.,0,0.81,0,0.54,0.77,0.04,1997-07-15,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"39",1997,7,"15",2,"I",0.15,.,0,0,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,2.15,0.34,0,0.02,0.32,0.02,1997-07-15,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"40",1997,7,"15",2,"J",0.08,.,0,0,.,.,.,0,0,0,0,0.08,0,.,.,.,.,.,.,17.46,2.95,0,0.65,2.94,0.01,1997-07-15,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"41",1997,8,"19",1,"A",1.38,.,0,0,.,.,.,18.38,0,0,0,0,0,.,.,.,.,.,.,1.38,2.75,0,0,2.75,0,1997-08-19,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"42",1997,8,"19",1,"B",3.77,.,0,0,.,.,.,5.08,0,0,0,0,0,.,.,.,.,.,.,0,1.15,0,0,1.15,0,1997-08-19,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"43",1997,8,"19",1,"C",2.38,.,0,0,.,.,.,32.92,0,0,0,0,0,.,.,.,.,.,.,1.38,4.77,0,0,4.77,0,1997-08-19,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"44",1997,8,"19",1,"D",4.08,.,0,0,.,.,.,9.23,0,0,0,0,0,.,.,.,.,.,.,0,1.73,0,0,1.73,0,1997-08-19,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
"45",1997,8,"19",1,"E",5.23,.,0,0,.,.,.,9.77,0,0,0,0.77,0,.,.,.,.,.,.,4.15,2.6,0,0.01,2.6,0,1997-08-19,"Alameda",35.1880598884,-106.646949118,"Center well ground EMLID","Angostura Reach",8330000,"Rio Grande at Albuquerque 08330000"
