Site number,Site name,Latitude,Longitude,Reaches,Year,Annual summer cw gm per m2,Annual summer will gm per m2,Annual summer ro gm per m2,Annual summer sc gm per m2,Annual summer elm gm per m2,Annual summer seep gm per m2,Annual summer nmol gm per m2,Annual summer indbu gm per m2,Annual summer total leaf litterfall per m2
1,Alameda,35.1880598884,-106.646949118,Angostura Reach,1997,10.690000000000001,0,0.13,0,2.57,0,7.7,0,7.109999999999999
1,Alameda,35.1880598884,-106.646949118,Angostura Reach,1998,16.49,0,0,0.11,2.2199999999999998,0,5.17,0,11.81
1,Alameda,35.1880598884,-106.646949118,Angostura Reach,1999,4.72,0.09,0.09,0,1.72,0,3.52,0,8.61
1,Alameda,35.1880598884,-106.646949118,Angostura Reach,2000,3.4,0.38,0.27,0.02,0.02,0,0.11,0,4.46
1,Alameda,35.1880598884,-106.646949118,Angostura Reach,2001,4.6499999999999995,0.06,0.01,0.04,0.03,0.01,1.6800000000000002,0,6.4399999999999995
1,Alameda,35.1880598884,-106.646949118,Angostura Reach,2002,4.34,0.02,0.02,0.02,0.19,0,0.13,0,6.01
1,Alameda,35.1880598884,-106.646949118,Angostura Reach,2003,4.48,0,0.02,0.01,0.33,0,0.87,0,6.49
1,Alameda,35.1880598884,-106.646949118,Angostura Reach,2004,4.8100000000000005,0,0.01,0,0.03,0,0.19999999999999998,0,4.61
1,Alameda,35.1880598884,-106.646949118,Angostura Reach,2005,3.5,0.01,0,0,0.86,0,0.93,0,4.36
1,Alameda,35.1880598884,-106.646949118,Angostura Reach,2006,4.46,0.09,0.01,0,0,0.01,10.87,0,12.71
1,Alameda,35.1880598884,-106.646949118,Angostura Reach,2007,5.25,0.02,0,0,0.02,0,0.5800000000000001,0,7.58
1,Alameda,35.1880598884,-106.646949118,Angostura Reach,2008,6.67,0.02,0,0.01,0,0,0.79,0,4.28
1,Alameda,35.1880598884,-106.646949118,Angostura Reach,2009,7.32,0.22999999999999998,0,0,0.55,0,0.63,0,4.33
1,Alameda,35.1880598884,-106.646949118,Angostura Reach,2010,2.98,0.01,0.01,0,0.03,0,0.06,0,6.99
1,Alameda,35.1880598884,-106.646949118,Angostura Reach,2011,4.38,0.31,0,0.03,0.13,0,0.25,0,4.69
1,Alameda,35.1880598884,-106.646949118,Angostura Reach,2012,4.59,0.09,0.02,0.02,0.03,0,0.19999999999999998,0,3.24
1,Alameda,35.1880598884,-106.646949118,Angostura Reach,2013,9.23,0.09999999999999999,0.02,0,0.02,0,2.41,0,7.02
1,Alameda,35.1880598884,-106.646949118,Angostura Reach,2014,3.42,0.27,0,0.02,0.25,0,0.44,0,3.49
1,Alameda,35.1880598884,-106.646949118,Angostura Reach,2015,4.9799999999999995,0.25,0,0.01,0.19,0,6.67,0,7.369999999999999
