Site,Transect,Species code,Total cover cm,Transect length m
NDDW,b20,ANCA10,4.99,30
NDDW,b20,BASC5,1.02,30
NDDW,b20,ELAN,2.4,30
NDDW,b20,TACH2,5.73,30
NDDW,d60,BASC5,1.45,30
NDDW,d60,RIAU,0.25,30
NDDW,f100,BASC5,3.04,30
NDDW,f100,FOPUP,0.06,30
NDDW,f100,RIAU,0.2,30
NDDW,f100,SATR12,0.76,30
NDDW,h140,ASTER,0.04,30
NDDW,h140,ELAN,1.2,30
NDDW,h140,FOPUP,1.12,30
NDDW,h140,FORB,4.42,30
NDDW,h140,SATR12,0.71,30
NDDW,j40,AIAL,3.07,30
NDDW,j40,FORB,1.25,30
NDDW,j40,SATR12,7.23,30
NDDW,n,ANCA10,2.31,50
NDDW,n,BASC5,2.43,50
NDDW,n,SATR12,0.15,50
NDDW,s-n,BASC5,0.3,50
NDDW,s-n,ELAN,3.23,50
NDDW,w-e,BASC5,0.4,50
NDDW,w-e,ELAN,5.6,50
NDDW,w-e,SAGO,3.1,50
NDDW,w-e,SATR12,1.57,50
NDDW,w-e,TACH2,6.45,50
