site,ppt_canopy,ppt_open,year,month,day,site_name,site_lat,site_long
1,48.3,63.5,1997,4,15,Alameda,35.1875,-106.6459
1,12.7,12.2,1997,5,20,Alameda,35.1875,-106.6459
1,51,58,2004,10,19,Alameda,35.1875,-106.6459
1,31.8,63.5,1997,6,17,Alameda,35.1875,-106.6459
1,0,0.8,2011,4,19,Alameda,35.1875,-106.6459
1,3,12.5,2003,8,19,Alameda,35.1875,-106.6459
1,NA,NA,1997,7,15,Alameda,35.1875,-106.6459
1,1.3,2,2013,3,20,Alameda,35.1875,-106.6459
1,0,0,2008,11,18,Alameda,35.1875,-106.6459
1,81.3,104.1,1997,8,19,Alameda,35.1875,-106.6459
1,30,5,2002,11,19,Alameda,35.1875,-106.6459
1,5.5,7.5,2008,1,16,Alameda,35.1875,-106.6459
1,22.9,20.3,1997,9,16,Alameda,35.1875,-106.6459
1,10.7,14.2,2000,3,21,Alameda,35.1875,-106.6459
1,60,58,2006,9,20,Alameda,35.1875,-106.6459
1,32.5,NA,1997,10,21,Alameda,35.1875,-106.6459
1,NA,NA,2005,10,NA,Alameda,35.1875,-106.6459
1,10,13,2007,8,20,Alameda,35.1875,-106.6459
1,12.7,12.7,1997,11,18,Alameda,35.1875,-106.6459
1,76,76,2013,8,19,Alameda,35.1875,-106.6459
1,8,15,2003,9,16,Alameda,35.1875,-106.6459
1,12.7,20.3,1997,12,16,Alameda,35.1875,-106.6459
1,4,7,2002,12,18,Alameda,35.1875,-106.6459
1,5,19,2014,9,17,Alameda,35.1875,-106.6459
1,6.1,10.4,1998,1,20,Alameda,35.1875,-106.6459
1,0.3,0.7,2006,4,18,Alameda,35.1875,-106.6459
1,3.8,6.6,2001,11,20,Alameda,35.1875,-106.6459
1,8.9,12.7,1998,2,17,Alameda,35.1875,-106.6459
1,0,0.3,2014,5,20,Alameda,35.1875,-106.6459
1,41,9,2016,9,22,Alameda,35.1875,-106.6459
1,0,0.2,2011,5,18,Alameda,35.1875,-106.6459
1,31.8,40.6,1998,3,17,Alameda,35.1875,-106.6459
1,12,16,2010,9,21,Alameda,35.1875,-106.6459
1,12.5,14,2008,12,18,Alameda,35.1875,-106.6459
1,3.2,7.5,2003,1,21,Alameda,35.1875,-106.6459
1,5.3,7.6,1998,4,21,Alameda,35.1875,-106.6459
1,31,34,2017,1,20,Alameda,35.1875,-106.6459
1,7.6,7.9,2000,7,18,Alameda,35.1875,-106.6459
1,0,0,2005,11,16,Alameda,35.1875,-106.6459
1,20.3,17.8,1998,5,19,Alameda,35.1875,-106.6459
1,26,34,2007,9,18,Alameda,35.1875,-106.6459
1,50,48,2009,10,21,Alameda,35.1875,-106.6459
1,30,38,2005,2,16,Alameda,35.1875,-106.6459
1,0.8,1.8,1998,6,16,Alameda,35.1875,-106.6459
1,3,4.5,2010,3,15,Alameda,35.1875,-106.6459
1,22,32,2014,7,15,Alameda,35.1875,-106.6459
1,83,87,2013,9,16,Alameda,35.1875,-106.6459
1,15.2,20.3,1998,7,21,Alameda,35.1875,-106.6459
1,1,2.6,2006,5,17,Alameda,35.1875,-106.6459
1,6.8,18,2017,9,18,Alameda,35.1875,-106.6459
1,1,NA,2016,2,19,Alameda,35.1875,-106.6459
1,3.8,7.6,1998,8,19,Alameda,35.1875,-106.6459
1,17,15,2015,2,18,Alameda,35.1875,-106.6459
1,7.5,13,2014,10,20,Alameda,35.1875,-106.6459
1,NA,0,2011,6,21,Alameda,35.1875,-106.6459
1,4.8,5.6,1998,9,15,Alameda,35.1875,-106.6459
1,41.9,46,2000,10,18,Alameda,35.1875,-106.6459
1,0.5,0,2006,11,21,Alameda,35.1875,-106.6459
1,8.2,3.1,2003,3,18,Alameda,35.1875,-106.6459
1,18.3,22.9,1998,10,20,Alameda,35.1875,-106.6459
1,10.5,12,2005,1,19,Alameda,35.1875,-106.6459
1,6,8,2016,10,19,Alameda,35.1875,-106.6459
1,23,34,2009,6,16,Alameda,35.1875,-106.6459
1,24.6,38.1,1998,11,17,Alameda,35.1875,-106.6459
1,0.2,6.5,2002,4,17,Alameda,35.1875,-106.6459
1,NA,NA,2001,5,16,Alameda,35.1875,-106.6459
1,7,5,2009,11,19,Alameda,35.1875,-106.6459
1,1.3,3,1998,12,15,Alameda,35.1875,-106.6459
1,14,18,2010,4,19,Alameda,35.1875,-106.6459
1,0,1.8,2006,6,20,Alameda,35.1875,-106.6459
1,27.5,29,2003,4,15,Alameda,35.1875,-106.6459
1,0,0,1999,1,19,Alameda,35.1875,-106.6459
1,1,3.8,2001,6,19,Alameda,35.1875,-106.6459
1,4.5,6,2013,10,15,Alameda,35.1875,-106.6459
1,1.5,NA,2013,1,18,Alameda,35.1875,-106.6459
1,3,3.8,1999,2,16,Alameda,35.1875,-106.6459
1,3,3.5,2011,2,15,Alameda,35.1875,-106.6459
1,8,11,2001,1,16,Alameda,35.1875,-106.6459
1,0,0.5,2010,6,16,Alameda,35.1875,-106.6459
1,7.6,9.1,1999,3,16,Alameda,35.1875,-106.6459
1,0.8,3,2011,7,19,Alameda,35.1875,-106.6459
1,29.1,43.9,2017,10,18,Alameda,35.1875,-106.6459
1,9.5,3.5,2010,11,18,Alameda,35.1875,-106.6459
1,NA,NA,1999,4,20,Alameda,35.1875,-106.6459
1,2,5,2014,11,20,Alameda,35.1875,-106.6459
1,NA,25,2016,12,19,Alameda,35.1875,-106.6459
1,0.3,0,2007,11,20,Alameda,35.1875,-106.6459
1,27.9,NA,1999,5,18,Alameda,35.1875,-106.6459
1,0,0,2013,6,18,Alameda,35.1875,-106.6459
1,4.2,6,2014,3,17,Alameda,35.1875,-106.6459
1,30,31,2011,12,20,Alameda,35.1875,-106.6459
1,NA,NA,1999,6,NA,Alameda,35.1875,-106.6459
1,34,NA,2006,7,18,Alameda,35.1875,-106.6459
1,5.5,6,2010,5,19,Alameda,35.1875,-106.6459
1,NA,10,2016,11,15,Alameda,35.1875,-106.6459
1,34.8,48.3,1999,7,20,Alameda,35.1875,-106.6459
1,1,3,2003,6,17,Alameda,35.1875,-106.6459
1,36,27,2010,10,20,Alameda,35.1875,-106.6459
1,4,1.6,2001,4,17,Alameda,35.1875,-106.6459
1,88.9,108,1999,8,18,Alameda,35.1875,-106.6459
1,3,5.5,2013,11,20,Alameda,35.1875,-106.6459
1,32.5,22.5,2007,1,18,Alameda,35.1875,-106.6459
1,0,0,2011,3,15,Alameda,35.1875,-106.6459
1,3.5,8,2010,7,21,Alameda,35.1875,-106.6459
1,1.3,4.6,1999,9,21,Alameda,35.1875,-106.6459
1,0,0,2017,12,18,Alameda,35.1875,-106.6459
1,7,14,2011,8,16,Alameda,35.1875,-106.6459
1,NA,2,2017,7,18,Alameda,35.1875,-106.6459
1,19,12,2009,3,17,Alameda,35.1875,-106.6459
1,7.1,10.4,1999,10,20,Alameda,35.1875,-106.6459
1,43,43,2007,12,17,Alameda,35.1875,-106.6459
1,0,1.2,2003,7,16,Alameda,35.1875,-106.6459
1,7.1,7.1,2000,6,20,Alameda,35.1875,-106.6459
1,135,153.5,2006,8,16,Alameda,35.1875,-106.6459
1,0.3,0.3,1999,11,16,Alameda,35.1875,-106.6459
1,49,54,2004,3,16,Alameda,35.1875,-106.6459
1,1.5,1.5,2012,1,19,Alameda,35.1875,-106.6459
1,13,7,2010,1,19,Alameda,35.1875,-106.6459
1,8,12.5,2005,9,20,Alameda,35.1875,-106.6459
1,2.5,3.8,1999,12,21,Alameda,35.1875,-106.6459
1,29,42,2016,8,15,Alameda,35.1875,-106.6459
1,3,6,2002,10,16,Alameda,35.1875,-106.6459
1,17.5,22.5,2004,12,21,Alameda,35.1875,-106.6459
1,17.5,22.5,2007,2,20,Alameda,35.1875,-106.6459
1,0,0.3,2000,1,18,Alameda,35.1875,-106.6459
1,5,4.8,2001,2,21,Alameda,35.1875,-106.6459
1,19,34,2001,8,21,Alameda,35.1875,-106.6459
1,11,22,2013,12,19,Alameda,35.1875,-106.6459
1,0,0,2012,6,20,Alameda,35.1875,-106.6459
1,3.3,5.3,2000,2,17,Alameda,35.1875,-106.6459
1,6,9.5,2008,6,17,Alameda,35.1875,-106.6459
1,59,65,2004,4,20,Alameda,35.1875,-106.6459
1,NA,6,2017,4,21,Alameda,35.1875,-106.6459
1,21,23,2009,4,22,Alameda,35.1875,-106.6459
