Year,Site number,Site name,Annual sum of canopy precipitation mm,Annual sum of open precipitation mm,Annual sum of precipitation mm
1997,1,Alameda,254.89999999999998,296.59999999999997,291.99999999999994
1997,2,Rio Grande Nature Center,163.40000000000003,243.7,216.25
1997,3,Los Lunas,66.8,46.800000000000004,56.8
1998,1,Alameda,141.2,188.39999999999998,164.8
1998,2,Rio Grande Nature Center,179.70000000000002,182.29999999999998,181
1998,3,Los Lunas,229.79999999999998,299.2,264.5
1998,4,Belen,165.6,191.79999999999998,182.89999999999998
1999,1,Alameda,173.4,188.3,194.79999999999998
1999,2,Rio Grande Nature Center,201.6,223.70000000000002,212.64999999999998
1999,3,Los Lunas,56.3,80.7,68.5
1999,4,Belen,166.7,176.29999999999998,171.5
1999,5,Santa Ana,83.8,105.2,94.5
2000,1,Alameda,169.4,177.8,173.6
2000,2,Rio Grande Nature Center,152.2,177.70000000000002,185.75
2000,3,Los Lunas,148.60000000000002,193,182.20000000000002
2000,4,Belen,226.29999999999998,269.8,248.05
2000,5,Santa Ana,124.7,166.59999999999997,146.54999999999998
2000,6,Savannah,183.70000000000002,247.39999999999998,215.55
2000,7,Lemitar,30,64,47
2001,1,Alameda,76.39999999999999,117.29999999999998,96.85000000000001
2001,2,Rio Grande Nature Center,85.7,118.29999999999998,102.00000000000001
2001,3,Los Lunas,77.5,137.7,107.60000000000001
2001,4,Belen,134.1,118,126.05000000000001
2001,5,Santa Ana,129.2,156.29999999999998,142.75
2001,6,Savannah,112.99999999999999,173.8,143.4
2001,7,Lemitar,97.00000000000001,119.7,108.35000000000002
2002,1,Alameda,92.4,105.8,103.60000000000001
2002,2,Rio Grande Nature Center,160,134.5,163.25
2002,3,Los Lunas,127.5,236.8,182.15
2002,4,Belen,104.3,171.1,138.7
2002,5,Santa Ana,86.8,127.3,107.05000000000001
2002,6,Savannah,107.19999999999999,174.1,141.75
2002,7,Lemitar,136,210,173
2002,8,Hispanic Cultural Center,66.69999999999999,76.7,83.2
2002,9,Ohkay Owingeh,122.89999999999999,199.5,164.25
2002,10,Diversion,32.5,26.5,29.5
2002,11,Calabacillas,25.3,31.5,28.4
2002,12,Minnow,1.5,6.5,4
2003,1,Alameda,94.30000000000001,135.5,114.89999999999999
2003,2,Rio Grande Nature Center,66.9,89.89999999999999,78.39999999999999
2003,3,Los Lunas,74.8,154.4,114.60000000000001
2003,4,Belen,125.6,173.79999999999998,149.70000000000002
2003,5,Santa Ana,64.7,87.5,76.1
2003,6,Savannah,74.4,76.5,86.44999999999999
2003,7,Lemitar,56.3,107,81.65
2003,8,Hispanic Cultural Center,67.5,149.50000000000003,108.49999999999999
2003,9,Ohkay Owingeh,75.8,174.6,125.20000000000002
2003,10,Diversion,85,127.80000000000001,106.4
2003,11,Calabacillas,56.49999999999999,101.2,92
2003,12,Minnow,67,189.3,128.14999999999998
2003,13,Harrison,80.7,96.2,88.45
2003,14,Sevilleta,40.9,53.2,47.05
2003,15,Valencia Cleared,68.4,133.6,101
2003,16,Valencia Forest,102.5,135.2,118.85
2004,1,Alameda,252.5,278.2,265.35
2004,2,Rio Grande Nature Center,223.9,232.6,239.5
2004,3,Los Lunas,175.79999999999998,208.5,192.14999999999998
2004,4,Belen,232.7,293.00000000000006,262.84999999999997
2004,5,Santa Ana,0,0,0
2004,6,Savannah,136.9,239.3,188.1
2004,7,Lemitar,200.2,271.7,235.95
2004,8,Hispanic Cultural Center,203.9,276.8,275.7
2004,9,Ohkay Owingeh,115.4,174.2,144.8
2004,10,Diversion,209.3,304.3,282.95
2004,11,Calabacillas,193.3,223.29999999999998,220.04999999999998
2004,12,Minnow,183.70000000000002,230.2,206.95000000000002
2004,13,Harrison,203.79999999999998,323.7,278.75
2004,14,Sevilleta,159.8,207.7,192.5
2004,15,Valencia Cleared,200.2,272.9,236.55
2004,16,Valencia Forest,252.6,251.9,285.25
2004,17,Montano,102.4,128.8,115.6
2004,18,Reynolds Cleared,73,98,85.5
2004,19,Reynolds Forest,60,73,71.25
2004,20,Route 66,0,0,0
2005,1,Alameda,137.5,157.4,148.35000000000002
2005,2,Rio Grande Nature Center,201.2,192.4,202.3
2005,3,Los Lunas,157.1,180,189.29999999999998
2005,4,Belen,143.2,126.2,153.99999999999997
2005,5,Santa Ana,0,0,0
2005,6,Savannah,121.9,217.7,169.79999999999998
2005,7,Lemitar,157.6,221.3,190.95
