"Year","Month","Site number","Site name","Precipitation canopy mm","Precipitation open mm","Monthly mean precipitation mm","Latitude","Longitude","Reaches","Season"
1997,4,1,"Alameda",48.3,63.5,55.9,35.1880598884,-106.646949118,"Angostura Reach","Spring"
1997,5,1,"Alameda",12.7,12.2,12.45,35.1880598884,-106.646949118,"Angostura Reach","Spring"
1997,5,3,"Los Lunas",NA,NA,NA,34.8123850767529,-106.714471968474,"Isleta Reach","Spring"
1997,6,1,"Alameda",31.8,63.5,47.65,35.1880598884,-106.646949118,"Angostura Reach","Spring"
1997,6,2,"Rio Grande Nature Center",21.8,30.5,26.15,35.1267624154,-106.688450012,"Angostura Reach","Spring"
1997,6,3,"Los Lunas",NA,NA,NA,34.8123850767529,-106.714471968474,"Isleta Reach","Spring"
1997,7,1,"Alameda",NA,NA,NA,35.1880598884,-106.646949118,"Angostura Reach","Monsoon"
1997,7,2,"Rio Grande Nature Center",NA,25.4,25.4,35.1267624154,-106.688450012,"Angostura Reach","Monsoon"
1997,7,3,"Los Lunas",NA,NA,NA,34.8123850767529,-106.714471968474,"Isleta Reach","Monsoon"
1997,8,1,"Alameda",81.3,104.1,92.7,35.1880598884,-106.646949118,"Angostura Reach","Monsoon"
1997,8,2,"Rio Grande Nature Center",38.4,66,52.2,35.1267624154,-106.688450012,"Angostura Reach","Monsoon"
1997,8,3,"Los Lunas",NA,NA,NA,34.8123850767529,-106.714471968474,"Isleta Reach","Monsoon"
1997,9,1,"Alameda",22.9,20.3,21.6,35.1880598884,-106.646949118,"Angostura Reach","Monsoon"
1997,9,2,"Rio Grande Nature Center",38.1,53.3,45.7,35.1267624154,-106.688450012,"Angostura Reach","Monsoon"
1997,9,3,"Los Lunas",NA,NA,NA,34.8123850767529,-106.714471968474,"Isleta Reach","Monsoon"
1997,10,1,"Alameda",32.5,NA,32.5,35.1880598884,-106.646949118,"Angostura Reach","Monsoon"
1997,10,2,"Rio Grande Nature Center",48.3,53.3,50.8,35.1267624154,-106.688450012,"Angostura Reach","Monsoon"
1997,10,3,"Los Lunas",43.2,22.9,33.05,34.8123850767529,-106.714471968474,"Isleta Reach","Monsoon"
1997,11,1,"Alameda",12.7,12.7,12.7,35.1880598884,-106.646949118,"Angostura Reach","Winter"
1997,11,2,"Rio Grande Nature Center",NA,NA,NA,35.1267624154,-106.688450012,"Angostura Reach","Winter"
1997,11,3,"Los Lunas",11.9,17.8,14.85,34.8123850767529,-106.714471968474,"Isleta Reach","Winter"
