Year,Month,Day,Site number,Precipitation open mm,Precipitation canopy mm,Date,Site name,Latitude,Longitude,Date type,Reaches,Current usgs gauge,Nearest USGS gauge,Monthly mean precipitation mm
1997,4,15,1,63.5,48.26,1997-04-15,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,55.879999999999995
1997,5,20,1,12.192,12.7,1997-05-20,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,12.446
1997,5,29,3,.,.,1997-05-29,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06  3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02,.
1997,6,17,1,63.5,31.75,1997-06-17,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,47.625
1997,6,17,2,30.48,21.844,1997-06-17,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,26.162
1997,6,.,3,.,.,.,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06  3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02,.
1997,7,15,1,.,.,1997-07-15,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,.
1997,7,15,2,25.4,.,1997-07-15,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,25.4
1997,7,.,3,.,.,.,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06  3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02,.
1997,8,19,1,104.14,81.28,1997-08-19,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,92.71000000000001
1997,8,17,2,66.04,38.354,1997-08-17,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,52.197
1997,8,.,3,.,.,.,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06  3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02,.
1997,9,16,1,20.32,22.86,1997-09-16,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,21.59
1997,9,16,2,53.34,38.1,1997-09-16,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,45.72
1997,9,18,3,.,.,1997-09-18,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06  3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02,.
1997,10,21,1,.,32.512,1997-10-21,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,32.512
1997,10,21,2,53.34,48.26,1997-10-21,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,50.8
1997,10,21,3,22.86,43.18,1997-10-21,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06  3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02,33.019999999999996
1997,11,18,1,12.7,12.7,1997-11-18,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,12.7
1997,11,.,2,.,.,.,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,.
