Site name,extreme_wet,extreme_dry,avg_lo,avg_hi
Alameda,267.51,98.21,152.52,168.32000000000002
Albuquerque Overbank Project,173.4,76.475,126.05,132.7
Badger,209.01,84.03999999999999,119.77000000000001,135.205
Belen,253.73000000000002,109.0485,155.4675,170.0525
BioPark,231.52999999999997,103.35,147.70000000000002,153.01000000000002
Bobcat,221.66,46.4,124.75500000000001,135.24
Bosque del Apache,166.10000000000002,62.3,135.065,141.29000000000002
Calabacillas,219.62,75.76,133.51500000000001,142.38000000000002
Crawford,264.14,91.51500000000001,161.04500000000002,193.38500000000005
Diversion,246.43999999999997,73.22500000000001,149.7425,154.0575
Harrison,248.93,89.44000000000001,152.335,172.33
Hispanic Cultural Center,204.595,77.62,144.4925,162.59250000000003
Lemitar,228.85,92.495,162.5,167.87500000000003
Los Lunas,195.54999999999998,68.06,151.82999999999998,168.4
Mesilla,147.495,37.64999999999999,108.44749999999999,115.885
Minnow,213.91,63.635000000000005,123.01499999999999,135.3875
Montano,221.85500000000008,116.911,134.6225,156.055
Ohkay Owingeh,275.895,133.915,204.32750000000001,232.14499999999998
Reynolds Cleared,229.25,85.5,143.3,151.65
Reynolds Forest,237.12000000000003,112.49000000000001,156.5675,168.80700000000002
Rio Grande Nature Center,213.37,98.50999999999999,157.62,166.57000000000002
River Realignment,171.75,50.25,133.20000000000002,138
Route 66,203.85,97.3,123.7,136.1
San Jose,184.19,66.3805,148.8825,151.2675
Sandia,160.125,46.16,131.0005,131.00950000000003
Santa Ana,217.94,71.105,123.57000000000001,144.375
Santo Domingo,290.21999999999997,52.080000000000005,148.6765,164.465
Savannah,203.47,90.32999999999998,141.10000000000002,146.55
Sevilleta,204.8,77.01,142.58,161.32
State Land Office,199.52,102.285,127.11,135.65500000000003
Valencia Cleared,215.34,102.65,161.28,168.14000000000001
Valencia Forest,275.65000000000003,115.93,183.905,186.61500000000004
Valle de Oro,160.12,42.8,96.2,115.61000000000004
