year	month	day	site	ppt_canopy	ppt_open	ppt_canopy_trace	ppt_open_canopy
2018	1	18	1	0.0	0.0		
2018	1	16	2	0.0	0.0		
2018	1	20	3	0.0	0.0		
2018	1	16	4	0.0	0.0		
2018	1	17	5	0.0	0.0		
2018	1	19	6	0.0	0.0		
2018	1	18	7	0.0	.		
2018	1	16	8	0.5	.		
2018	1	.	9	.	.		
2018	1	18	10	0.0	0.0		
2018	1	20	11	0.0	0.5		
2018	1	19	12	0.0	2.0		
2018	1	19	13	0.0	0.0		
2018	1	18	14	0.0	0.0		
2018	1	17	15	2.6	0.9		
2018	1	16	16	0.0	0.0		
2018	1	17	17	0.0	0.0		
2018	1	19	18	0.0	0.0		
2018	1	19	19	0.0	0.0		
2018	1	17	20	0.0	0.0		
2018	1	17	21	0.0	0.0		
2018	1	20	22	0.0	0.0		
2018	1	18	23	0.0	.		
2018	1	19	24	0.0	0.0		
2018	1	16	25	0.0	0.0		
2018	1	13	26	0.0	1.9		
2018	1	19	27	.	.		
2018	1	18	28	.	.		
2018	1	19	29	0.0	0.0		
2018	1	17	30	0.0	0.0		
2018	1	16	31	0.0	0.0		
2018	1	18	32	0.0	0.0		
2018	2	22	1	6.0	10.7		
2018	2	20	2	10.7	14.5		
2018	2	22	3	4.3	11.0		
2018	2	20	4	12.7	11.8		
2018	2	20	5	6.8	12.9		
2018	2	21	6	3.4	9.1		
2018	2	22	7	7.0	8.6		
2018	2	21	8	5.0	1.1		
2018	2	.	9	.	.		
2018	2	22	10	5.5	.		
2018	2	24	11	23.1	11.0		
2018	2	23	12	3.4	10.0		
2018	2	23	13	15.4	.		
2018	2	22	14	4.3	6.4		
2018	2	21	15	8.6	32.1		
2018	2	22	16	6.0	14.0		
2018	2	21	17	1.5	8.0		
2018	2	23	18	3.8	10.5		
2018	2	23	19	8.0	7.5		
2018	2	21	20	1.7	5.4		
2018	2	21	21	4.3	1.6		
2018	2	17	22	3.4	10.0		
2018	2	22	23	4.0	.		
2018	2	23	24	4.3	12.5		
2018	2	20	25	9.0	10.0		
2018	2		26	11.7	23.0		
2018	2	23	27	.	.		
2018	2	22	28	.	.		
2018	2	20	29	4.3	.		
2018	2	21	30	10.5	9.6		
2018	2	20	31	7.0	9.0		
2018	2	26	32	6.0	14.0		
2018	2	21	33	.	.		
2018	3	20	1	1.2	2.1		
2018	3	20	2	1.9	2.4		
2018	3	23	3	0.4	.		
2018	3	20	4	1.5	2.0		
2018	3	21	5	4.3	6.4		
2018	3	23	6	1.3	3.5		
2018	3	20	7	2.0	1.6		
2018	3	19	8	0.0	2.1		
2018	3	.	9	.	.		
2018	3	20	10	.	.		
2018	3	24	11	9.4	5.0		
2018	3	23	12	5.0	5.0		
2018	3	23	13	0.0	.		
2018	3	20	14	3.0	4.3		
2018	3	21	15	0.9	7.0		
2018	3	19	16	0.0	0.0		
2018	3	23	17	0.8	0.5		
2018	3	20	18	0.0	2.0		
2018	3	20	19	1.0	2.1		
2018	3	21	20	0.9	3.2		
2018	3	21	21	2.0	5.4		
2018	3	24	22	4.2	3.5		
2018	3	22	23	12.0	.		
2018	3	23	24	1.7	6.0		
2018	3	20	25	2.0	1.6		
2018	3	24	26	0.0	1.6		
2018	3	23	27	.	.		
2018	3	22	28	.	.		
2018	3	19	29	0.0	.		
2018	3	21	30	0.0	1.1		
2018	3	20	31	2.0	1.1		
2018	3	22	32	2.6	6.5		
2018	3	20	33	2.4	5.4		
2018	4	19	1				
2018	4	17	2				
2018	4	20	3				
2018	4	19	4				
2018	4	18	5				
2018	4	20	6				
2018	4	19	7				
2018	4	16	8				
2018	4	.	9				
2018	4	19	10				
2018	4	21	11				
2018	4	20	12				
2018	4	20	13				
2018	4	19	14				
2018	4	18	15				
2018	4	16	16				
2018	4	20	17				
2018	4	18	18				
2018	4	18	19				
2018	4	18	20				
2018	4	17	21				
2018	4	21	22				
2018	4	18	23				
2018	4	20	24				
2018	4	18	25				
2018	4	21	26				
2018	4	20	27				
2018	4	18	28				
2018	4	17	29				
2018	4	18	30				
2018	4	18	31				
2018	4	19	32				
2018	4	17	33				
2018	5	15	1				
2018	5	17	2				
2018	5	17	3				
2018	5	15	4				
2018	5	18	5				
2018	5	17	6				
2018	5	17	7				
2018	5	14	8				
2018	5	.	9				
2018	5	15	10				
2018	5	15	11				
2018	5	18	12				
2018	5	16	13				
2018	5	17	14				
2018	5	15	15				
2018	5	14	16				
2018	5	17	17				
2018	5	17	18				
2018	5	17	19				
2018	5	17	20				
2018	5	15	21				
2018	5	15	22				
2018	5	16	23				
2018	5	18	24				
2018	5	15	25				
2018	5	0.2	26				
2018	5	17	27				
2018	5	14	28				
2018	5	14	29				
2018	5	16	30				
2018	5	14	31				
2018	5	17	32				
2018	5	16	33				
2018	6	22	1				
2018	6	20	2				
2018	6	20	3				
2018	6	19	4				
2018	6	22	5				
2018	6	18	6				
2018	6	21	7				
2018	6	18	8				
2018	6	.	9				
2018	6	22	10				
2018	6	19	11				
2018	6	19	12				
2018	6	20	13				
2018	6	21	14				
2018	6	18	15				
2018	6	19	16				
2018	6	18	17				
2018	6	19	18				
2018	6	19	19				
2018	6	21	20				
2018	6	22	21				
2018	6	19	22				
2018	6	18	23				
2018	6	22	24				
2018	6	19	25				
2018	6	24	26				
2018	6	20	27				
2018	6	20	28				
2018	6	20	29				
2018	6	21	30				
2018	6	22	31				
2018	6	22	32				
2018	6	21	33				
2018	7	19	1				
2018	7	17	2				
2018	7	16	3				
2018	7	17	4				
2018	7	20	5				
2018	7	20	6				
2018	7	17	7				
2018	7	18	8				
2018	7	.	9				
2018	7	19	10				
2018	7	19	11				
2018	7	19	12				
2018	7	18	13				
2018	7	17	14				
2018	7	17	15				
2018	7	17	16				
2018	7	20	17				
2018	7	16	18				
2018	7	16	19				
2018	7	20	20				
2018	7	19	21				
2018	7	19	22				
2018	7	18	23				
2018	7	20	24				
2018	7	17	25				
2018	7		26				
2018	7	16	27				
2018	7	18	28				
2018	7	18	29				
2018	7	18	30				
2018	7	18	31				
2018	7	20	32				
2018	7	17	33				
2018	8	24	1				
2018	8	21	2				
2018	8	21	3				
2018	8	23	4				
2018	8	24	5				
2018	8	20	6				
2018	8	23	7				
2018	8	20	8				
2018	8	.	9				
2018	8	24	10				
2018	8	24	11				
2018	8	24	12				
2018	8	22	13				
2018	8	23	14				
2018	8	23	15				
2018	8	23	16				
2018	8	20	17				
2018	8	21	18				
2018	8	21	19				
2018	8	21	20				
2018	8	24	21				
2018	8		22				
2018	8	21	23				
2018	8	20	24				
2018	8	23	25				
2018	8	21	26				
2018	8	21	27				
2018	8	22	28				
2018	8	20	29				
2018	8	22	30				
2018	8	20	31				
2018	8	24	32				
2018	8	23	33				
2018	9	19	1				
2018	9	18	2				
2018	9	18	3				
2018	9	18	4				
2018	9	18	5				
2018	9	20	6				
2018	9	20	7				
2018	9	17	8				
2018	9	.	9				
2018	9		10				
2018	9	22	11				
2018	9	21	12				
2018	9	19	13				
2018	9	20	14				
2018	9	18	15				
2018	9	18	16				
2018	9	18	17				
2018	9	17	18				
2018	9	17	19				
2018	9	19	20				
2018	9	19	21				
2018	9	22	22				
2018	9	20	23				
2018	9	17	24				
2018	9	18	25				
2018	9	21	26	2.1	0.5		
2018	9	21	27				
2018	9	20	28				
2018	9	19	29				
2018	9	17	30				
2018	9	21	31				
2018	9	20	32				
2018	9	21	33				
2018	10	15	1				
