ID,year,month,day,site,trap,quantity,name,DatasheetNotes,class,order,family,genspp,numbercode,lettercode,Checked initials,QAQCNotes,line_number
.,2025,5,30,RAV,1,6,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL,.,.,1
.,2025,5,30,RAV,1,1,Acari,,5,2,0,0,5020000,ARACA,.,.,1
.,2025,5,30,RAV,1,3,Monomorium minimum,,1,11,13,17,1111317,FOMONMIN,.,.,1
.,2025,5,30,RAV,2,2,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL,.,.,1
.,2025,5,30,RAV,2,2,Porcellio laevis,,6,2,1,1,6020101,PORLAE,.,.,1
.,2025,5,30,RAV,2,1,Chrysomelidae,Paria sp.,1,2,9,0,1020900,INCOCHR,.,.,1
.,2025,5,30,RAV,2,14,Tetramorium sp.,,1,11,13,51,1111351,FOTET,.,.,1
.,2025,5,30,RAV,2,3,Pardosa sp.,P. atlantica,5,1,24,4,5012404,ARLYCPAR,.,.,1
.,2025,5,30,RAV,3,47,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL,.,.,1
.,2025,5,30,RAV,3,75,Tetramorium sp.,,1,11,13,51,1111351,FOTET,.,.,1
.,2025,5,30,RAV,3,1,Pardosa sp.,P. atlantica (2 female 1 male),5,1,24,4,5012404,ARLYCPAR,.,.,1
.,2025,5,30,RAV,4,237,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL,.,.,1
.,2025,5,30,RAV,4,1,Orthoptera,Eunemobius carolinus (female),1,19,0,0,1190000,INOR,.,.,1
.,2025,5,30,RAV,4,12,Tetramorium sp.,,1,11,13,51,1111351,FOTET,.,.,1
.,2025,5,30,RAV,4,11,Staphylinidae,,1,2,17,0,1021700,INCOSTA,.,.,1
.,2025,5,30,RAV,4,2,Bembidion sp.,,1,2,55,23,1025523,CABEM,.,.,1
.,2025,5,30,RAV,4,1,Drassyllus sp.,female,5,1,16,37,5011637,ARGNADRA,.,.,1
.,2025,5,30,RAV,4,1,Allocosa sp.,imm male,5,1,24,3,5012403,ARLYCALL,.,.,1
.,2025,5,30,RAV,5,10,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL,.,.,2
.,2025,5,30,RAV,5,1,Embaphion contusum,,1,2,46,51,1024651,TEEMBCON,.,.,2
.,2025,5,30,RAV,5,2,Allocosa sp.,,5,1,24,3,5012403,ARLYCALL,.,.,2
