site,name,lettercode,numbercode,family,class,order,genspp,Annual mean counts
RAV,Acari,ARACA,5020000,0,5,2,0,4
RAV,Aeolus sp.,ELAAEO,1020506,5,1,2,6,1
RAV,Allocosa sp.,ARLYCALL,5012403,24,5,1,3,4
RAV,Armadillidium vulgare,ARMVUL,6020202,2,6,2,2,286
RAV,Bembidion sp.,CABEM,1025523,55,1,2,23,4
RAV,Blapstinus fortis,TEBLAFOR,1024648,46,1,2,48,5
RAV,Carabidae,INCOCAR,1025500,55,1,2,0,1
RAV,Chrysomela scripta,CHCHRSCR,1020904,9,1,2,4,1
RAV,Chrysomelidae,INCOCHR,1020900,9,1,2,0,1
RAV,Collembola,INCL,1040000,0,1,4,0,9
RAV,Crematogaster cerasi,FOCRECER,1111316,13,1,11,16,1
RAV,Curculionidae,INCOCUR,1023100,31,1,2,0,2
RAV,Dictynidae,ARARADIC,5012500,25,5,1,0,1
RAV,Dorymyrmex insanus,DORINS,1111354,13,1,11,54,52
RAV,Drassyllus sp.,ARGNADRA,5011637,16,5,1,37,1
RAV,Dysdera crocata,ARDYSCRO,5011402,14,5,1,2,1
RAV,Eleodes suturalis,TEELESUT,1024607,46,1,2,7,3
RAV,Embaphion contusum,TEEMBCON,1024651,46,1,2,51,1
RAV,Hemiptera,INHE,1750000,0,1,75,0,1
RAV,Lepidoptera larva,LELEPLAR,1090001,0,1,9,1,1
RAV,Lepismatidae,INZYLEP,1420200,2,1,42,0,4
RAV,Linyphiidae,ARARALIN,5012200,22,5,1,0,1
RAV,Lithobiomorpha,CHLIT,2020000,0,2,2,0,1
RAV,Monomorium minimum,FOMONMIN,1111317,13,1,11,17,13
RAV,Oribatida,ARACAORI,5020100,1,5,2,0,12
RAV,Orthoptera,INOR,1190000,0,1,19,0,1
RAV,Pardosa sp.,ARLYCPAR,5012404,24,5,1,4,12
RAV,Polydesmida,DIPOD,7010000,0,7,1,0,3
RAV,Ponera sp.,INHYFOPO,1111355,13,1,11,55,1
RAV,Porcellio laevis,PORLAE,6020101,1,6,2,1,19
RAV,Solenopsis sp.,FOSOL,1111305,13,1,11,5,6
RAV,Staphylinidae,INCOSTA,1021700,17,1,2,0,15
RAV,Tachyporus sp.,COSTATAC,1021707,17,1,2,7,4
RAV,Tetramorium sp.,FOTET,1111351,13,1,11,51,78
RAV,Theridiidae,ARARATHE,5011500,15,5,1,0,1
RAV,Xysticus sp.,ARTHOXYS,5014502,45,5,1,2,2
RAV,Zelotes sp.,ARGNAZEL,5011604,16,5,1,4,2
SWFL,Acari,ARACA,5020000,0,5,2,0,4
SWFL,Aeolus sp.,ELAAEO,1020506,5,1,2,6,1
SWFL,Agelenopsis sp.,ARAAGEAGE,5010101,1,5,1,1,2
SWFL,Allocosa sp.,ARLYCALL,5012403,24,5,1,3,1
SWFL,Anthicidae,INCOANT,1024100,41,1,2,0,1
SWFL,Armadillidium vulgare,ARMVUL,6020202,2,6,2,2,38
SWFL,Bembidion sp.,CABEM,1025523,55,1,2,23,4
SWFL,Blapstinus fortis,TEBLAFOR,1024648,46,1,2,48,2
SWFL,Chrysomela scripta,CHCHRSCR,1020904,9,1,2,4,8
SWFL,Chrysomelidae,INCOCHR,1020900,9,1,2,0,2
SWFL,Collembola,INCL,1040000,0,1,4,0,16
SWFL,Corylophidae,INCOCOR,1024700,47,1,2,0,1
SWFL,Crematogaster cerasi,FOCRECER,1111316,13,1,11,16,2
SWFL,Cryptophagus sp.,COCRYCRY,1020801,8,1,2,1,1
SWFL,Dictyna sp.,ARDICDIC,5012503,25,5,1,3,1
SWFL,Diptera,INDI,1060000,0,1,6,0,1
SWFL,Drassyllus sp.,ARGNADRA,5011637,16,5,1,37,3
SWFL,Dysdera crocata,ARDYSCRO,5011402,14,5,1,2,1
SWFL,Formica sp.,FOFOM,1111309,13,1,11,9,7
SWFL,Herpyllus sp.,ARGNAHER,5011612,16,5,1,12,1
SWFL,Insecta larva,INLA,1000001,0,1,0,1,1
SWFL,Lepismatidae,INZYLEP,1420200,2,1,42,0,1
SWFL,Linyphiidae,ARARALIN,5012200,22,5,1,0,1
SWFL,Lithobiomorpha,CHLIT,2020000,0,2,2,0,5
SWFL,Monomorium minimum,FOMONMIN,1111317,13,1,11,17,87
SWFL,Myrmeleontidae larva,NEMYRLA,1160101,1,1,16,1,1
SWFL,Oribatida,ARACAORI,5020100,1,5,2,0,21
SWFL,Pardosa sp.,ARLYCPAR,5012404,24,5,1,4,1
SWFL,Poecilus lucublandus,CAPOELUC,1025539,55,1,2,39,3
SWFL,Polyxenida,DIPOX,7030000,0,7,3,0,1
SWFL,Porcellio laevis,PORLAE,6020101,1,6,2,1,3
SWFL,Pseudoscorpiones,ARPSE,5030000,0,5,3,0,1
SWFL,Psocoptera,INPS,1220000,0,1,22,0,1
SWFL,Staphylinidae,INCOSTA,1021700,17,1,2,0,4
SWFL,Tachyporus sp.,COSTATAC,1021707,17,1,2,7,2
SWFL,Tapinoma sessile,FOTAPSES,1111318,13,1,11,18,4
SWFL,Tetramorium sp.,FOTET,1111351,13,1,11,51,17
SWFL,Varacosa sp.,ARLYCVAR,5012425,24,5,1,25,1
SWFL,Xysticus sp.,ARTHOXYS,5014502,45,5,1,2,3
SWFL,Zelotes lasalanus,GNZELLAS,5011609,16,5,1,9,2
