Species,Common name,sites,present_at_n_sites
AMPS,Cuman ragweed,"Corrales_RAV, Corrales_SWFL",2
BASA,willow baccharis,"Corrales_RAV, Corrales_SWFL",2
BASA4,Great Plains false willow,"Corrales_RAV, Corrales_SWFL",2
CAREX,sedge,"Corrales_RAV, Corrales_SWFL",2
COCA5,Canadian horseweed,"Corrales_RAV, Corrales_SWFL",2
DISP,inland saltgrass,"Corrales_RAV, Corrales_SWFL",2
DISP/MUAS,scratchgrass or saltgrass,"Corrales_RAV, Corrales_SWFL",2
ELAN,Russian olive,"Corrales_RAV, Corrales_SWFL",2
EQLA,smooth horsetail,"Corrales_RAV, Corrales_SWFL",2
FOPUP,New Mexico olive,"Corrales_RAV, Corrales_SWFL",2
FORB,Annual dicot seedling,"Corrales_RAV, Corrales_SWFL",2
JUARL,mountain rush,"Corrales_RAV, Corrales_SWFL",2
JUNCU,rush,"Corrales_RAV, Corrales_SWFL",2
MEOF,white sweetclover,"Corrales_RAV, Corrales_SWFL",2
MOAL,white mulberry,"Corrales_RAV, Corrales_SWFL",2
MUAS,scratchgrass,"Corrales_RAV, Corrales_SWFL",2
PODEW,Rio Grande cottonwood,"Corrales_RAV, Corrales_SWFL",2
SAEX,narrowleaf willow,"Corrales_RAV, Corrales_SWFL",2
SARA3,ravennagrass,"Corrales_RAV, Corrales_SWFL",2
TACH2,saltcedar,"Corrales_RAV, Corrales_SWFL",2
AIAL,tree of heaven,Corrales_RAV,1
APCA,Indianhemp,Corrales_RAV,1
BASA/BASA4,NA,Corrales_RAV,1
BASC5,kochia,Corrales_SWFL,1
CAPE42,woolly sedge,Corrales_SWFL,1
CIRSI,thistle,Corrales_RAV,1
CYPER,flatsedge,Corrales_RAV,1
DEIL,Illinois bundleflower,Corrales_SWFL,1
EQUIS,horsetail,Corrales_SWFL,1
FORB1,NA,Corrales_SWFL,1
GRASS,Annual grass,Corrales_SWFL,1
LACTU,lettuce,Corrales_SWFL,1
LATAP,blue lettuce,Corrales_SWFL,1
MACA2,hoary tansyaster,Corrales_SWFL,1
PAOB,vine mesquite,Corrales_RAV,1
PASM,western wheatgrass,Corrales_SWFL,1
PAVI5,thicket creeper,Corrales_RAV,1
POPR,Kentucky bluegrass,Corrales_RAV,1
RIAU,golden currant,Corrales_RAV,1
SAGO,Goodding's willow,Corrales_RAV,1
SCAR7,tall fescue,Corrales_RAV,1
SCPU10,common threesquare,Corrales_SWFL,1
SOAS,spiny sowthistle,Corrales_RAV,1
THPO7,tall wheatgrass,Corrales_SWFL,1
ULPU,Siberian elm,Corrales_SWFL,1
