Site,Species,Total cover cm
Corrales_RAV,AIAL,1.4700000000000002
Corrales_RAV,AMPS,0.18
Corrales_RAV,APCA,0.02
Corrales_RAV,BASA,5.61
Corrales_RAV,BASA/BASA4,0.04
Corrales_RAV,BASA4,5.42
Corrales_RAV,CAREX,0.28
Corrales_RAV,CIRSI,0.12
Corrales_RAV,COCA5,7.9
Corrales_RAV,CYPER,1.2
Corrales_RAV,DISP,0.85
Corrales_RAV,DISP/MUAS,23.08
Corrales_RAV,ELAN,56.92
Corrales_RAV,EQLA,0.4
Corrales_RAV,FOPUP,7.67
Corrales_RAV,FORB,0.23
Corrales_RAV,JUARL,0.01
Corrales_RAV,JUNCU,6.8100000000000005
Corrales_RAV,MEOF,31.06
Corrales_RAV,MOAL,3.1
Corrales_RAV,MUAS,1.05
Corrales_RAV,PAOB,1.24
Corrales_RAV,PAVI5,0.06999999999999999
Corrales_RAV,PODEW,17.93
Corrales_RAV,POPR,0.01
Corrales_RAV,RIAU,0.04
Corrales_RAV,SAEX,19.7
Corrales_RAV,SAGO,1.3900000000000001
Corrales_RAV,SARA3,34.21
Corrales_RAV,SCAR7,0.1
Corrales_RAV,SOAS,0.11
Corrales_RAV,TACH2,8.549999999999999
Corrales_SWFL,AMPS,0.01
Corrales_SWFL,BASA,0.34
Corrales_SWFL,BASA4,4.62
Corrales_SWFL,BASC5,0.28
Corrales_SWFL,CAPE42,0.6
Corrales_SWFL,CAREX,9.89
Corrales_SWFL,COCA5,3.07
Corrales_SWFL,DEIL,0.01
Corrales_SWFL,DISP,2.79
Corrales_SWFL,DISP/MUAS,5.89
Corrales_SWFL,ELAN,127.66
Corrales_SWFL,EQLA,0.46
Corrales_SWFL,EQUIS,0.01
Corrales_SWFL,FOPUP,0.04
Corrales_SWFL,FORB,0.1
Corrales_SWFL,FORB1,0.11000000000000001
Corrales_SWFL,GRASS,2.12
Corrales_SWFL,JUARL,0.3
Corrales_SWFL,JUNCU,0.33
Corrales_SWFL,LACTU,0.1
Corrales_SWFL,LATAP,0.48000000000000004
Corrales_SWFL,MACA2,0.02
Corrales_SWFL,MEOF,3.89
Corrales_SWFL,MOAL,0.09
Corrales_SWFL,MUAS,0.36
Corrales_SWFL,PASM,1.2
Corrales_SWFL,PODEW,13.06
Corrales_SWFL,SAEX,107.26
Corrales_SWFL,SARA3,28.64
Corrales_SWFL,SCPU10,0.05
Corrales_SWFL,TACH2,1.23
Corrales_SWFL,THPO7,6.88
Corrales_SWFL,ULPU,2.74
