Site number,Site name,Latitude,Longitude,Date type,Reaches,Current usgs gauge,Nearest USGS gauge
1,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
2,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
3,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02"
4,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005
5,Santa Ana,35.34284,-106.5458,Est from map,Angostura Reach,.,.
6,Savannah,35.1428674147,-106.681982289,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
7,Lemitar,34.1670457032,-106.889953039,Center well ground EMLID,San Acacia Reach,8354900,Rio Grande Floodway at San Acacia 08354900
8,Hispanic Cultural Center,35.0688083802,-106.65807622,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
9,Ohkay Owingeh,36.0618,-106.0761,Est from map,Cochiti Reach,8313000,Rio Grande at Otowi Bridge 8313000
10,Diversion,35.1916189224,-106.643382687,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
11,Calabacillas,35.1946222612,-106.646350963,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
12,Minnow,35.1972256042,-106.644122231,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
13,Harrison,35.0150622305,-106.673722917,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
14,Sevilleta,34.2586573236,-106.883372761,Center well ground EMLID,San Acacia Reach,8354900,Rio Grande Floodway at San Acacia 08354900
15,Valencia Cleared,34.6486505386211,-106.739180486447,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005
16,Valencia Forest,34.6472147233729,-106.738922864063,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005
17,Montano,35.1452628545,-106.680332705,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
18,Reynolds Cleared,34.6567454384498,-106.738602216398,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005
19,Reynolds Forest,34.6576114622675,-106.739436295579,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005
20,Route 66,35.1006512603,-106.691932797,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
21,Badger,35.1955715759,-106.641632737,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
22,Bobcat,35.2010747789,-106.641162297,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
23,BioPark,35.0799846256,-106.669723455,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
24,Santo Domingo,35.50989,-106.3896,Est from map,Cochiti Reach,.,.
25,Crawford,34.637561057629,-106.74347269011,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005
26,Mesilla,32.248328,-106.821014,Est from map,South of San Marcial Reach,.,1) no current gauge 2) Leasburg Dam at Fort Selden 08363510 for 2011 only
27,Bosque Farm,34.8477697505695,-106.714997116643,Center well ground EMLID,Isleta Reach,8331160,Rio Grande Near Bosque Farms 08331160
28,Valle de Oro,34.9797688406,-106.680112434,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
29,Albuquerque Overbank Project,35.0452081969,-106.665732215,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
30,State Land Office,34.9679188689,-106.685667747,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
31,San Jose,35.0124335977,-106.672728518,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000
32,Sandia,35.255,-106.5907,Est from map,Angostura Reach,.,.
33,Bosque del Apache,33.8196650872,-106.854014975,Center well ground EMLID,San Acacia Reach,8355490,"RIO GRANDE ABOVE US HWY 380 NR SAN ANTONIO, NM, 8355490 "
34,River Realignment,33.8227,-106.8419,Est from map,San Acacia Reach,8355490,"RIO GRANDE ABOVE US HWY 380 NR SAN ANTONIO, NM, 8355490"
