year,month,day,site,trap,Line,quantity,name,DatasheetNotes,class,order,family,genspp,numbercode,lettercode
2025,5,30,RAV,1,B,6,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,30,RAV,1,B,1,Acari,,5,2,0,0,5020000,ARACA
2025,5,30,RAV,1,B,3,Monomorium minimum,,1,11,13,17,1111317,FOMONMIN
2025,5,14,SWFL,1,B,6,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,14,SWFL,1,B,7,Formica sp.,,1,11,13,9,1111309,FOFOM
2025,5,30,RAV,2,B,2,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,30,RAV,2,B,2,Porcellio laevis,,6,2,1,1,6020101,PORLAE
2025,5,30,RAV,2,B,1,Chrysomelidae,Paria sp.,1,2,9,0,1020900,INCOCHR
2025,5,30,RAV,2,B,14,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,30,RAV,2,B,3,Pardosa sp.,P. atlantica,5,1,24,4,5012404,ARLYCPAR
2025,5,14,SWFL,2,B,1,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,14,SWFL,2,B,1,Porcellio laevis,,6,2,1,1,6020101,PORLAE
2025,5,14,SWFL,2,B,2,Xysticus sp.,X. ferox (male),5,1,45,2,5014502,ARTHOXYS
2025,5,14,SWFL,2,B,87,Monomorium minimum,,1,11,13,17,1111317,FOMONMIN
2025,5,14,SWFL,2,B,2,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,14,SWFL,2,B,1,Blapstinus fortis,,1,2,46,48,1024648,TEBLAFOR
2025,5,14,SWFL,2,B,1,Myrmeleontidae larva,,1,16,1,1,1160101,NEMYRLA
2025,5,14,SWFL,2,B,1,Agelenopsis sp.,imm,5,1,1,1,5010101,ARAAGEAGE
2025,5,14,SWFL,2,B,1,Polyxenida,,7,3,0,0,7030000,DIPOX
2025,5,30,RAV,3,B,47,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,30,RAV,3,B,75,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,30,RAV,3,B,1,Pardosa sp.,P. atlantica (2 female 1 male),5,1,24,4,5012404,ARLYCPAR
2025,5,14,SWFL,3,B,5,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,14,SWFL,3,B,13,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,14,SWFL,3,B,3,Collembola,,1,4,0,0,1040000,INCL
2025,5,14,SWFL,3,B,2,Lithobiomorpha,imm,2,2,0,0,2020000,CHLIT
2025,5,14,SWFL,3,B,1,Oribatida,,5,2,1,0,5020100,ARACAORI
2025,5,14,SWFL,3,B,1,Poecilus lucublandus,,1,2,55,39,1025539,CAPOELUC
2025,5,14,SWFL,3,B,1,Staphylinidae,(a),1,2,17,0,1021700,INCOSTA
2025,5,30,RAV,4,B,237,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,30,RAV,4,B,1,Orthoptera,Eunemobius carolinus (female),1,19,0,0,1190000,INOR
2025,5,30,RAV,4,B,12,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,30,RAV,4,B,11,Staphylinidae,,1,2,17,0,1021700,INCOSTA
2025,5,30,RAV,4,B,2,Bembidion sp.,,1,2,55,23,1025523,CABEM
2025,5,30,RAV,4,B,1,Drassyllus sp.,female,5,1,16,37,5011637,ARGNADRA
2025,5,30,RAV,4,B,1,Allocosa sp.,imm male,5,1,24,3,5012403,ARLYCALL
2025,5,14,SWFL,4,B,5,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,14,SWFL,4,B,1,Staphylinidae,,1,2,17,0,1021700,INCOSTA
2025,5,14,SWFL,4,B,2,Poecilus lucublandus,,1,2,55,39,1025539,CAPOELUC
2025,5,14,SWFL,4,B,2,Collembola,,1,4,0,0,1040000,INCL
