Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
1,,,,,,-106.62936748,35.20608112,1506.016,Global,0.010,0.010,0.010,0.015,1.484,m,FIX,RTK,2025-05-14 11:25:47.1 UTC-06:00,2025-05-14 11:25:57.1 UTC-06:00,51,1.4,1.6,,,,-106.62935381,35.20602414,1507.035,6.456,,Global CS,10,9,0,0,0
2,,,,,,-106.62936746,35.20608113,1506.016,Global,0.010,0.010,0.010,0.014,1.484,m,FIX,RTK,2025-05-14 11:26:11.7 UTC-06:00,2025-05-14 11:26:11.7 UTC-06:00,1,1.4,1.6,,,,-106.62935381,35.20602414,1507.035,6.462,,Global CS,10,8,0,0,0
centerwell,,,,,,-106.62918892,35.20639706,1505.779,Global,0.010,0.010,0.010,0.014,1.484,m,FIX,RTK,2025-05-14 11:37:21.8 UTC-06:00,2025-05-14 11:37:21.8 UTC-06:00,1,1.4,1.7,,,,-106.62935381,35.20602414,1507.035,44.024,,Global CS,9,8,0,0,0
centerwell1,,,,,well,-106.62918892,35.20639705,1505.787,Global,0.010,0.010,0.010,0.014,1.484,m,FIX,RTK,2025-05-14 11:37:30.8 UTC-06:00,2025-05-14 11:37:30.8 UTC-06:00,1,1.4,1.7,,,,-106.62935381,35.20602414,1507.035,44.023,,Global CS,9,8,0,0,0
centerwell2,,,,,well,-106.62918891,35.20639703,1505.779,Global,0.010,0.010,0.010,0.014,1.484,m,FIX,RTK,2025-05-14 11:37:35.8 UTC-06:00,2025-05-14 11:37:35.8 UTC-06:00,1,1.4,1.7,,,,-106.62935381,35.20602414,1507.035,44.022,,Global CS,9,8,0,0,0
centerwell3,,,,,well,-106.62918897,35.20639705,1505.782,Global,0.010,0.010,0.010,0.014,1.484,m,FIX,RTK,2025-05-14 11:37:53.4 UTC-06:00,2025-05-14 11:37:53.4 UTC-06:00,1,1.4,1.7,,,,-106.62935381,35.20602414,1507.035,44.022,,Global CS,9,8,0,0,0
centerwell4,,,,,well,-106.62918892,35.20639708,1505.789,Global,0.010,0.010,0.010,0.014,1.484,m,FIX,RTK,2025-05-14 11:38:05.0 UTC-06:00,2025-05-14 11:38:05.0 UTC-06:00,1,1.4,1.7,,,,-106.62935381,35.20602414,1507.035,44.026,,Global CS,9,8,0,0,0
centerwell5,,,,,well,-106.62913106,35.20671148,1506.380,Global,0.010,0.010,0.010,0.014,1.763,m,FIX,RTK,2025-05-14 11:50:53.4 UTC-06:00,2025-05-14 11:50:53.4 UTC-06:00,1,1.5,1.7,,,,-106.62935381,35.20602414,1507.035,78.934,,Global CS,9,8,0,0,0
centerwell6,,,,,well,-106.62913110,35.20671142,1506.396,Global,0.010,0.010,0.010,0.014,1.763,m,FIX,RTK,2025-05-14 11:50:59.4 UTC-06:00,2025-05-14 11:50:59.4 UTC-06:00,1,1.7,2.0,,,,-106.62935381,35.20602414,1507.035,78.927,,Global CS,9,8,0,0,0
westwell7,,,,,well,-106.62913098,35.20671132,1505.711,Global,0.010,0.010,0.010,0.014,2.449,m,FIX,RTK,2025-05-14 11:55:57.6 UTC-06:00,2025-05-14 11:55:57.6 UTC-06:00,1,1.6,1.8,,,,-106.62935381,35.20602414,1507.035,78.919,,Global CS,9,8,0,0,0
westwell8,,,,,well,-106.62913095,35.20671134,1505.714,Global,0.010,0.010,0.010,0.014,2.449,m,FIX,RTK,2025-05-14 11:56:00.0 UTC-06:00,2025-05-14 11:56:00.0 UTC-06:00,1,1.6,1.8,,,,-106.62935381,35.20602414,1507.035,78.922,,Global CS,9,8,0,0,0
