Species,Scientific name,Common name,Life form,Native to U.S.,Duration
ACHY,Achnatherum hymenoides,Indian rice grass,G,Native,Perennial
AGGI2,Agrostis gigantea Roth,redtop,G,Exotic,Perennial
AGOSE,Agoseris sp.,agoseris,F,Native,Perennial
AGROS2,Agrostis L.,bentgrass,G,Unknown,Annual/Perennial
AIAL,Ailanthus altissima,tree of heaven,T,Exotic,Perennial
ALGAE,.,unidentified algae,.,Unknown,Unknown
ALIN,Allionia incarnata ,trailing windmills,F,Native,Perennial
ALMA12,Alhagi maurorum Medik.,camelthorn,S,Exotic,Perennial
ALTR7,Alisma triviale,northern water plantain,F,Native,Perennial
AMAC2,Ambrosia acanthicarpa Hook.,flatspine burr ragweed,F,Native,Annual
AMAR2,Ambrosia artemisiifolia L.,annual ragweed,F,Native,Annual
AMARA,Amaranthus L.,pigweed,F,Unknown,Annual/Perennial
AMBL,Amaranthus blitoides S. Watson,mat amaranth,F,Exotic,Annual
AMBRO,Ambrosia L.,ragweed,F,Native,Annual/Perennial
AMCO3,Ambrosia confertiflora DC.,weakleaf burr ragweed,F,Native,Perennial
AMFR,Amorpha fruticosa,desert false indigo,S,Native,Perennial
AMHY,Amaranthus hybridus L.,slim amaranth,F,Native,Annual
AMORP,Amorpha sp.,false indigo,S,Native,Perennial
AMPA,Amaranthus palmeri S. Watson,carelessweed,F,Native,Annual
AMPS,Ambrosia psilostachya,Cuman ragweed,F,Native,Perennial
ANCA10,Anemopsis californica,yerba mansa,F,Native,Perennial
ANDRO2,Andropogon sp.,bluestem,G,Unknown,Perennial
APCA,Apocynum cannabinum,Indianhemp,F,Native,Perennial
ARAD,Aristida adscensionis,sixweeks threeawn,G,Native,Annual
ARAD/BOBA2,Aristida or Bouteloua,sixweeks grass,G,Native,Annual
ARAN7,Argentina anserina,silverweed cinquefoil,F,Native,Perennial
ARCA14,Artemisia carruthii Alph. Wood ex Carruth.,Carruth's sagewort,F,Native,Perennial
ARDR4,Artemisia dracunculus,tarragon,S,Native,Perennial
ARFI2,Artemisia filifolia,sand sagebrush,S,Native,Perennial
ARIST,Aristida sp.,threeawn,G,Native,Annual/Perennial
ARLU,Artemisia ludoviciana Nutt.,white sagebrush,F,Unknown,Perennial
ARPU9,Aristida purpurea,purple threeawn,G,Native,Perennial
ARTEM,Artemisia sp.,sagebrush,S,Native,Perennial
ASCLE,Asclepias sp.,milkweed,F,Native,Perennial
ASOF,Asparagus officinalis,garden asparagus,F,Introduced,Perennial
ASSP,Asclepias speciosa Torr.,showy milkweed,F,Native,Perennial
ASSU2,Asclepias subverticillata,horsetail milkweed,F,Native,Perennial
ASTER,.,unidentified aster,F,Unknown,Unknown
ATARE,Atriplex argentea Nutt. ssp. expansa (S. Watson) H.M. Hall & Clem.,silverscale saltbush,F,Native,Annual/Perennial
ATCA2,Atriplex canescens,fourwing saltbush,S,Native,Perennial
ATMI2,Atriplex micrantha,twoscale saltbush,F,Exotic,Annual
BACCH,Baccharis L.,baccharis,.,.,.
BAHY,Bassia hyssopifolia,fivehorn smotherweed ,F,Exotic,Annual
BAMU,Baileya multiradiata Harv. & A. Gray ex A. Gray,desert marigold,F,Native,Annual/Biennial/Perennial
BAPT,Baccharis pteronioides DC.,yerba de pasmo,S,Native,Perennial
BASA,Baccharis salicina Torr. & A. Gray,willow baccharis,S,Native,Perennial
BASA4,Baccharis salicina,Great Plains false willow,S,Native,Perennial
BASC5,Bassia scoparia ,kochia,F,Exotic,Annual
BICE,Bidens cernua L.,nodding beggartick,F,Native,Annual
BIFR,Bidens frondosa,devil's beggartick,F,Native,Annual
BOAR,Bouteloua aristidoides,needle grama,G,Native,Annual
BOAR/BOBA2,Bouteloua aristidoides or barbata,needle or sixweeks grama,G,Native,Annual
BOBA2,Bouteloua barbata,sixweeks grama,G,Native,Annual
BOCU,Bouteloua curtipendula (Michx.) Torr.,sideoats grama,G,Native,Perennial
BOERH2,Boerhavia L.,spiderling,F/S,Native,Annual/Perennial
