Site,Species,Total cover in mm
HarIsle1,Bamboo,3.3
HarIsle1,Cottonwood,1.3
HarIsle1,Coyote willow,7.1
HarIsle1,Elm,23
HarIsle1,Equisetum,0.0399999999999956
HarIsle1,Gooding's willow,1.45
HarIsle1,Russian olive,13.2
HarIsle1,Salt cedar,7.4
HarIsle3,Bamboo,0.16
HarIsle3,Cottonwood,5.97
HarIsle3,Coyote willow,6.32
HarIsle3,Elm,11.11
HarIsle3,Equisetum,0.0800000000000019
HarIsle3,Grass,2.55
HarIsle3,Ravenna,3.15
HarIsle3,Russian olive,9.7
HarIsle3,Seep willow,0.0500000000000007
LosIsle1,Cottonwood,30
LosIsle1,Coyote willow,10.64
LosIsle1,Elm,5.94
LosIsle1,Equisetum,0.11
LosIsle1,Grass,1.72
LosIsle1,Mulberry,0.720000000000001
LosIsle1,Willow,0.55
LosIsle3,Bamboo,1.75
LosIsle3,Cottonwood,0.0500000000000007
LosIsle3,Coyote willow,25.74
LosIsle3,Elm,4.19
LosIsle3,Forb,0.409999999999998
LosIsle3,Goldenrod,0.37
LosIsle3,Grass,3.16
LosIsle3,Ravenna,0.0200000000000005
MinBar1,Clover,2.89
MinBar1,Cottonwood,1.73
MinBar1,Coyote willow,19.51
MinBar1,Forb,0.470000000000001
MinBar1,Goldenrod,11.35
MinBar1,Grass,16.57
MinBar1,Ravenna,4.6
MinBar1,Russian olive,0.75
MinBar1,Seep willow,0.720000000000001
MinBar3,Cottonwood,2.97
MinBar3,Coyote willow,30
MinBar3,Goldenrod,2.02
MinBar3,Gooding's willow,0.18
MinBar3,Grass,3.77000000000001
