WKT,Site,,Latitude,Longitude
POINT (-106.646174 35.193407),MinBar1,North,35.193407,-106.646174
POINT (-106.646195 35.193145),MinBar1,South,35.193145,-106.646195
POINT (-106.647672 35.190787),MinBar3,North,35.190787,-106.647672
POINT (-106.647661 35.190496),MinBar3,South,35.190496,-106.647661
POINT (-106.672272 35.016074),HarIsle1,North,35.016074,-106.672272
POINT (-106.672304 35.015829),HarIsle1,South,35.015829,-106.672304
POINT (-106.672021 35.015024),HarIsle3,North,35.015024,-106.672021
POINT (-106.672581 35.01476),HarIsle3,South,35.01476,-106.672581
POINT (-106.713413 34.811447),LosIsle1,North,34.811447,-106.713413
POINT (-106.7134 34.811177),LosIsle1,South,34.811177,-106.7134
POINT (-106.714276 34.80992),LosIsle3,North,34.80992,-106.714276
POINT (-106.714301 34.809675),LosIsle3,South,34.809675,-106.714301
