Year set,Day set,Month set,Year collected,Day collected,Month collected,Site,Set Time,Collect time,Trap,Spider wolf,Spider unk,Ant harvester,Ant small black,Cricket,Pill Bug,Sow Bug,Carabidae,Tenebrionidae,Click Beetle,Rove Beetle,Beetle unk,Centipede,Fly,Silverfish,Collembola,Mite,Larva,Notes
2022,9,9,2022,11,9,Minbar1,12:35,12:15,0,1,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022,9,9,2022,11,9,Minbar1,12:35,12:15,10,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,
2022,9,9,2022,11,9,Minbar1,12:35,12:15,20,0,0,0,0,0,3,2,5,0,0,0,0,1,1,0,0,0,0,
2022,9,9,2022,11,9,Minbar1,12:35,12:15,30,1,0,0,0,0,6,0,6,0,1,1,0,0,0,2,1,0,0,
2022,16,9,2022,18,9,MinBar3,11:40,8:15,0,2,0,0,0,0,172,0,1,0,0,0,0,0,0,0,0,0,0,
2022,16,9,2022,18,9,MinBar3,11:40,8:15,10,1,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,
2022,16,9,2022,18,9,MinBar3,11:40,8:15,20,0,0,0,0,0,140,0,1,0,0,0,0,0,0,0,0,0,0,
2022,16,9,2022,18,9,MinBar3,11:40,8:15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trap empty, it was set fine"
2022,23,9,2022,25,9,HarIsle1,12:01,10:50,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,1,3,0,0,
2022,23,9,2022,25,9,HarIsle1,12:01,10:50,10,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,
2022,23,9,2022,25,9,HarIsle1,12:01,10:50,20,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,
2022,23,9,2022,25,9,HarIsle1,12:01,10:50,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,trap disturbed
2022,30,9,2022,2,10,HarIsle3,11:50,2:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"trap disturbed, dog"
2022,30,9,2022,2,10,HarIsle3,11:50,2:00,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tiny; trap not flush
2022,30,9,2022,2,10,HarIsle3,11:50,2:00,20,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,tiny flies;
2022,30,9,2022,2,10,HarIsle3,11:50,2:00,30,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,"Trap slightly disturbed but still level, larva=long brown (1/4"") segemented"
