Year,Day,Month,Site,Species ,Species Code,Start,End ,sum,Notes,Entered by ,Checked by 
2022,23,9,HarIsle1,Bamboo,,24.1,25.57,1.47,,EF,RW
2022,23,9,HarIsle1,Bamboo,,26.14,26.15,0.00999999999999801,,EF,RW
2022,23,9,HarIsle1,Bamboo,,26.79,27.75,0.960000000000001,,EF,RW
2022,23,9,HarIsle1,Bamboo,,28.24,29.1,0.860000000000003,,EF,RW
2022,23,9,HarIsle1,Cottonwood,,28.7,30,1.3,,EF,RW
2022,23,9,HarIsle1,Coyote willow,,23.3,29.7,6.4,,EF,RW
2022,23,9,HarIsle1,Elm,,1.8,9.5,7.7,,EF,RW
2022,23,9,HarIsle1,Elm,,12.2,27.5,15.3,,EF,RW
2022,23,9,HarIsle1,Equisetum,,26.12,26.15,0.0299999999999976,,EF,RW
2022,23,9,HarIsle1,Equisetum,,26.44,26.45,0.00999999999999801,,EF,RW
2022,23,9,HarIsle1,Gooding's willow,,25.8,27.15,1.35,,EF,RW
2022,23,9,HarIsle1,Gooding's willow,,28.75,28.85,0.100000000000001,,EF,RW
2022,23,9,HarIsle1,Russian olive,,0,2.6,2.6,,EF,RW
2022,23,9,HarIsle1,Russian olive,,19.4,30,10.6,"repro, fruit abundant.",EF,RW
2022,23,9,HarIsle1,Salt cedar,,9.2,14.7,5.5,,EF,RW
2022,23,9,HarIsle1,Salt cedar,,22.4,24.3,1.9,,EF,RW
2022,23,9,HarIsle1,Coyote willow,,16.5,17.2,0.699999999999999,,EF,RW
2022,30,9,HarIsle3,Bamboo,,20.67,20.68,0.00999999999999801,,EF,RW
2022,30,9,HarIsle3,Bamboo,,23.9,24.05,0.150000000000002,,EF,RW
2022,30,9,HarIsle3,Cottonwood,,14.4,19.3,4.9,,EF,RW
2022,30,9,HarIsle3,Cottonwood,,27.1,28.17,1.07,,EF,RW
2022,30,9,HarIsle3,Elm,,0,4.45,4.45,,EF,RW
2022,30,9,HarIsle3,Elm,,10.1,16.75,6.65,,EF,RW
2022,30,9,HarIsle3,Elm,,19.18,19.19,0.0100000000000016,,EF,RW
2022,30,9,HarIsle3,Equisetum,,19.04,19.05,0.0100000000000016,,EF,RW
2022,30,9,HarIsle3,Equisetum,,23.25,23.32,0.0700000000000003,,EF,RW
2022,30,9,HarIsle3,Grass,,19.22,20.23,1.01,,EF,RW
2022,30,9,HarIsle3,Grass,,20.37,20.42,0.0500000000000007,,EF,RW
2022,30,9,HarIsle3,Grass,,20.5,20.56,0.0599999999999987,,EF,RW
2022,30,9,HarIsle3,Grass,,20.65,20.79,0.140000000000001,,EF,RW
2022,30,9,HarIsle3,Grass,,20.92,21.22,0.299999999999997,,EF,RW
2022,30,9,HarIsle3,Grass,,21.34,21.8,0.460000000000001,,EF,RW
2022,30,9,HarIsle3,Grass,,22.95,23.48,0.530000000000001,,EF,RW
2022,30,9,HarIsle3,Ravenna,,24.63,26.32,1.69,,EF,RW
2022,30,9,HarIsle3,Ravenna,,26.51,26.52,0.00999999999999801,,EF,RW
2022,30,9,HarIsle3,Ravenna,,28,29.17,1.17,,EF,RW
2022,30,9,HarIsle3,Ravenna,,29.72,30,0.280000000000001,,EF,RW
