DATABASE NAME	CLASS	ORDER	FAMILY	GENUS	CODE	NAMECODE	CLASS	ORDER	FAMILY 	GENUS/SPECIES	COMMON NAME	NOTES	Found in Pitfall Dataset?
No captures	0	00	00	00	0000000	NOCAP							
Insecta	1	00	00	00	1000000	IN	Insecta				All insects	Please avoid use of this code- refine to order at the very least	Yes
Insecta larva	1	00	00	01	1000001	INLA	Insecta				Generic insect larva		Yes
Coleoptera	1	02	00	00	1020000	INCO	Insecta	Coleoptera			Beetles		Yes
Coleoptera larva	1	02	00	01	1020001	INCOLAR	Insecta	Coleoptera		Coleoptera larva	Beetle larva		Yes
Polyphaga	1	02	00	02	1020002	INCOPOL	Insecta	Coleoptera	Polyphaga (suborder)		Water, Rove, Scarab, Long-horned, and Snout beetles		Yes
Mordellidae	1	02	02	00	1020200	INCOMOR	Insecta	Coleoptera	Mordellidae		Tumbling flower beetles		Yes
Anaspis sp.	1	02	03	01	1020601	COSCRANA	Insecta	Coleoptera	Scraptiidae	Anaspis sp.			
Scarabaeidae	1	02	04	00	1020400	INCOSCA	Insecta	Coleoptera	Scarabaeidae		Scarab beetles		Yes
Serica sp.	1	02	04	02	1020402	SCSER	Insecta	Coleoptera	Scarabaeidae	Serica sp.			Yes
Ataenius sp.	1	02	04	03	1020403	COSCAATA	Insecta	Coleoptera	Scarabaeidae	Ataenius sp.			
Onthophagus sp.	1	02	04	04	1020404	SCAONT	Insecta	Coleoptera	Scarabaeidae	Onthophagus sp.			Yes
Aphodius sp.	1	02	04	05	1020405	COSCAAPH	Insecta	Coleoptera	Scarabaeidae	Aphodius sp.			
Ochodaeus sp.	1	02	04	06	1020406	SCOCH	Insecta	Coleoptera	Scarabaeidae	Ochodaeus sp.			Yes
Hoplia sp.	1	02	04	08	1020408	SCHOP	Insecta	Coleoptera	Scarabaeidae	Hoplia sp.			Yes
Serica alternata	1	02	04	09	1020409	SCSERALT	Insecta	Coleoptera	Scarabaeidae	Serica alternata  			
Pseudataenius sp.	1	02	04	10	1020410	COSCAPSE	Insecta	Coleoptera	Scarabaeidae	Pseudataenius sp.			
Phyllophaga sp.	1	02	04	11	1020411	SCPHY	Insecta	Coleoptera	Scarabaeidae	Phyllophaga sp.	May beetles (genus)		Yes
Elateridae	1	02	05	00	1020500	INCOELA	Insecta	Coleoptera	Elateridae		Click beetles		Yes
Aeolus mellillus	1	02	05	02	1020502	ELAEOMEL	Insecta	Coleoptera	Elateridae	Aeolus mellillus  	Sweet click beetle		Yes
Athos sp.	1	02	05	03	1020503	COELAATH	Insecta	Coleoptera	Elateridae	Athos sp.			
Heteroderes sordidus	1	02	05	04	1020504	ELCONSOR	Insecta	Coleoptera	Elateridae	Heteroderes sordidus		Originally called "Conoderus sordidus" in the database, has since been renamed "Heteroderes sordidus." Changed in the database to reflect updated phylogeny	Yes
Melanotus sp.	1	02	05	05	1020505	ELMEL	Insecta	Coleoptera	Elateridae	Melanotus sp.	Click beetle (genus)		Yes
Melandryidae	1	02	06	00	1020600	INCOMEL	Insecta	Coleoptera	Melandryidae				Yes
Dermestidae	1	02	07	00	1020700	INCODER	Insecta	Coleoptera	Dermestidae		Skin beetles		Yes
Dermestidae larva	1	02	07	01	1020701	CODERLAR	Insecta	Coleoptera	Dermestidae	Dermestidae larvae	Skin beetle larva		Yes
