site,year,month,quantity,lettercode,name,family,class,order,genspp,trap,line_number
1,1997,5,0,NOCAP,No captures,0,0,0,0,15,4
1,1997,5,0,NOCAP,No captures,0,0,0,0,19,5
1,1997,5,0,NOCAP,No captures,0,0,0,0,7,2
1,1997,5,0,NOCAP,No captures,0,0,0,0,11,3
1,1997,5,0,NOCAP,No captures,0,0,0,0,13,4
2,1997,5,0,NOCAP,No captures,0,0,0,0,19,5
2,1997,5,0,NOCAP,No captures,0,0,0,0,10,3
2,1997,5,0,NOCAP,No captures,0,0,0,0,11,3
1,1997,6,0,NOCAP,No captures,0,0,0,0,20,5
1,1997,6,0,NOCAP,No captures,0,0,0,0,5,2
1,1997,8,0,NOCAP,No captures,0,0,0,0,1,1
1,1997,8,0,NOCAP,No captures,0,0,0,0,16,4
1,1997,8,0,NOCAP,No captures,0,0,0,0,3,1
1,1997,8,0,NOCAP,No captures,0,0,0,0,4,1
1,1997,8,0,NOCAP,No captures,0,0,0,0,6,2
1,1997,8,0,NOCAP,No captures,0,0,0,0,7,2
2,1997,8,0,NOCAP,No captures,0,0,0,0,1,1
2,1997,8,0,NOCAP,No captures,0,0,0,0,12,3
2,1997,8,0,NOCAP,No captures,0,0,0,0,15,4
2,1997,8,0,NOCAP,No captures,0,0,0,0,16,4
2,1997,8,0,NOCAP,No captures,0,0,0,0,17,5
2,1997,8,0,NOCAP,No captures,0,0,0,0,18,5
2,1997,8,0,NOCAP,No captures,0,0,0,0,19,5
2,1997,8,0,NOCAP,No captures,0,0,0,0,3,1
2,1997,8,0,NOCAP,No captures,0,0,0,0,4,1
2,1997,8,0,NOCAP,No captures,0,0,0,0,6,2
2,1997,8,0,NOCAP,No captures,0,0,0,0,9,3
2,1997,8,0,NOCAP,No captures,0,0,0,0,11,3
1,1997,10,0,NOCAP,No captures,0,0,0,0,14,4
1,1997,10,0,NOCAP,No captures,0,0,0,0,16,4
1,1997,10,0,NOCAP,No captures,0,0,0,0,20,5
1,1997,10,0,NOCAP,No captures,0,0,0,0,4,1
