Site number,Year,Annual mean counts,Species Richness,Site name,Latitude,Longitude,Date type,Reaches,Current usgs gauge,Nearest USGS gauge,PODEW,TACH2,Annual mean depth to groundwater cm,Annual sum of precipitation mm,Exotic,Native,Ratio
1,1997,144,30,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,.,.,.,.,.,.,.
1,1998,208,36,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,.,.,.,.,.,.,.
1,1999,139,32,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,.,.,.,.,.,.,.
1,2000,93,29,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,197.1,.,-266.8,173.6,42.36,327.7899999999999,7.74
1,2001,113,28,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,192.46,1.29,-271,96.85,35.28,370.54,10.5
1,2002,162,40,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,214.54,0.05,-278.3,103.6,34.84,366.34999999999997,10.52
1,2003,146,32,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,197.49,0.72,-277.2,114.9,37.85,362.51000000000005,9.58
1,2004,208,42,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,194.05,0.45,-277.4,265.35,15.219999999999999,364.18,23.93
1,2005,426,31,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,193.36,0.62,-265.3,148.35000000000002,27.83,370.1600000000001,13.3
1,2006,150,31,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,183.71,.,-277.1,276.15000000000003,6.06,358.97,59.24
1,2007,259,36,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,172.35,0.55,-265.9,230.7,20.68,361.59,17.49
1,2008,293,36,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,173.16,0.41,-263,155.3,20.44,346.65000000000003,16.96
1,2009,197,38,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,175.45,1.19,-266.3,186.25,21.65,354.78,16.39
1,2010,269,38,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,174.16,0.66,-272.3,207,15.19,350.28999999999996,23.06
1,2011,263,40,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,201.21,1.91,-282.7,110.3,16.83,377.93,22.46
1,2012,213,44,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,182.29,1.57,-286.4,82.15,19.23,370.45000000000005,19.26
1,2013,199,37,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,153.7,1.77,-290.1,220.3,21.11,335.32,15.88
1,2014,184,46,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,197.78,1.37,-279.7,122.9,20.200000000000003,361.5199999999999,17.9
1,2015,313,51,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,146.73,3.18,-262.6,298.15,28.759999999999998,329.22,11.45
1,2016,373,35,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,127.89,4.56,-268.5,130.5,20.17,311.09,15.42
1,2017,398,13,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,166.8,3.58,-255.8,159.65,28.36,363.59999999999997,12.82
1,2018,140,46,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,120.77,1.88,-292.1,138.44500000000002,25.94,298.36,11.5
1,2019,230,43,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,145.98,3.65,-251.9,207.35,25.57,333.46999999999997,13.04
1,2020,164,38,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,153.39,2.24,-277.8,108.55,26.92,330.59,12.28
1,2021,235,39,Alameda,35.1880598884,-106.646949118,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,140.93,3.04,-271.4,130.35,24.91,331.08000000000004,13.29
2,1997,101,20,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,.,.,.,.,.,.,.
2,1998,512,35,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,.,.,.,.,.,.,.
2,1999,328,30,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,.,.,.,.,.,.,.
2,2000,256,17,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,252.2,1.24,-184.8,185.75,34.040000000000006,304.90000000000003,8.96
2,2001,357,31,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,209.16,2.07,-188,102,31.54,288.9700000000001,9.16
