Site number,Year,Name,lettercode,numbercode,family,class,order,genspp,Annual mean counts,Site name.x,Latitude,Longitude,Site name.y,PODEW,TACH2,Annual mean depth to groundwater cm,Annual sum of precipitation mm,Exotic,Native,Ratio
1,1997,Acari,ARACA,5020000,0,5,2,0,5,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Araneae,ARARA,5010000,0,5,1,0,6,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Armadillidium vulgare,ARMVUL,6020202,2,6,2,2,35,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Blapstinus fortis,TEBLAFOR,1024648,46,1,2,48,1,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Calathus opaculus,CACALOPA,1025503,55,1,2,3,9,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Carabidae,INCOCAR,1025500,55,1,2,0,10,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Chilopoda,CH,2000000,0,2,0,0,1,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Chrysomela scripta,CHCHRSCR,1020904,9,1,2,4,1,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Cicadidae,INHECIC,1751600,16,1,75,0,1,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Coleoptera,INCO,1020000,0,1,2,0,1,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Crematogaster cerasi,FOCRECER,1111316,13,1,11,16,1,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Curculionidae,INCOCUR,1023100,31,1,2,0,2,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Cyclotrachelus substriatus,CACYCSUB,1025527,55,1,2,27,6,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Diptera,INDI,1060000,0,1,6,0,9,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Eleodes suturalis,TEELESUT,1024607,46,1,2,7,4,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Formicidae,INHYFOR,1111300,13,1,11,0,14,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Gryllus alogus,GRGRYALO,1193701,37,1,19,1,2,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Hemiptera,INHE,1750000,0,1,75,0,6,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Histeridae,INCOHIS,1023000,30,1,2,0,1,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Hymenoptera,INHY,1110000,0,1,11,0,1,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Lepidoptera larva,LELEPLAR,1090001,0,1,9,1,1,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Orthoptera,INOR,1190000,0,1,19,0,2,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Phyllophaga sp.,SCPHY,1020411,4,1,2,11,1,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Prenolepis sp.,FOPRE,1111339,13,1,11,39,10,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Pseudoscorpiones,ARPSE,5030000,0,5,3,0,2,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
1,1997,Scarabaeidae,INCOSCA,1020400,4,1,2,0,1,Alameda,35.1880598884,-106.646949118,.,.,.,.,.,.,.,.
