Site number,Year,Annual mean counts
1,1997,144
1,1998,208
1,1999,139
1,2000,.
1,2001,113
1,2002,.
1,2003,.
1,2004,.
1,2005,.
1,2006,.
1,2007,.
1,2008,293
1,2009,.
1,2010,269
1,2011,.
1,2012,213
1,2013,.
1,2014,.
1,2015,313
1,2016,373
1,2017,.
1,2018,.
1,2019,230
1,2020,164
2,1997,.
2,1998,512
2,1999,.
2,2000,256
2,2001,357
2,2002,.
2,2003,253
2,2004,246
2,2005,458
2,2006,233
2,2007,397
2,2008,188
2,2009,148
2,2010,167
2,2011,.
2,2012,294
2,2013,280
2,2014,158
2,2015,215
2,2016,348
2,2017,201
2,2018,.
2,2019,171
2,2020,267
3,1998,166
3,1999,.
3,2000,164
3,2001,221
3,2002,.
3,2003,.
3,2004,234
3,2005,.
3,2006,197
3,2007,198
3,2008,.
3,2009,.
3,2010,.
3,2011,.
3,2012,.
3,2013,.
3,2014,587
3,2015,2425
3,2016,.
3,2017,.
3,2018,683
3,2019,.
3,2020,.
4,1998,341
4,1999,.
4,2000,.
4,2001,270
4,2002,146
4,2003,235
4,2004,.
4,2005,284
4,2006,425
4,2007,.
4,2008,343
4,2009,.
4,2010,298
4,2011,.
4,2012,266
4,2013,.
4,2014,314
4,2015,.
4,2016,556
4,2017,.
4,2018,510
4,2019,.
4,2020,208
5,1999,.
5,2000,.
5,2001,29
5,2002,.
5,2004,23
5,2008,.
5,2009,.
5,2010,199
5,2011,.
5,2012,213
5,2013,109
5,2014,139
5,2015,159
5,2016,.
5,2017,.
5,2018,.
5,2019,159
5,2020,53
6,2000,.
6,2001,257
6,2002,.
6,2003,.
6,2004,.
6,2005,.
6,2006,.
6,2007,.
6,2008,191
6,2009,264
6,2010,390
6,2011,.
6,2012,.
6,2013,172
6,2014,266
6,2015,.
6,2016,343
6,2017,356
6,2018,.
6,2019,.
6,2020,641
7,2001,121
7,2002,.
7,2003,19
7,2004,147
7,2005,620
7,2006,.
7,2007,283
7,2008,766
7,2009,684
7,2010,.
7,2011,179
7,2012,152
7,2013,.
7,2014,.
7,2015,327
7,2016,.
7,2017,51
7,2018,.
7,2019,.
7,2020,.
8,2002,.
8,2003,186
8,2004,1888
8,2005,.
8,2006,181
8,2007,180
8,2008,.
8,2009,144
8,2010,.
8,2011,.
8,2012,268
8,2013,.
8,2014,270
8,2015,394
8,2016,284
8,2017,333
8,2018,.
8,2019,.
8,2020,.
9,2002,208
9,2003,.
9,2004,397
9,2005,.
9,2006,.
9,2007,211
9,2008,.
9,2009,.
9,2010,.
9,2011,.
9,2012,.
9,2013,.
9,2014,.
9,2015,.
10,2003,.
10,2004,.
10,2005,.
10,2006,.
10,2007,.
10,2008,.
10,2009,165
10,2010,231
10,2011,264
10,2012,.
10,2013,236
10,2016,.
10,2017,.
11,2003,.
11,2004,.
11,2005,.
11,2006,179
11,2007,317
11,2008,.
11,2009,.
11,2010,289
11,2011,194
11,2012,.
11,2013,229
11,2016,445
11,2017,683
12,2007,585
12,2008,.
12,2009,338
12,2010,265
12,2011,.
12,2012,.
12,2013,219
12,2014,422
12,2015,333
12,2016,322
12,2017,.
12,2018,.
12,2019,244
12,2020,318
13,2003,171
13,2004,.
13,2005,.
13,2006,.
13,2007,337
13,2008,.
13,2009,.
13,2010,.
13,2011,505
13,2012,260
13,2013,.
13,2014,244
13,2015,.
13,2016,.
13,2017,.
13,2018,.
13,2019,.
13,2020,246
14,2004,134
14,2005,186
14,2006,204
14,2007,.
14,2008,.
14,2009,.
14,2010,.
14,2011,155
14,2012,428
14,2013,122
14,2014,.
14,2015,.
14,2016,402
14,2017,411
14,2018,117
14,2019,.
14,2020,.
15,2003,255
15,2004,1353
15,2005,.
15,2006,518
15,2007,1000
15,2008,428
15,2009,602
15,2010,648
15,2011,447
15,2012,.
15,2013,340
15,2014,.
15,2015,955
15,2016,2948
15,2017,424
15,2018,.
15,2019,.
15,2020,725
16,2004,305
16,2005,.
16,2006,344
16,2007,459
16,2008,265
16,2009,.
16,2010,583
16,2011,180
16,2012,296
16,2013,.
16,2014,664
16,2015,3141
16,2016,520
16,2017,.
16,2018,403
16,2019,.
16,2020,701
17,2004,61
17,2005,.
17,2006,.
17,2007,229
17,2008,278
17,2009,282
17,2010,312
17,2011,.
17,2012,339
17,2013,.
17,2014,258
17,2015,.
17,2016,.
17,2017,.
17,2018,.
17,2019,.
17,2020,479
18,2004,193
18,2005,.
18,2006,726
18,2007,.
18,2008,.
18,2009,.
18,2010,.
18,2011,.
18,2012,233
18,2013,.
18,2014,186
18,2016,546
18,2017,437
19,2004,137
19,2005,.
19,2006,887
19,2007,487
19,2008,.
19,2009,.
19,2010,.
19,2011,.
19,2012,171
19,2013,.
19,2016,.
19,2017,394
19,2018,283
19,2019,325
19,2020,.
20,2005,.
20,2006,.
20,2007,199
20,2008,.
20,2009,.
20,2010,.
20,2011,302
20,2012,.
20,2013,.
20,2016,.
20,2017,.
20,2018,649
20,2019,.
20,2020,.
21,2007,406
21,2008,.
21,2009,340
21,2010,192
21,2011,.
21,2012,.
21,2013,224
21,2014,179
21,2015,348
21,2016,353
21,2017,146
21,2018,.
21,2019,.
21,2020,323
22,2007,298
22,2008,.
22,2009,188
22,2010,268
22,2011,.
22,2012,.
22,2013,356
22,2014,198
22,2015,552
22,2016,524
22,2019,203
23,2007,.
23,2008,826
23,2009,179
23,2010,404
23,2011,.
23,2012,.
23,2013,.
23,2014,92
23,2015,91
23,2016,.
23,2017,.
23,2019,.
24,2009,.
24,2012,236
24,2013,123
24,2016,.
24,2017,.
24,2019,.
25,2008,209
25,2009,.
25,2010,.
25,2011,303
25,2012,330
25,2013,.
25,2014,380
25,2015,215
25,2016,.
25,2017,.
25,2018,345
25,2019,.
25,2020,335
26,2011,108
26,2012,.
26,2013,.
26,2014,.
26,2016,205
26,2017,.
27,2012,.
27,2013,260
27,2016,565
27,2017,.
27,2018,.
27,2019,.
27,2020,.
28,2014,.
28,2015,563
28,2016,269
28,2017,209
28,2018,2062
28,2019,.
29,2014,219
29,2016,.
29,2017,.
29,2018,.
29,2019,222
29,2020,.
30,2014,411
30,2015,.
30,2016,.
30,2017,418
30,2018,369
30,2019,355
30,2020,.
31,2016,.
31,2017,.
31,2018,.
31,2019,.
31,2020,408
32,2016,.
32,2017,274
32,2018,.
32,2019,.
32,2020,125
33,2018,328
33,2019,178
33,2020,.
34,2018,160
