Site number,Year,Name,lettercode,numbercode,family,class,order,genspp,Annual mean counts
1,1997,Acari,ARACA,5020000,0,5,2,0,5
1,1997,Araneae,ARARA,5010000,0,5,1,0,6
1,1997,Armadillidium vulgare,ARMVUL,6020202,2,6,2,2,35
1,1997,Blapstinus fortis,TEBLAFOR,1024648,46,1,2,48,1
1,1997,Calathus opaculus,CACALOPA,1025503,55,1,2,3,9
1,1997,Carabidae,INCOCAR,1025500,55,1,2,0,10
1,1997,Chilopoda,CH,2000000,0,2,0,0,1
1,1997,Chrysomela scripta,CHCHRSCR,1020904,9,1,2,4,1
1,1997,Cicadidae,INHECIC,1751600,16,1,75,0,1
1,1997,Coleoptera,INCO,1020000,0,1,2,0,1
1,1997,Crematogaster cerasi,FOCRECER,1111316,13,1,11,16,1
1,1997,Curculionidae,INCOCUR,1023100,31,1,2,0,2
1,1997,Cyclotrachelus substriatus,CACYCSUB,1025527,55,1,2,27,6
1,1997,Diptera,INDI,1060000,0,1,6,0,9
1,1997,Eleodes suturalis,TEELESUT,1024607,46,1,2,7,4
1,1997,Formicidae,INHYFOR,1111300,13,1,11,0,14
1,1997,Gryllus alogus,GRGRYALO,1193701,37,1,19,1,2
1,1997,Hemiptera,INHE,1750000,0,1,75,0,6
1,1997,Histeridae,INCOHIS,1023000,30,1,2,0,1
1,1997,Hymenoptera,INHY,1110000,0,1,11,0,1
1,1997,Lepidoptera larva,LELEPLAR,1090001,0,1,9,1,1
1,1997,Orthoptera,INOR,1190000,0,1,19,0,2
1,1997,Phyllophaga sp.,SCPHY,1020411,4,1,2,11,1
1,1997,Prenolepis sp.,FOPRE,1111339,13,1,11,39,10
1,1997,Pseudoscorpiones,ARPSE,5030000,0,5,3,0,2
1,1997,Scarabaeidae,INCOSCA,1020400,4,1,2,0,1
1,1997,Staphylinidae,INCOSTA,1021700,17,1,2,0,5
1,1997,Stenopelmatidae,INORSTE,1191100,11,1,19,0,1
1,1997,Tenebrionidae,COTEN,1024600,46,1,2,0,5
1,1997,.,NOCAP,0,0,0,0,0,0
1,1998,Acari,ARACA,5020000,0,5,2,0,8
1,1998,Araneae,ARARA,5010000,0,5,1,0,5
1,1998,Armadillidium vulgare,ARMVUL,6020202,2,6,2,2,98
1,1998,Blapstinus fortis,TEBLAFOR,1024648,46,1,2,48,1
1,1998,Blapstinus sp.,TEBLA,1024646,46,1,2,46,1
1,1998,Calathus opaculus,CACALOPA,1025503,55,1,2,3,9
1,1998,Camponotus modoc,FOCAMMOD,1111338,13,1,11,38,2
1,1998,Camponotus vicinus,FOCAMVIC,1111324,13,1,11,24,4
1,1998,Carabidae,INCOCAR,1025500,55,1,2,0,1
1,1998,Ceuthophilus sp.,RHCEU,1190903,9,1,19,3,1
1,1998,Chilopoda,CH,2000000,0,2,0,0,1
1,1998,Coleoptera,INCO,1020000,0,1,2,0,1
1,1998,Crematogaster cerasi,FOCRECER,1111316,13,1,11,16,6
1,1998,Curculionidae,INCOCUR,1023100,31,1,2,0,4
1,1998,Cyclotrachelus substriatus,CACYCSUB,1025527,55,1,2,27,10
1,1998,Dermestidae,INCODER,1020700,7,1,2,0,1
1,1998,Diptera,INDI,1060000,0,1,6,0,1
1,1998,Elateridae,INCOELA,1020500,5,1,2,0,2
1,1998,Eleodes suturalis,TEELESUT,1024607,46,1,2,7,2
1,1998,Formica sp.,FOFOM,1111309,13,1,11,9,5
1,1998,Formicidae,INHYFOR,1111300,13,1,11,0,6
1,1998,Galerita janus,CAGALJAN,1025526,55,1,2,26,1
1,1998,Gryllus alogus,GRGRYALO,1193701,37,1,19,1,2
1,1998,Hemiptera,INHE,1750000,0,1,75,0,5
1,1998,Heteroderes sordidus,ELCONSOR,1020504,5,1,2,4,1
1,1998,Lepidoptera,INLE,1090000,0,1,9,0,1
1,1998,Lepidoptera larva,LELEPLAR,1090001,0,1,9,1,3
1,1998,Lepismatidae,INZYLEP,1420200,2,1,42,0,6
1,1998,Monomorium minimum,FOMONMIN,1111317,13,1,11,17,4
1,1998,Orthoptera,INOR,1190000,0,1,19,0,1
1,1998,Otiorhynchus ovatus,CUOTIOVA,1023101,31,1,2,1,1
1,1998,Porcellio laevis,PORLAE,6020101,1,6,2,1,1
1,1998,Prenolepis sp.,FOPRE,1111339,13,1,11,39,4
1,1998,Pseudoscorpiones,ARPSE,5030000,0,5,3,0,2
1,1998,Staphylinidae,INCOSTA,1021700,17,1,2,0,7
1,1998,.,NOCAP,0,0,0,0,0,0
1,1999,Acari,ARACA,5020000,0,5,2,0,1
1,1999,Araneae,ARARA,5010000,0,5,1,0,4
1,1999,Armadillidium vulgare,ARMVUL,6020202,2,6,2,2,29
1,1999,Blapstinus fortis,TEBLAFOR,1024648,46,1,2,48,2
1,1999,Blapstinus pimalis,TEBLAPIM,1024650,46,1,2,50,1
1,1999,Blapstinus sp.,TEBLA,1024646,46,1,2,46,1
1,1999,Calathus opaculus,CACALOPA,1025503,55,1,2,3,16
1,1999,Carabidae,INCOCAR,1025500,55,1,2,0,2
1,1999,Cicindelinae,INCOCIC,1029500,95,1,2,0,1
1,1999,Coleoptera,INCO,1020000,0,1,2,0,2
1,1999,Curculionidae,INCOCUR,1023100,31,1,2,0,3
1,1999,Cyclotrachelus substriatus,CACYCSUB,1025527,55,1,2,27,13
1,1999,Dasymutilla sp.,MUDAS,1111902,19,1,11,2,1
1,1999,Elateridae,INCOELA,1020500,5,1,2,0,2
1,1999,Eleodes suturalis,TEELESUT,1024607,46,1,2,7,2
1,1999,Embaphion sp.,TEEMB,1024647,46,1,2,47,1
1,1999,Formica sp.,FOFOM,1111309,13,1,11,9,14
1,1999,Formicidae,INHYFOR,1111300,13,1,11,0,8
1,1999,Galerita janus,CAGALJAN,1025526,55,1,2,26,3
1,1999,Gastropoda,GA,9020000,0,9,2,0,1
